[2025-03-30 15:12:59,601] 🔵 Starting session for USR-b9ca766a22164a99856674558a9eecaa
[2025-03-30 15:13:23,338] 🖱️ Mouse hovered for: 0.84s
[2025-03-30 15:13:23,338] 📜 Scrolled for: 5.49s
[2025-03-30 15:13:23,338] 🛒 Viewed cart for: 1.29s
[2025-03-30 15:13:23,339] ✅ Cart checkout time: 7.15s
[2025-03-30 15:13:23,339] 💳 Payment time: 0.0s
[2025-03-30 15:13:23,908] 🔵 Starting session for USR-b30237a44f774c0b8f3901bd523dbcc0
[2025-03-30 15:13:25,246] 🚀 USR-68bd92c359864b4db701f37e18d8862c actions log in session 0
[2025-03-30 15:13:25,246] 🖱️ Mouse hovered for: 0.1s
[2025-03-30 15:13:25,246] 📜 Scrolled for: 2.87s
[2025-03-30 15:13:25,247] 🛒 Viewed cart for: 0.99s
[2025-03-30 15:13:25,247] ✅ Cart checkout time: 3.86s
[2025-03-30 15:13:25,247] 💳 Payment time: 0.18s
[2025-03-30 15:13:25,383] 🔵 Starting session for USR-b5a0057c5ed545ecb2894042afea3b0d
[2025-03-30 15:13:26,573] ⏸️ Skipping USR-5993c7a862294e4b8070bb8c8d70c4fb — session already running
[2025-03-30 15:13:27,454] 🔵 Starting session for USR-4124432b3b48445abab84c4d7ab57ef2
[2025-03-30 15:13:27,840] 🚀 USR-d07fd53fa7fc485d8aa9f331d49c1ce5 actions log in session 0
[2025-03-30 15:13:27,842] 🖱️ Mouse hovered for: 0.07s
[2025-03-30 15:13:27,842] 📜 Scrolled for: 5.46s
[2025-03-30 15:13:27,842] 🛒 Viewed cart for: 2.86s
[2025-03-30 15:13:27,842] ✅ Cart checkout time: 4.45s
[2025-03-30 15:13:27,842] 💳 Payment time: 0.15s
[2025-03-30 15:13:27,956] 🔵 Starting session for USR-ff18bce142df4a94a06c7d24961a171e
[2025-03-30 15:13:28,603] 🚀 USR-b9ca766a22164a99856674558a9eecaa actions log in session 0
[2025-03-30 15:13:28,604] 🖱️ Mouse hovered for: 2.79s
[2025-03-30 15:13:28,604] 📜 Scrolled for: 7.99s
[2025-03-30 15:13:28,604] 🛒 Viewed cart for: 10.6s
[2025-03-30 15:13:28,604] ✅ Cart checkout time: 5.8s
[2025-03-30 15:13:28,605] 💳 Payment time: 0.0s
[2025-03-30 15:13:28,760] 🔵 Starting session for USR-4008e36e3978423bb383cf2bba03af4c
[2025-03-30 15:13:30,052] ⏸️ Skipping USR-b30237a44f774c0b8f3901bd523dbcc0 — session already running
[2025-03-30 15:13:30,623] ⏸️ Skipping USR-0508546bb85a4efaa134ab68118a8aee — session already running
[2025-03-30 15:13:31,422] 🔵 Starting session for USR-5a86f38e0dc94d399f2c83ca026629d9
[2025-03-30 15:13:32,001] 🔵 Starting session for USR-ce11e2f260324245bfbb3a48cd813cf8
[2025-03-30 15:13:33,387] 🚀 USR-b5a0057c5ed545ecb2894042afea3b0d actions log in session 0
[2025-03-30 15:13:33,387] 🖱️ Mouse hovered for: 0.11s
[2025-03-30 15:13:33,387] 📜 Scrolled for: 2.43s
[2025-03-30 15:13:33,387] 🛒 Viewed cart for: 3.35s
[2025-03-30 15:13:33,387] ✅ Cart checkout time: 1.83s
[2025-03-30 15:13:33,387] 💳 Payment time: 0.29s
[2025-03-30 15:13:33,445] 🔵 Starting session for USR-ccb8db43c87545cea7c0207a98d3bbfa
[2025-03-30 15:13:33,637] 🚀 USR-5993c7a862294e4b8070bb8c8d70c4fb actions log in session 0
[2025-03-30 15:13:33,637] 🖱️ Mouse hovered for: 1.75s
[2025-03-30 15:13:33,637] 📜 Scrolled for: 8.89s
[2025-03-30 15:13:33,637] 🛒 Viewed cart for: 11.98s
[2025-03-30 15:13:33,637] ✅ Cart checkout time: 3.42s
[2025-03-30 15:13:33,637] 💳 Payment time: 0.96s
[2025-03-30 15:13:34,865] 🔵 Starting session for USR-86a09cecb4914dbc89219d491a2a6599
[2025-03-30 15:13:35,830] 🚀 USR-8f3c00e923ca426ca36b5fea62fc9c13 actions log in session 0
[2025-03-30 15:13:35,831] 🖱️ Mouse hovered for: 2.63s
[2025-03-30 15:13:35,831] 📜 Scrolled for: 10.19s
[2025-03-30 15:13:35,831] 🛒 Viewed cart for: 9.45s
[2025-03-30 15:13:35,831] ✅ Cart checkout time: 2.8s
[2025-03-30 15:13:35,831] 💳 Payment time: 0.0s
[2025-03-30 15:13:35,916] 🚀 USR-0a425e1f4c1d4ad6a9ceb0f24b78794b actions log in session 0
[2025-03-30 15:13:35,916] 🖱️ Mouse hovered for: 1.8s
[2025-03-30 15:13:35,916] 📜 Scrolled for: 6.79s
[2025-03-30 15:13:35,916] 🛒 Viewed cart for: 19.84s
[2025-03-30 15:13:35,916] ✅ Cart checkout time: 6.14s
[2025-03-30 15:13:35,916] 💳 Payment time: 0.43s
[2025-03-30 15:13:36,283] 🔵 Starting session for USR-dc9e292ba3fe47a690ece0e06c7c006f
[2025-03-30 15:13:37,542] 🔵 Starting session for USR-1c36070f7380468eb7d16e1f88cdeef1
[2025-03-30 15:13:38,372] 🔵 Starting session for USR-45a852e3466a4e4dac2d1e5c41b973c2
[2025-03-30 15:13:39,489] ⏸️ Skipping USR-219438faab1847c79b5612f0ef4c658e — session already running
[2025-03-30 15:13:39,499] 🚀 USR-8a5835fce36c42c3a2dfc75fb8bd6188 actions log in session 0
[2025-03-30 15:13:39,499] 🖱️ Mouse hovered for: 7.89s
[2025-03-30 15:13:39,499] 📜 Scrolled for: 14.41s
[2025-03-30 15:13:39,499] 🛒 Viewed cart for: 7.25s
[2025-03-30 15:13:39,499] ✅ Cart checkout time: 4.99s
[2025-03-30 15:13:39,499] 💳 Payment time: 0.0s
[2025-03-30 15:13:40,798] 🔵 Starting session for USR-90f206fc12934620908fe2a1b0b39fe2
[2025-03-30 15:13:41,485] 🔵 Starting session for USR-c5a3f953048649378404cfc7c79e3ff4
[2025-03-30 15:13:42,544] 🔵 Starting session for USR-c71c97b23b2a474296b9a4e51afd84b5
[2025-03-30 15:13:44,015] 🔵 Starting session for USR-20c0706103604261ac77710e41380b27
[2025-03-30 15:13:44,544] 🚀 USR-1c36070f7380468eb7d16e1f88cdeef1 actions log in session 0
[2025-03-30 15:13:44,544] 🖱️ Mouse hovered for: 0.89s
[2025-03-30 15:13:44,545] 📜 Scrolled for: 2.0s
[2025-03-30 15:13:44,545] 🛒 Viewed cart for: 4.11s
[2025-03-30 15:13:44,545] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:44,545] 💳 Payment time: 0.0s
[2025-03-30 15:13:45,338] ⏸️ Skipping USR-20c0706103604261ac77710e41380b27 — session already running
[2025-03-30 15:13:46,029] ⏸️ Skipping USR-1c36070f7380468eb7d16e1f88cdeef1 — session already running
[2025-03-30 15:13:46,632] 🚀 USR-e318f9d0ab06464c8e8d9aeaa2614db8 actions log in session 0
[2025-03-30 15:13:46,632] 🖱️ Mouse hovered for: 2.08s
[2025-03-30 15:13:46,632] 📜 Scrolled for: 8.6s
[2025-03-30 15:13:46,632] 🛒 Viewed cart for: 6.69s
[2025-03-30 15:13:46,632] ✅ Cart checkout time: 15.55s
[2025-03-30 15:13:46,632] 💳 Payment time: 0.0s
[2025-03-30 15:13:47,159] ⏸️ Skipping USR-b30237a44f774c0b8f3901bd523dbcc0 — session already running
[2025-03-30 15:13:47,161] 🚀 USR-e0fb89eca5e640fb8eab2fd6f823bd22 actions log in session 0
[2025-03-30 15:13:47,161] 🖱️ Mouse hovered for: 6.25s
[2025-03-30 15:13:47,161] 📜 Scrolled for: 12.75s
[2025-03-30 15:13:47,161] 🛒 Viewed cart for: 13.29s
[2025-03-30 15:13:47,161] ✅ Cart checkout time: 11.42s
[2025-03-30 15:13:47,161] 💳 Payment time: 1.29s
[2025-03-30 15:13:47,788] 🔵 Starting session for USR-e189f0937a43455191e29cee1408825c
[2025-03-30 15:13:48,663] 🔵 Starting session for USR-5271e513653841ce9eace47da39e3086
[2025-03-30 15:13:49,275] ⏸️ Skipping USR-1c36070f7380468eb7d16e1f88cdeef1 — session already running
[2025-03-30 15:13:49,665] 🚀 USR-5271e513653841ce9eace47da39e3086 actions log in session 0
[2025-03-30 15:13:49,665] 🖱️ Mouse hovered for: 0.1s
[2025-03-30 15:13:49,665] 📜 Scrolled for: 0.26s
[2025-03-30 15:13:49,665] 🛒 Viewed cart for: 0.64s
[2025-03-30 15:13:49,665] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:49,665] 💳 Payment time: 0.0s
[2025-03-30 15:13:50,003] 🚀 USR-ce11e2f260324245bfbb3a48cd813cf8 actions log in session 0
[2025-03-30 15:13:50,003] 🖱️ Mouse hovered for: 3.83s
[2025-03-30 15:13:50,003] 📜 Scrolled for: 7.14s
[2025-03-30 15:13:50,003] 🛒 Viewed cart for: 3.79s
[2025-03-30 15:13:50,003] ✅ Cart checkout time: 1.33s
[2025-03-30 15:13:50,003] 💳 Payment time: 1.91s
[2025-03-30 15:13:50,018] 🚀 USR-20c0706103604261ac77710e41380b27 actions log in session 0
[2025-03-30 15:13:50,018] 🖱️ Mouse hovered for: 0.28s
[2025-03-30 15:13:50,018] 📜 Scrolled for: 0.98s
[2025-03-30 15:13:50,018] 🛒 Viewed cart for: 3.63s
[2025-03-30 15:13:50,018] ✅ Cart checkout time: 0.93s
[2025-03-30 15:13:50,018] 💳 Payment time: 0.0s
[2025-03-30 15:13:50,714] 🔵 Starting session for USR-defdd343cdc14eadb04f4f08c11da797
[2025-03-30 15:13:51,573] 🚀 USR-38221af142f84385bdf30f70a7d89b6c actions log in session 0
[2025-03-30 15:13:51,573] 🖱️ Mouse hovered for: 4.91s
[2025-03-30 15:13:51,574] 📜 Scrolled for: 4.86s
[2025-03-30 15:13:51,574] 🛒 Viewed cart for: 14.08s
[2025-03-30 15:13:51,574] ✅ Cart checkout time: 13.73s
[2025-03-30 15:13:51,574] 💳 Payment time: 0.0s
[2025-03-30 15:13:51,755] 🔵 Starting session for USR-3cc03fa710374117994996f07cd81c8a
[2025-03-30 15:13:52,547] 🚀 USR-c71c97b23b2a474296b9a4e51afd84b5 actions log in session 0
[2025-03-30 15:13:52,547] 🖱️ Mouse hovered for: 0.12s
[2025-03-30 15:13:52,547] 📜 Scrolled for: 0.5s
[2025-03-30 15:13:52,547] 🛒 Viewed cart for: 1.48s
[2025-03-30 15:13:52,547] ✅ Cart checkout time: 7.88s
[2025-03-30 15:13:52,547] 💳 Payment time: 0.02s
[2025-03-30 15:13:53,193] ⏸️ Skipping USR-3cc03fa710374117994996f07cd81c8a — session already running
[2025-03-30 15:13:53,894] ⏸️ Skipping USR-ccb8db43c87545cea7c0207a98d3bbfa — session already running
[2025-03-30 15:13:54,599] 🔵 Starting session for USR-a4d0c245dbb24f9eacd62cc8cbf2ed95
[2025-03-30 15:13:54,763] 🚀 USR-4008e36e3978423bb383cf2bba03af4c actions log in session 0
[2025-03-30 15:13:54,763] 🖱️ Mouse hovered for: 0.75s
[2025-03-30 15:13:54,763] 📜 Scrolled for: 6.25s
[2025-03-30 15:13:54,763] 🛒 Viewed cart for: 5.14s
[2025-03-30 15:13:54,763] ✅ Cart checkout time: 13.19s
[2025-03-30 15:13:54,763] 💳 Payment time: 0.67s
[2025-03-30 15:13:55,763] 🔵 Starting session for USR-97ebba08e04a43e6b4493f48f663b546
[2025-03-30 15:13:55,799] 🚀 USR-90f206fc12934620908fe2a1b0b39fe2 actions log in session 0
[2025-03-30 15:13:55,799] 🖱️ Mouse hovered for: 0.14s
[2025-03-30 15:13:55,799] 📜 Scrolled for: 1.41s
[2025-03-30 15:13:55,799] 🛒 Viewed cart for: 4.92s
[2025-03-30 15:13:55,799] ✅ Cart checkout time: 8.3s
[2025-03-30 15:13:55,799] 💳 Payment time: 0.0s
[2025-03-30 15:13:55,911] 🚀 USR-b30237a44f774c0b8f3901bd523dbcc0 actions log in session 0
[2025-03-30 15:13:55,911] 🖱️ Mouse hovered for: 3.16s
[2025-03-30 15:13:55,911] 📜 Scrolled for: 6.88s
[2025-03-30 15:13:55,911] 🛒 Viewed cart for: 16.37s
[2025-03-30 15:13:55,911] ✅ Cart checkout time: 3.12s
[2025-03-30 15:13:55,911] 💳 Payment time: 0.0s
[2025-03-30 15:13:56,303] 🔵 Starting session for USR-4d73fedd26c84758a61e16112d3a07a4
[2025-03-30 15:13:57,186] 🔵 Starting session for USR-5e3d453ff266454c8d37ed17fb980c44
[2025-03-30 15:13:58,197] 🔵 Starting session for USR-45c4871d661b4df280654975e911b50a
[2025-03-30 15:13:58,424] 🚀 USR-5a86f38e0dc94d399f2c83ca026629d9 actions log in session 0
[2025-03-30 15:13:58,425] 🖱️ Mouse hovered for: 4.29s
[2025-03-30 15:13:58,425] 📜 Scrolled for: 9.58s
[2025-03-30 15:13:58,425] 🛒 Viewed cart for: 8.09s
[2025-03-30 15:13:58,425] ✅ Cart checkout time: 4.36s
[2025-03-30 15:13:58,425] 💳 Payment time: 0.0s
[2025-03-30 15:13:59,198] 🚀 USR-45c4871d661b4df280654975e911b50a actions log in session 0
[2025-03-30 15:13:59,199] 🖱️ Mouse hovered for: 0.16s
[2025-03-30 15:13:59,199] 📜 Scrolled for: 0.17s
[2025-03-30 15:13:59,199] 🛒 Viewed cart for: 0.13s
[2025-03-30 15:13:59,199] ✅ Cart checkout time: 0.5s
[2025-03-30 15:13:59,199] 💳 Payment time: 0.0s
[2025-03-30 15:13:59,633] 🔵 Starting session for USR-a2f5805704c648ffa30edb87cf0cebe1
[2025-03-30 15:14:00,206] ⏸️ Skipping USR-2c91e21436964809b467654079967cf4 — session already running
[2025-03-30 15:14:01,428] 🔵 Starting session for USR-cdc57c2564e049208da5a96badbd71ba
[2025-03-30 15:14:01,486] 🚀 USR-c5a3f953048649378404cfc7c79e3ff4 actions log in session 0
[2025-03-30 15:14:01,486] 🖱️ Mouse hovered for: 0.78s
[2025-03-30 15:14:01,486] 📜 Scrolled for: 5.22s
[2025-03-30 15:14:01,486] 🛒 Viewed cart for: 14.0s
[2025-03-30 15:14:01,487] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:01,487] 💳 Payment time: 0.0s
[2025-03-30 15:14:02,570] 🔵 Starting session for USR-e4fc412482cb4f88a4337ca0fc7ada12
[2025-03-30 15:14:03,191] 🔵 Starting session for USR-4b68972ed43c4a00a36e99718e019b5d
[2025-03-30 15:14:03,527] 🚀 USR-0508546bb85a4efaa134ab68118a8aee actions log in session 0
[2025-03-30 15:14:03,528] 🖱️ Mouse hovered for: 6.63s
[2025-03-30 15:14:03,528] 📜 Scrolled for: 10.19s
[2025-03-30 15:14:03,528] 🛒 Viewed cart for: 18.8s
[2025-03-30 15:14:03,528] ✅ Cart checkout time: 2.79s
[2025-03-30 15:14:03,528] 💳 Payment time: 2.6s
[2025-03-30 15:14:04,116] 🔵 Starting session for USR-8ab57b97926249e48978eda5bdf8a643
[2025-03-30 15:14:05,177] ⏸️ Skipping USR-ae3d64d6ff8540969f8b213618446eaa — session already running
[2025-03-30 15:14:05,374] 🚀 USR-45a852e3466a4e4dac2d1e5c41b973c2 actions log in session 0
[2025-03-30 15:14:05,374] 🖱️ Mouse hovered for: 0.93s
[2025-03-30 15:14:05,374] 📜 Scrolled for: 7.22s
[2025-03-30 15:14:05,374] 🛒 Viewed cart for: 11.83s
[2025-03-30 15:14:05,374] ✅ Cart checkout time: 6.04s
[2025-03-30 15:14:05,374] 💳 Payment time: 0.98s
[2025-03-30 15:14:05,446] 🚀 USR-ccb8db43c87545cea7c0207a98d3bbfa actions log in session 0
[2025-03-30 15:14:05,447] 🖱️ Mouse hovered for: 2.04s
[2025-03-30 15:14:05,447] 📜 Scrolled for: 15.42s
[2025-03-30 15:14:05,447] 🛒 Viewed cart for: 5.09s
[2025-03-30 15:14:05,447] ✅ Cart checkout time: 8.63s
[2025-03-30 15:14:05,447] 💳 Payment time: 0.82s
[2025-03-30 15:14:06,473] 🔵 Starting session for USR-efd21217f94f4a88bba14a2dcbed63d3
[2025-03-30 15:14:07,475] 🚀 USR-efd21217f94f4a88bba14a2dcbed63d3 actions log in session 0
[2025-03-30 15:14:07,475] 🖱️ Mouse hovered for: 0.07s
[2025-03-30 15:14:07,476] 📜 Scrolled for: 0.21s
[2025-03-30 15:14:07,476] 🛒 Viewed cart for: 0.72s
[2025-03-30 15:14:07,476] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:07,476] 💳 Payment time: 0.0s
[2025-03-30 15:14:07,635] 🚀 USR-a2f5805704c648ffa30edb87cf0cebe1 actions log in session 0
[2025-03-30 15:14:07,635] 🖱️ Mouse hovered for: 1.15s
[2025-03-30 15:14:07,635] 📜 Scrolled for: 2.52s
[2025-03-30 15:14:07,635] 🛒 Viewed cart for: 3.61s
[2025-03-30 15:14:07,635] ✅ Cart checkout time: 0.38s
[2025-03-30 15:14:07,635] 💳 Payment time: 0.35s
[2025-03-30 15:14:07,666] 🚀 USR-2c91e21436964809b467654079967cf4 actions log in session 0
[2025-03-30 15:14:07,667] 🖱️ Mouse hovered for: 5.53s
[2025-03-30 15:14:07,667] 📜 Scrolled for: 12.5s
[2025-03-30 15:14:07,667] 🛒 Viewed cart for: 24.04s
[2025-03-30 15:14:07,667] ✅ Cart checkout time: 5.72s
[2025-03-30 15:14:07,667] 💳 Payment time: 1.2s
[2025-03-30 15:14:07,679] 🚀 USR-49ae806a2a8f480cbe38c368b9d3e249 actions log in session 0
[2025-03-30 15:14:07,679] 🖱️ Mouse hovered for: 1.11s
[2025-03-30 15:14:07,679] 📜 Scrolled for: 4.37s
[2025-03-30 15:14:07,680] 🛒 Viewed cart for: 15.68s
[2025-03-30 15:14:07,680] ✅ Cart checkout time: 24.41s
[2025-03-30 15:14:07,680] 💳 Payment time: 0.0s
[2025-03-30 15:14:07,851] 🔵 Starting session for USR-51b4954e2ed941929d1453713e4cb04b
[2025-03-30 15:14:08,516] 🔵 Starting session for USR-7d283d30a8c345cb97e2b28875ab96f7
[2025-03-30 15:14:09,109] 🔵 Starting session for USR-f92a1e61d86743b48ec80d3afd30ef9c
[2025-03-30 15:14:09,969] 🔵 Starting session for USR-28ceb90f94c74ad0a77281ed88bc56a4
[2025-03-30 15:14:10,111] 🚀 USR-f92a1e61d86743b48ec80d3afd30ef9c actions log in session 0
[2025-03-30 15:14:10,111] 🖱️ Mouse hovered for: 0.07s
[2025-03-30 15:14:10,112] 📜 Scrolled for: 0.23s
[2025-03-30 15:14:10,112] 🛒 Viewed cart for: 0.7s
[2025-03-30 15:14:10,112] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:10,112] 💳 Payment time: 0.0s
[2025-03-30 15:14:10,781] ⏸️ Skipping USR-e4fc412482cb4f88a4337ca0fc7ada12 — session already running
[2025-03-30 15:14:11,790] ⏸️ Skipping USR-ae3d64d6ff8540969f8b213618446eaa — session already running
[2025-03-30 15:14:12,988] 🔵 Starting session for USR-d7f62187bee141ec943aee0ec34be447
[2025-03-30 15:14:13,850] ⏸️ Skipping USR-e0fb89eca5e640fb8eab2fd6f823bd22 — session already running
[2025-03-30 15:14:13,958] 🚀 USR-ff18bce142df4a94a06c7d24961a171e actions log in session 0
[2025-03-30 15:14:13,958] 🖱️ Mouse hovered for: 1.8s
[2025-03-30 15:14:13,958] 📜 Scrolled for: 16.7s
[2025-03-30 15:14:13,958] 🛒 Viewed cart for: 16.17s
[2025-03-30 15:14:13,958] ✅ Cart checkout time: 8.49s
[2025-03-30 15:14:13,958] 💳 Payment time: 0.0s
[2025-03-30 15:14:15,258] 🔵 Starting session for USR-d641306186df4c76bb5327e852ec948b
[2025-03-30 15:14:16,174] 🔵 Starting session for USR-76011bc7e6c0422ab3362358f2136c3f
[2025-03-30 15:14:16,972] 🚀 USR-28ceb90f94c74ad0a77281ed88bc56a4 actions log in session 0
[2025-03-30 15:14:16,972] 🖱️ Mouse hovered for: 0.59s
[2025-03-30 15:14:16,972] 📜 Scrolled for: 5.24s
[2025-03-30 15:14:16,972] 🛒 Viewed cart for: 1.17s
[2025-03-30 15:14:16,972] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:16,972] 💳 Payment time: 0.0s
[2025-03-30 15:14:17,489] 🔵 Starting session for USR-de48983fa15b460182da8adffed9caa3
[2025-03-30 15:14:18,658] ⏸️ Skipping USR-3cc03fa710374117994996f07cd81c8a — session already running
[2025-03-30 15:14:19,803] ⏸️ Skipping USR-68bd92c359864b4db701f37e18d8862c — session already running
[2025-03-30 15:14:20,458] 🚀 USR-4124432b3b48445abab84c4d7ab57ef2 actions log in session 0
[2025-03-30 15:14:20,458] 🖱️ Mouse hovered for: 3.76s
[2025-03-30 15:14:20,458] 📜 Scrolled for: 18.71s
[2025-03-30 15:14:20,458] 🛒 Viewed cart for: 6.13s
[2025-03-30 15:14:20,458] ✅ Cart checkout time: 21.87s
[2025-03-30 15:14:20,458] 💳 Payment time: 2.54s
[2025-03-30 15:14:20,864] 🔵 Starting session for USR-05bbbced6ff74140bcdda0f03218d6f2
[2025-03-30 15:14:21,740] 🔵 Starting session for USR-6e1792473b5240f1a8b19cb5fdc74af9
[2025-03-30 15:14:22,458] ⏸️ Skipping USR-45a852e3466a4e4dac2d1e5c41b973c2 — session already running
[2025-03-30 15:14:22,602] 🚀 USR-a4d0c245dbb24f9eacd62cc8cbf2ed95 actions log in session 0
[2025-03-30 15:14:22,602] 🖱️ Mouse hovered for: 4.21s
[2025-03-30 15:14:22,602] 📜 Scrolled for: 9.44s
[2025-03-30 15:14:22,602] 🛒 Viewed cart for: 7.34s
[2025-03-30 15:14:22,602] ✅ Cart checkout time: 4.05s
[2025-03-30 15:14:22,603] 💳 Payment time: 2.96s
[2025-03-30 15:14:23,007] 🔵 Starting session for USR-8259184920f444229b6977785bd895dd
[2025-03-30 15:14:23,757] 🚀 USR-3cc03fa710374117994996f07cd81c8a actions log in session 0
[2025-03-30 15:14:23,758] 🖱️ Mouse hovered for: 5.4s
[2025-03-30 15:14:23,758] 📜 Scrolled for: 7.3s
[2025-03-30 15:14:23,758] 🛒 Viewed cart for: 9.9s
[2025-03-30 15:14:23,758] ✅ Cart checkout time: 8.87s
[2025-03-30 15:14:23,758] 💳 Payment time: 0.52s
[2025-03-30 15:14:23,832] 🛑 Coroutine shutdown signal received.
