[2025-03-30 15:12:59,580] 🔵 Starting session for USR-9955d56db9514c43a75d16535b1ac334
[2025-03-30 15:13:23,001] ✅ Cart checkout time: 9.38s
[2025-03-30 15:13:23,002] 💳 Payment time: 0.1s
[2025-03-30 15:13:23,899] 🔵 Starting session for USR-44b326bc94bf42b59950f229f7dc718f
[2025-03-30 15:13:24,411] 🔵 Starting session for USR-7ed15291b1e84895bdb93c8a6289e487
[2025-03-30 15:13:25,611] 🔵 Starting session for USR-0bae978e939948e18b08b69842090daf
[2025-03-30 15:13:25,799] 🚀 USR-bfd0d025f2914f78a1fdcc43ea083c67 actions log in session 0
[2025-03-30 15:13:25,799] 🖱️ Mouse hovered for: 1.93s
[2025-03-30 15:13:25,799] 📜 Scrolled for: 4.91s
[2025-03-30 15:13:25,800] 🛒 Viewed cart for: 5.97s
[2025-03-30 15:13:25,800] ✅ Cart checkout time: 3.74s
[2025-03-30 15:13:25,800] 💳 Payment time: 0.45s
[2025-03-30 15:13:26,372] 🔵 Starting session for USR-0b4e5c39e0cf4dd9b4500013eb9eefa2
[2025-03-30 15:13:27,356] 🔵 Starting session for USR-778c3115ccc944caa4379efdb2f79e5a
[2025-03-30 15:13:28,102] 🔵 Starting session for USR-792eec5ae321442e86c2712dc37cff68
[2025-03-30 15:13:28,685] 🔵 Starting session for USR-e906892b03d44209a845327126218828
[2025-03-30 15:13:29,254] 🔵 Starting session for USR-0a4729d7f1f6438bb30f600e3188041d
[2025-03-30 15:13:30,324] ⏸️ Skipping USR-792eec5ae321442e86c2712dc37cff68 — session already running
[2025-03-30 15:13:30,825] 🚀 USR-1edc858a370d499db9262a64f5d66b7a actions log in session 0
[2025-03-30 15:13:30,826] 🖱️ Mouse hovered for: 1.14s
[2025-03-30 15:13:30,827] 📜 Scrolled for: 9.37s
[2025-03-30 15:13:30,827] 🛒 Viewed cart for: 1.61s
[2025-03-30 15:13:30,828] ✅ Cart checkout time: 13.2s
[2025-03-30 15:13:30,828] 💳 Payment time: 0.67s
[2025-03-30 15:13:30,881] 🚀 USR-3a0381b9b1dd4dfcab6e6fecd2e3bf1c actions log in session 0
[2025-03-30 15:13:30,881] 🖱️ Mouse hovered for: 1.61s
[2025-03-30 15:13:30,881] 📜 Scrolled for: 4.19s
[2025-03-30 15:13:30,882] 🛒 Viewed cart for: 12.2s
[2025-03-30 15:13:30,882] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:30,882] 💳 Payment time: 0.0s
[2025-03-30 15:13:31,358] ⏸️ Skipping USR-e906892b03d44209a845327126218828 — session already running
[2025-03-30 15:13:31,878] 🚀 USR-8ee95393c97c41f4aa9d33498edda988 actions log in session 0
[2025-03-30 15:13:31,879] 🖱️ Mouse hovered for: 0.73s
[2025-03-30 15:13:31,879] 📜 Scrolled for: 3.48s
[2025-03-30 15:13:31,879] 🛒 Viewed cart for: 20.79s
[2025-03-30 15:13:31,879] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:31,879] 💳 Payment time: 0.0s
[2025-03-30 15:13:32,482] 🚀 USR-9b7c075b158a4e70b056cbc125c5c704 actions log in session 0
[2025-03-30 15:13:32,483] 🖱️ Mouse hovered for: 2.26s
[2025-03-30 15:13:32,483] 📜 Scrolled for: 3.11s
[2025-03-30 15:13:32,483] 🛒 Viewed cart for: 3.33s
[2025-03-30 15:13:32,483] ✅ Cart checkout time: 1.75s
[2025-03-30 15:13:32,483] 💳 Payment time: 0.0s
[2025-03-30 15:13:32,725] 🔵 Starting session for USR-eb12dc10500545cda676fc01ced312bc
[2025-03-30 15:13:33,775] ⏸️ Skipping USR-1edc858a370d499db9262a64f5d66b7a — session already running
[2025-03-30 15:13:35,130] ⏸️ Skipping USR-59340fd7b5da4e87ac31dc08133d0f89 — session already running
[2025-03-30 15:13:35,680] 🔵 Starting session for USR-f201878b4dbd4c3aadd2754031329b07
[2025-03-30 15:13:36,738] 🔵 Starting session for USR-2ea6d0c33c1a453bb4777a3a23597f85
[2025-03-30 15:13:38,229] 🔵 Starting session for USR-e7eadf07c6ca4efe9a348382b2833c4c
[2025-03-30 15:13:38,799] 🔵 Starting session for USR-4af7ab37ad6740f590a759b9c6e3ee02
[2025-03-30 15:13:39,235] 🚀 USR-1dfe8ed20f81455e9a34e5d05782e458 actions log in session 0
[2025-03-30 15:13:39,236] 🖱️ Mouse hovered for: 0.61s
[2025-03-30 15:13:39,236] 📜 Scrolled for: 14.04s
[2025-03-30 15:13:39,236] 🛒 Viewed cart for: 7.47s
[2025-03-30 15:13:39,236] ✅ Cart checkout time: 8.1s
[2025-03-30 15:13:39,236] 💳 Payment time: 0.0s
[2025-03-30 15:13:39,739] 🚀 USR-2ea6d0c33c1a453bb4777a3a23597f85 actions log in session 0
[2025-03-30 15:13:39,740] 🖱️ Mouse hovered for: 0.09s
[2025-03-30 15:13:39,740] 📜 Scrolled for: 0.89s
[2025-03-30 15:13:39,740] 🛒 Viewed cart for: 0.14s
[2025-03-30 15:13:39,740] ✅ Cart checkout time: 1.79s
[2025-03-30 15:13:39,740] 💳 Payment time: 0.09s
[2025-03-30 15:13:39,902] ⏸️ Skipping USR-9d439614f8e24cdcad9f0e7a0281e79c — session already running
[2025-03-30 15:13:40,007] 🚀 USR-0f3aeadc345f41b4a88b8c9894488fda actions log in session 0
[2025-03-30 15:13:40,007] 🖱️ Mouse hovered for: 1.92s
[2025-03-30 15:13:40,007] 📜 Scrolled for: 8.98s
[2025-03-30 15:13:40,007] 🛒 Viewed cart for: 2.3s
[2025-03-30 15:13:40,007] ✅ Cart checkout time: 22.69s
[2025-03-30 15:13:40,007] 💳 Payment time: 1.11s
[2025-03-30 15:13:41,232] 🚀 USR-e7eadf07c6ca4efe9a348382b2833c4c actions log in session 0
[2025-03-30 15:13:41,232] 🖱️ Mouse hovered for: 0.16s
[2025-03-30 15:13:41,232] 📜 Scrolled for: 1.14s
[2025-03-30 15:13:41,232] 🛒 Viewed cart for: 0.42s
[2025-03-30 15:13:41,232] ✅ Cart checkout time: 1.13s
[2025-03-30 15:13:41,232] 💳 Payment time: 0.0s
[2025-03-30 15:13:41,266] ⏸️ Skipping USR-88df60accd434ebcba8140e0dc096102 — session already running
[2025-03-30 15:13:41,728] 🚀 USR-eb12dc10500545cda676fc01ced312bc actions log in session 0
[2025-03-30 15:13:41,728] 🖱️ Mouse hovered for: 1.87s
[2025-03-30 15:13:41,728] 📜 Scrolled for: 4.98s
[2025-03-30 15:13:41,728] 🛒 Viewed cart for: 2.16s
[2025-03-30 15:13:41,729] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:41,729] 💳 Payment time: 0.0s
[2025-03-30 15:13:42,126] 🚀 USR-4bfedeb0167745929bb2c63b60f03894 actions log in session 0
[2025-03-30 15:13:42,127] 🖱️ Mouse hovered for: 3.22s
[2025-03-30 15:13:42,128] 📜 Scrolled for: 7.22s
[2025-03-30 15:13:42,128] 🛒 Viewed cart for: 20.56s
[2025-03-30 15:13:42,128] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:42,129] 💳 Payment time: 0.0s
[2025-03-30 15:13:42,730] 🔵 Starting session for USR-1a27d91c4ad64fff8feaf48c22fdf4a8
[2025-03-30 15:13:43,203] 🚀 USR-948a445c348147c7bd6a4b69c03f4574 actions log in session 0
[2025-03-30 15:13:43,204] 🖱️ Mouse hovered for: 0.93s
[2025-03-30 15:13:43,204] 📜 Scrolled for: 7.15s
[2025-03-30 15:13:43,204] 🛒 Viewed cart for: 15.18s
[2025-03-30 15:13:43,204] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:43,204] 💳 Payment time: 0.0s
[2025-03-30 15:13:43,517] 🔵 Starting session for USR-c7c3ff97bfb84644a6d5b9b6422a3423
[2025-03-30 15:13:44,362] 🔵 Starting session for USR-97fbaf880aff4648a2ba5f1b4336640d
[2025-03-30 15:13:45,398] ⏸️ Skipping USR-2ea6d0c33c1a453bb4777a3a23597f85 — session already running
[2025-03-30 15:13:46,026] 🔵 Starting session for USR-1727c40b94554490ac3693ec6e21abeb
[2025-03-30 15:13:47,112] ⏸️ Skipping USR-9d439614f8e24cdcad9f0e7a0281e79c — session already running
[2025-03-30 15:13:48,422] 🔵 Starting session for USR-31c9c437a8af44238a759a52f80cea16
[2025-03-30 15:13:48,482] 🚀 USR-bd68adac53f043c4a62cce6152be33b6 actions log in session 0
[2025-03-30 15:13:48,483] 🖱️ Mouse hovered for: 3.36s
[2025-03-30 15:13:48,483] 📜 Scrolled for: 13.14s
[2025-03-30 15:13:48,483] 🛒 Viewed cart for: 2.97s
[2025-03-30 15:13:48,483] ✅ Cart checkout time: 13.11s
[2025-03-30 15:13:48,483] 💳 Payment time: 0.0s
[2025-03-30 15:13:48,801] 🚀 USR-4af7ab37ad6740f590a759b9c6e3ee02 actions log in session 0
[2025-03-30 15:13:48,801] 🖱️ Mouse hovered for: 0.11s
[2025-03-30 15:13:48,801] 📜 Scrolled for: 0.9s
[2025-03-30 15:13:48,801] 🛒 Viewed cart for: 1.57s
[2025-03-30 15:13:48,801] ✅ Cart checkout time: 7.37s
[2025-03-30 15:13:48,801] 💳 Payment time: 0.0s
[2025-03-30 15:13:49,192] 🔵 Starting session for USR-5caadfa578444d35995632ccf6f645ba
[2025-03-30 15:13:50,521] 🔵 Starting session for USR-14d115d1fcb64c7586b34c83134c218b
[2025-03-30 15:13:50,916] 🚀 USR-1da79121217845a18cdb2c4fff61ea97 actions log in session 0
[2025-03-30 15:13:50,916] 🖱️ Mouse hovered for: 7.44s
[2025-03-30 15:13:50,916] 📜 Scrolled for: 13.16s
[2025-03-30 15:13:50,916] 🛒 Viewed cart for: 19.85s
[2025-03-30 15:13:50,916] ✅ Cart checkout time: 4.97s
[2025-03-30 15:13:50,916] 💳 Payment time: 1.58s
[2025-03-30 15:13:51,313] ⏸️ Skipping USR-c7c3ff97bfb84644a6d5b9b6422a3423 — session already running
[2025-03-30 15:13:52,264] 🔵 Starting session for USR-8e689e808abe46979e33bf8ff25fea9b
[2025-03-30 15:13:52,862] 🔵 Starting session for USR-e03f11baee53435684a1dc1074861141
[2025-03-30 15:13:53,620] ⏸️ Skipping USR-e03f11baee53435684a1dc1074861141 — session already running
[2025-03-30 15:13:54,316] 🔵 Starting session for USR-c83a7e668c3243b7b09182fe4487808e
[2025-03-30 15:13:55,400] ⏸️ Skipping USR-5caadfa578444d35995632ccf6f645ba — session already running
[2025-03-30 15:13:56,210] 🔵 Starting session for USR-53a8d05e2e4548c087b667ba8423cb8e
[2025-03-30 15:13:56,582] 🚀 USR-9955d56db9514c43a75d16535b1ac334 actions log in session 0
[2025-03-30 15:13:56,582] 🖱️ Mouse hovered for: 1.89s
[2025-03-30 15:13:56,582] 📜 Scrolled for: 32.16s
[2025-03-30 15:13:56,582] 🛒 Viewed cart for: 20.75s
[2025-03-30 15:13:56,582] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:56,582] 💳 Payment time: 2.2s
[2025-03-30 15:13:57,321] 🔵 Starting session for USR-35eeb96b02f0419883844a2269695aa2
[2025-03-30 15:13:57,902] 🚀 USR-59340fd7b5da4e87ac31dc08133d0f89 actions log in session 0
[2025-03-30 15:13:57,902] 🖱️ Mouse hovered for: 2.54s
[2025-03-30 15:13:57,902] 📜 Scrolled for: 9.61s
[2025-03-30 15:13:57,902] 🛒 Viewed cart for: 28.25s
[2025-03-30 15:13:57,902] ✅ Cart checkout time: 16.35s
[2025-03-30 15:13:57,902] 💳 Payment time: 0.25s
[2025-03-30 15:13:58,412] 🔵 Starting session for USR-5785e052a2cc46359516a238d1e3e411
[2025-03-30 15:13:58,902] 🚀 USR-44b326bc94bf42b59950f229f7dc718f actions log in session 0
[2025-03-30 15:13:58,902] 🖱️ Mouse hovered for: 6.55s
[2025-03-30 15:13:58,902] 📜 Scrolled for: 13.15s
[2025-03-30 15:13:58,902] 🛒 Viewed cart for: 15.29s
[2025-03-30 15:13:58,902] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:58,902] 💳 Payment time: 0.0s
[2025-03-30 15:13:59,096] 🔵 Starting session for USR-427bfcd71daf4abcab6e881eccde1c7f
[2025-03-30 15:13:59,364] 🚀 USR-97fbaf880aff4648a2ba5f1b4336640d actions log in session 0
[2025-03-30 15:13:59,364] 🖱️ Mouse hovered for: 1.76s
[2025-03-30 15:13:59,364] 📜 Scrolled for: 4.64s
[2025-03-30 15:13:59,364] 🛒 Viewed cart for: 6.21s
[2025-03-30 15:13:59,364] ✅ Cart checkout time: 1.88s
[2025-03-30 15:13:59,364] 💳 Payment time: 0.51s
[2025-03-30 15:14:00,096] 🔵 Starting session for USR-46884e4512bf487e85b7e2d4f9248389
[2025-03-30 15:14:00,520] 🚀 USR-5a65887acdae4c5fa8a53d21e89ac586 actions log in session 0
[2025-03-30 15:14:00,521] 🖱️ Mouse hovered for: 13.83s
[2025-03-30 15:14:00,521] 📜 Scrolled for: 9.8s
[2025-03-30 15:14:00,521] 🛒 Viewed cart for: 23.58s
[2025-03-30 15:14:00,521] ✅ Cart checkout time: 7.31s
[2025-03-30 15:14:00,521] 💳 Payment time: 0.48s
[2025-03-30 15:14:01,423] 🚀 USR-31c9c437a8af44238a759a52f80cea16 actions log in session 0
[2025-03-30 15:14:01,423] 🖱️ Mouse hovered for: 1.87s
[2025-03-30 15:14:01,423] 📜 Scrolled for: 1.14s
[2025-03-30 15:14:01,423] 🛒 Viewed cart for: 5.74s
[2025-03-30 15:14:01,423] ✅ Cart checkout time: 4.11s
[2025-03-30 15:14:01,423] 💳 Payment time: 0.0s
[2025-03-30 15:14:01,430] ⏸️ Skipping USR-0bae978e939948e18b08b69842090daf — session already running
[2025-03-30 15:14:01,865] 🚀 USR-e03f11baee53435684a1dc1074861141 actions log in session 0
[2025-03-30 15:14:01,865] 🖱️ Mouse hovered for: 0.69s
[2025-03-30 15:14:01,865] 📜 Scrolled for: 2.58s
[2025-03-30 15:14:01,865] 🛒 Viewed cart for: 1.91s
[2025-03-30 15:14:01,865] ✅ Cart checkout time: 3.19s
[2025-03-30 15:14:01,865] 💳 Payment time: 0.0s
[2025-03-30 15:14:01,998] ⏸️ Skipping USR-0f3aeadc345f41b4a88b8c9894488fda — session already running
[2025-03-30 15:14:03,073] ⏸️ Skipping USR-9d439614f8e24cdcad9f0e7a0281e79c — session already running
[2025-03-30 15:14:04,332] ⏸️ Skipping USR-f201878b4dbd4c3aadd2754031329b07 — session already running
[2025-03-30 15:14:04,522] 🚀 USR-14d115d1fcb64c7586b34c83134c218b actions log in session 0
[2025-03-30 15:14:04,522] 🖱️ Mouse hovered for: 0.61s
[2025-03-30 15:14:04,523] 📜 Scrolled for: 0.85s
[2025-03-30 15:14:04,523] 🛒 Viewed cart for: 8.13s
[2025-03-30 15:14:04,523] ✅ Cart checkout time: 4.28s
[2025-03-30 15:14:04,523] 💳 Payment time: 0.13s
[2025-03-30 15:14:05,412] 🚀 USR-7ed15291b1e84895bdb93c8a6289e487 actions log in session 0
[2025-03-30 15:14:05,412] 🖱️ Mouse hovered for: 2.95s
[2025-03-30 15:14:05,412] 📜 Scrolled for: 8.91s
[2025-03-30 15:14:05,412] 🛒 Viewed cart for: 14.37s
[2025-03-30 15:14:05,412] ✅ Cart checkout time: 12.33s
[2025-03-30 15:14:05,412] 💳 Payment time: 2.45s
[2025-03-30 15:14:05,557] ⏸️ Skipping USR-5a65887acdae4c5fa8a53d21e89ac586 — session already running
[2025-03-30 15:14:05,965] 🚀 USR-88df60accd434ebcba8140e0dc096102 actions log in session 0
[2025-03-30 15:14:05,965] 🖱️ Mouse hovered for: 6.28s
[2025-03-30 15:14:05,965] 📜 Scrolled for: 17.23s
[2025-03-30 15:14:05,965] 🛒 Viewed cart for: 32.5s
[2025-03-30 15:14:05,965] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:05,965] 💳 Payment time: 0.0s
[2025-03-30 15:14:06,135] 🔵 Starting session for USR-274c323c73a4473fa4ec30ce6bfd7f4e
[2025-03-30 15:14:06,751] 🔵 Starting session for USR-ad59ae0a3a56440e89597ace4f8fa995
[2025-03-30 15:14:07,825] 🔵 Starting session for USR-40cda359fc694b71bcee0d6e48a663c2
[2025-03-30 15:14:08,591] ⏸️ Skipping USR-bd68adac53f043c4a62cce6152be33b6 — session already running
[2025-03-30 15:14:09,389] 🔵 Starting session for USR-197b99426b96412591812eec32198897
[2025-03-30 15:14:09,690] 🚀 USR-e906892b03d44209a845327126218828 actions log in session 0
[2025-03-30 15:14:09,690] 🖱️ Mouse hovered for: 4.35s
[2025-03-30 15:14:09,690] 📜 Scrolled for: 14.44s
[2025-03-30 15:14:09,690] 🛒 Viewed cart for: 16.74s
[2025-03-30 15:14:09,691] ✅ Cart checkout time: 4.7s
[2025-03-30 15:14:09,691] 💳 Payment time: 0.0s
[2025-03-30 15:14:10,422] 🔵 Starting session for USR-fb3b389fc708418f86b0ce9cec1dd7b2
[2025-03-30 15:14:11,379] 🔵 Starting session for USR-220105d560cc4794aa84e142f29b0df8
[2025-03-30 15:14:11,613] 🚀 USR-0bae978e939948e18b08b69842090daf actions log in session 0
[2025-03-30 15:14:11,613] 🖱️ Mouse hovered for: 4.53s
[2025-03-30 15:14:11,613] 📜 Scrolled for: 20.23s
[2025-03-30 15:14:11,613] 🛒 Viewed cart for: 11.42s
[2025-03-30 15:14:11,613] ✅ Cart checkout time: 9.29s
[2025-03-30 15:14:11,613] 💳 Payment time: 0.0s
[2025-03-30 15:14:12,375] 🚀 USR-0b4e5c39e0cf4dd9b4500013eb9eefa2 actions log in session 0
[2025-03-30 15:14:12,375] 🖱️ Mouse hovered for: 6.83s
[2025-03-30 15:14:12,375] 📜 Scrolled for: 15.04s
[2025-03-30 15:14:12,375] 🛒 Viewed cart for: 14.25s
[2025-03-30 15:14:12,375] ✅ Cart checkout time: 8.74s
[2025-03-30 15:14:12,376] 💳 Payment time: 1.15s
[2025-03-30 15:14:12,711] 🔵 Starting session for USR-472dc7238af343ddb293d1d7c16e5b41
[2025-03-30 15:14:13,359] 🚀 USR-778c3115ccc944caa4379efdb2f79e5a actions log in session 0
[2025-03-30 15:14:13,360] 🖱️ Mouse hovered for: 5.57s
[2025-03-30 15:14:13,360] 📜 Scrolled for: 12.72s
[2025-03-30 15:14:13,360] 🛒 Viewed cart for: 16.07s
[2025-03-30 15:14:13,360] ✅ Cart checkout time: 10.64s
[2025-03-30 15:14:13,360] 💳 Payment time: 0.99s
[2025-03-30 15:14:13,518] 🚀 USR-c7c3ff97bfb84644a6d5b9b6422a3423 actions log in session 0
[2025-03-30 15:14:13,518] 🖱️ Mouse hovered for: 4.2s
[2025-03-30 15:14:13,518] 📜 Scrolled for: 2.21s
[2025-03-30 15:14:13,518] 🛒 Viewed cart for: 16.5s
[2025-03-30 15:14:13,518] ✅ Cart checkout time: 6.82s
[2025-03-30 15:14:13,518] 💳 Payment time: 0.27s
[2025-03-30 15:14:14,038] 🚀 USR-7de3ab01d948410e9548b483a20fcf88 actions log in session 0
[2025-03-30 15:14:14,038] 🖱️ Mouse hovered for: 2.39s
[2025-03-30 15:14:14,038] 📜 Scrolled for: 19.43s
[2025-03-30 15:14:14,038] 🛒 Viewed cart for: 10.39s
[2025-03-30 15:14:14,038] ✅ Cart checkout time: 26.55s
[2025-03-30 15:14:14,038] 💳 Payment time: 0.0s
[2025-03-30 15:14:14,210] ⏸️ Skipping USR-fb3b389fc708418f86b0ce9cec1dd7b2 — session already running
[2025-03-30 15:14:14,258] 🚀 USR-0a4729d7f1f6438bb30f600e3188041d actions log in session 0
[2025-03-30 15:14:14,259] 🖱️ Mouse hovered for: 2.68s
[2025-03-30 15:14:14,259] 📜 Scrolled for: 7.36s
[2025-03-30 15:14:14,259] 🛒 Viewed cart for: 17.43s
[2025-03-30 15:14:14,259] ✅ Cart checkout time: 16.14s
[2025-03-30 15:14:14,259] 💳 Payment time: 0.0s
[2025-03-30 15:14:15,044] 🔵 Starting session for USR-917179a8d07d4895a98b1fa24ea16855
[2025-03-30 15:14:16,040] 🔵 Starting session for USR-42d56fb10aba4d63892bbb11a52d38cc
[2025-03-30 15:14:16,265] 🚀 USR-8e689e808abe46979e33bf8ff25fea9b actions log in session 0
[2025-03-30 15:14:16,265] 🖱️ Mouse hovered for: 1.59s
[2025-03-30 15:14:16,265] 📜 Scrolled for: 6.19s
[2025-03-30 15:14:16,265] 🛒 Viewed cart for: 10.6s
[2025-03-30 15:14:16,265] ✅ Cart checkout time: 4.23s
[2025-03-30 15:14:16,265] 💳 Payment time: 0.0s
[2025-03-30 15:14:16,469] 🚀 USR-ce63f223aa7d4356ada777300442562f actions log in session 0
[2025-03-30 15:14:16,470] 🖱️ Mouse hovered for: 3.89s
[2025-03-30 15:14:16,470] 📜 Scrolled for: 15.4s
[2025-03-30 15:14:16,470] 🛒 Viewed cart for: 8.83s
[2025-03-30 15:14:16,470] ✅ Cart checkout time: 23.35s
[2025-03-30 15:14:16,470] 💳 Payment time: 0.0s
[2025-03-30 15:14:17,274] 🔵 Starting session for USR-d6d712db4f734aa2bcbdfa695e6484ef
[2025-03-30 15:14:17,323] 🚀 USR-35eeb96b02f0419883844a2269695aa2 actions log in session 0
[2025-03-30 15:14:17,324] 🖱️ Mouse hovered for: 0.29s
[2025-03-30 15:14:17,324] 📜 Scrolled for: 1.57s
[2025-03-30 15:14:17,324] 🛒 Viewed cart for: 7.21s
[2025-03-30 15:14:17,324] ✅ Cart checkout time: 10.83s
[2025-03-30 15:14:17,324] 💳 Payment time: 0.1s
[2025-03-30 15:14:18,481] ⏸️ Skipping USR-5a65887acdae4c5fa8a53d21e89ac586 — session already running
[2025-03-30 15:14:19,101] 🚀 USR-46884e4512bf487e85b7e2d4f9248389 actions log in session 0
[2025-03-30 15:14:19,102] 🖱️ Mouse hovered for: 0.31s
[2025-03-30 15:14:19,102] 📜 Scrolled for: 2.15s
[2025-03-30 15:14:19,102] 🛒 Viewed cart for: 6.18s
[2025-03-30 15:14:19,102] ✅ Cart checkout time: 10.02s
[2025-03-30 15:14:19,102] 💳 Payment time: 0.0s
[2025-03-30 15:14:19,255] ⏸️ Skipping USR-0f3aeadc345f41b4a88b8c9894488fda — session already running
[2025-03-30 15:14:19,276] 🚀 USR-d6d712db4f734aa2bcbdfa695e6484ef actions log in session 0
[2025-03-30 15:14:19,277] 🖱️ Mouse hovered for: 0.16s
[2025-03-30 15:14:19,277] 📜 Scrolled for: 0.41s
[2025-03-30 15:14:19,277] 🛒 Viewed cart for: 0.71s
[2025-03-30 15:14:19,277] ✅ Cart checkout time: 0.61s
[2025-03-30 15:14:19,277] 💳 Payment time: 0.0s
[2025-03-30 15:14:19,483] 🕒 USR-bd68adac53f043c4a62cce6152be33b6 finished session 0
[2025-03-30 15:14:19,894] 🔵 Starting session for USR-3628ad455a354f78a45d070f93767031
[2025-03-30 15:14:20,106] 🚀 USR-792eec5ae321442e86c2712dc37cff68 actions log in session 0
[2025-03-30 15:14:20,106] 🖱️ Mouse hovered for: 0.25s
[2025-03-30 15:14:20,106] 📜 Scrolled for: 15.83s
[2025-03-30 15:14:20,107] 🛒 Viewed cart for: 22.78s
[2025-03-30 15:14:20,107] ✅ Cart checkout time: 12.15s
[2025-03-30 15:14:20,107] 💳 Payment time: 0.0s
[2025-03-30 15:14:20,897] 🔵 Starting session for USR-d96f45784f1443d5bfba402dafd70c34
[2025-03-30 15:14:21,682] 🚀 USR-f201878b4dbd4c3aadd2754031329b07 actions log in session 0
[2025-03-30 15:14:21,682] 🖱️ Mouse hovered for: 3.76s
[2025-03-30 15:14:21,683] 📜 Scrolled for: 9.26s
[2025-03-30 15:14:21,683] 🛒 Viewed cart for: 14.89s
[2025-03-30 15:14:21,683] ✅ Cart checkout time: 17.89s
[2025-03-30 15:14:21,683] 💳 Payment time: 0.19s
[2025-03-30 15:14:21,732] 🚀 USR-1a27d91c4ad64fff8feaf48c22fdf4a8 actions log in session 0
[2025-03-30 15:14:21,732] 🖱️ Mouse hovered for: 5.92s
[2025-03-30 15:14:21,732] 📜 Scrolled for: 5.73s
[2025-03-30 15:14:21,732] 🛒 Viewed cart for: 10.2s
[2025-03-30 15:14:21,732] ✅ Cart checkout time: 15.72s
[2025-03-30 15:14:21,732] 💳 Payment time: 1.43s
[2025-03-30 15:14:22,043] 🚀 USR-42d56fb10aba4d63892bbb11a52d38cc actions log in session 0
[2025-03-30 15:14:22,044] 🖱️ Mouse hovered for: 0.22s
[2025-03-30 15:14:22,044] 📜 Scrolled for: 1.35s
[2025-03-30 15:14:22,044] 🛒 Viewed cart for: 4.43s
[2025-03-30 15:14:22,044] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:22,044] 💳 Payment time: 0.0s
