[2025-03-30 15:12:59,607] 🔵 Starting session for USR-9943038185314ad0880ab148ca6fad62
[2025-03-30 15:13:47,249] 📜 Scrolled for: 3.51s
[2025-03-30 15:13:47,249] 🛒 Viewed cart for: 7.5s
[2025-03-30 15:13:47,249] ✅ Cart checkout time: 6.3s
[2025-03-30 15:13:47,249] 💳 Payment time: 0.0s
[2025-03-30 15:13:48,020] 🔵 Starting session for USR-ef856e1f9a1b43a0b70813ffdd5b722e
[2025-03-30 15:13:48,273] 🚀 USR-e32e83f2c5864b6699751f8e64c24b70 actions log in session 0
[2025-03-30 15:13:48,273] 🖱️ Mouse hovered for: 5.72s
[2025-03-30 15:13:48,273] 📜 Scrolled for: 15.17s
[2025-03-30 15:13:48,273] 🛒 Viewed cart for: 15.1s
[2025-03-30 15:13:48,274] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:48,274] 💳 Payment time: 0.0s
[2025-03-30 15:13:49,050] ⏸️ Skipping USR-15fab33baa70432e9f6e58a797307135 — session already running
[2025-03-30 15:13:49,419] 🚀 USR-4acaf9cc761d4efdba7b74572af1ab0e actions log in session 0
[2025-03-30 15:13:49,419] 🖱️ Mouse hovered for: 1.51s
[2025-03-30 15:13:49,420] 📜 Scrolled for: 2.53s
[2025-03-30 15:13:49,420] 🛒 Viewed cart for: 4.91s
[2025-03-30 15:13:49,420] ✅ Cart checkout time: 2.1s
[2025-03-30 15:13:49,420] 💳 Payment time: 0.96s
[2025-03-30 15:13:50,349] 🔵 Starting session for USR-def0f3c0d82a4bb986507cab0fa5748b
[2025-03-30 15:13:50,536] 🚀 USR-7d8e6b442bd447308a3f664c07ee5b36 actions log in session 0
[2025-03-30 15:13:50,536] 🖱️ Mouse hovered for: 0.33s
[2025-03-30 15:13:50,536] 📜 Scrolled for: 4.96s
[2025-03-30 15:13:50,536] 🛒 Viewed cart for: 3.71s
[2025-03-30 15:13:50,536] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:50,536] 💳 Payment time: 0.0s
[2025-03-30 15:13:51,594] 🔵 Starting session for USR-9e6d56eac2de4359ba120c55760cdbf8
[2025-03-30 15:13:52,400] 🚀 USR-3a9c256a91b24628b20cbd18108aaaa8 actions log in session 0
[2025-03-30 15:13:52,400] 🖱️ Mouse hovered for: 4.42s
[2025-03-30 15:13:52,400] 📜 Scrolled for: 6.48s
[2025-03-30 15:13:52,401] 🛒 Viewed cart for: 7.89s
[2025-03-30 15:13:52,401] ✅ Cart checkout time: 7.43s
[2025-03-30 15:13:52,401] 💳 Payment time: 0.0s
[2025-03-30 15:13:52,548] 🔵 Starting session for USR-df8eff6017144d22b81bddb390046149
[2025-03-30 15:13:53,745] ⏸️ Skipping USR-def0f3c0d82a4bb986507cab0fa5748b — session already running
[2025-03-30 15:13:54,023] 🚀 USR-ef856e1f9a1b43a0b70813ffdd5b722e actions log in session 0
[2025-03-30 15:13:54,023] 🖱️ Mouse hovered for: 0.75s
[2025-03-30 15:13:54,023] 📜 Scrolled for: 1.59s
[2025-03-30 15:13:54,024] 🛒 Viewed cart for: 2.13s
[2025-03-30 15:13:54,024] ✅ Cart checkout time: 1.05s
[2025-03-30 15:13:54,024] 💳 Payment time: 0.48s
[2025-03-30 15:13:54,904] 🔵 Starting session for USR-f6a0b9d1a5fe49ff82a66eec4367e6d4
[2025-03-30 15:13:55,478] 🚀 USR-1f8f440f4ce84428887b38a85c69019b actions log in session 0
[2025-03-30 15:13:55,478] 🖱️ Mouse hovered for: 3.86s
[2025-03-30 15:13:55,478] 📜 Scrolled for: 12.02s
[2025-03-30 15:13:55,478] 🛒 Viewed cart for: 33.12s
[2025-03-30 15:13:55,478] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:55,478] 💳 Payment time: 0.0s
[2025-03-30 15:13:55,493] 🚀 USR-67962cb2400b42baaea1aa6ce01b6035 actions log in session 0
[2025-03-30 15:13:55,493] 🖱️ Mouse hovered for: 7.21s
[2025-03-30 15:13:55,493] 📜 Scrolled for: 13.55s
[2025-03-30 15:13:55,493] 🛒 Viewed cart for: 13.47s
[2025-03-30 15:13:55,493] ✅ Cart checkout time: 12.55s
[2025-03-30 15:13:55,493] 💳 Payment time: 0.0s
[2025-03-30 15:13:55,809] ⏸️ Skipping USR-4acaf9cc761d4efdba7b74572af1ab0e — session already running
[2025-03-30 15:13:56,578] 🚀 USR-a7198894b4b04e93b15b1ee1fdc6b068 actions log in session 0
[2025-03-30 15:13:56,578] 🖱️ Mouse hovered for: 2.17s
[2025-03-30 15:13:56,578] 📜 Scrolled for: 8.49s
[2025-03-30 15:13:56,578] 🛒 Viewed cart for: 14.34s
[2025-03-30 15:13:56,578] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:56,578] 💳 Payment time: 0.0s
[2025-03-30 15:13:56,635] 🔵 Starting session for USR-0eb6c73766bc4bfa8a7331f7f1763eeb
[2025-03-30 15:13:57,297] 🔵 Starting session for USR-ff2b7f40f99c42b2997172e4daa235d0
[2025-03-30 15:13:57,997] ⏸️ Skipping USR-2176db6ebd884e798db7f0b619c7a8ea — session already running
[2025-03-30 15:13:59,105] 🔵 Starting session for USR-a6db5be4d0b04ca28cbd3923bb3a8f75
[2025-03-30 15:13:59,795] 🚀 USR-0d4392ef392240378fec9d01e8c58437 actions log in session 0
[2025-03-30 15:13:59,795] 🖱️ Mouse hovered for: 3.42s
[2025-03-30 15:13:59,795] 📜 Scrolled for: 9.02s
[2025-03-30 15:13:59,796] 🛒 Viewed cart for: 19.87s
[2025-03-30 15:13:59,796] ✅ Cart checkout time: 10.92s
[2025-03-30 15:13:59,796] 💳 Payment time: 0.0s
[2025-03-30 15:14:00,577] 🔵 Starting session for USR-7b3399200179497eb7f1591e4223a2b0
[2025-03-30 15:14:01,989] 🔵 Starting session for USR-a356868b09844d408c25c871fe20219c
[2025-03-30 15:14:02,108] 🚀 USR-a6db5be4d0b04ca28cbd3923bb3a8f75 actions log in session 0
[2025-03-30 15:14:02,108] 🖱️ Mouse hovered for: 0.16s
[2025-03-30 15:14:02,108] 📜 Scrolled for: 1.29s
[2025-03-30 15:14:02,108] 🛒 Viewed cart for: 1.56s
[2025-03-30 15:14:02,108] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:02,108] 💳 Payment time: 0.0s
[2025-03-30 15:14:02,513] 🔵 Starting session for USR-25e96b18d1254163bf9dad650e97b456
[2025-03-30 15:14:03,350] 🚀 USR-def0f3c0d82a4bb986507cab0fa5748b actions log in session 0
[2025-03-30 15:14:03,350] 🖱️ Mouse hovered for: 1.7s
[2025-03-30 15:14:03,350] 📜 Scrolled for: 1.97s
[2025-03-30 15:14:03,350] 🛒 Viewed cart for: 4.4s
[2025-03-30 15:14:03,350] ✅ Cart checkout time: 4.49s
[2025-03-30 15:14:03,351] 💳 Payment time: 0.0s
[2025-03-30 15:14:03,555] 🔵 Starting session for USR-a20d6f553fbb4e3b8b93eac5cb647c74
[2025-03-30 15:14:03,579] 🚀 USR-7b3399200179497eb7f1591e4223a2b0 actions log in session 0
[2025-03-30 15:14:03,579] 🖱️ Mouse hovered for: 0.33s
[2025-03-30 15:14:03,579] 📜 Scrolled for: 0.57s
[2025-03-30 15:14:03,579] 🛒 Viewed cart for: 0.55s
[2025-03-30 15:14:03,579] ✅ Cart checkout time: 1.48s
[2025-03-30 15:14:03,579] 💳 Payment time: 0.08s
[2025-03-30 15:14:03,642] 🚀 USR-069bc0a557d441d797cb6147ba334647 actions log in session 0
[2025-03-30 15:14:03,642] 🖱️ Mouse hovered for: 4.3s
[2025-03-30 15:14:03,642] 📜 Scrolled for: 13.95s
[2025-03-30 15:14:03,642] 🛒 Viewed cart for: 12.79s
[2025-03-30 15:14:03,642] ✅ Cart checkout time: 10.24s
[2025-03-30 15:14:03,642] 💳 Payment time: 1.73s
[2025-03-30 15:14:03,779] 🚀 USR-2176db6ebd884e798db7f0b619c7a8ea actions log in session 0
[2025-03-30 15:14:03,779] 🖱️ Mouse hovered for: 4.02s
[2025-03-30 15:14:03,779] 📜 Scrolled for: 22.02s
[2025-03-30 15:14:03,780] 🛒 Viewed cart for: 11.19s
[2025-03-30 15:14:03,780] ✅ Cart checkout time: 14.34s
[2025-03-30 15:14:03,780] 💳 Payment time: 0.0s
[2025-03-30 15:14:04,516] 🚀 USR-25e96b18d1254163bf9dad650e97b456 actions log in session 0
[2025-03-30 15:14:04,516] 🖱️ Mouse hovered for: 0.17s
[2025-03-30 15:14:04,516] 📜 Scrolled for: 0.46s
[2025-03-30 15:14:04,516] 🛒 Viewed cart for: 0.92s
[2025-03-30 15:14:04,516] ✅ Cart checkout time: 0.28s
[2025-03-30 15:14:04,516] 💳 Payment time: 0.17s
[2025-03-30 15:14:04,863] ⏸️ Skipping USR-a6db5be4d0b04ca28cbd3923bb3a8f75 — session already running
[2025-03-30 15:14:06,286] ⏸️ Skipping USR-53fdbc7bd29147049bf60a7efdbec39e — session already running
[2025-03-30 15:14:07,194] ⏸️ Skipping USR-20165a94ef924d4f869486e6f58d7816 — session already running
[2025-03-30 15:14:07,819] 🔵 Starting session for USR-aee3b682be0e478fb2de8223424af4f2
[2025-03-30 15:14:09,007] ⏸️ Skipping USR-9943038185314ad0880ab148ca6fad62 — session already running
[2025-03-30 15:14:09,759] ⏸️ Skipping USR-d24faf5cc7bd4c08a063a4effd906146 — session already running
[2025-03-30 15:14:09,979] 🚀 USR-deef7252c0624f62b0eb13760283478c actions log in session 0
[2025-03-30 15:14:09,980] 🖱️ Mouse hovered for: 1.16s
[2025-03-30 15:14:09,980] 📜 Scrolled for: 10.98s
[2025-03-30 15:14:09,980] 🛒 Viewed cart for: 22.63s
[2025-03-30 15:14:09,980] ✅ Cart checkout time: 22.39s
[2025-03-30 15:14:09,980] 💳 Payment time: 0.0s
[2025-03-30 15:14:10,724] 🔵 Starting session for USR-61751791532c4302913e20f7c1af3f0b
[2025-03-30 15:14:10,983] 🚀 USR-2fbbcf62693c4ba187e19370ce67272f actions log in session 0
[2025-03-30 15:14:10,983] 🖱️ Mouse hovered for: 7.26s
[2025-03-30 15:14:10,983] 📜 Scrolled for: 13.8s
[2025-03-30 15:14:10,983] 🛒 Viewed cart for: 18.57s
[2025-03-30 15:14:10,983] ✅ Cart checkout time: 4.01s
[2025-03-30 15:14:10,983] 💳 Payment time: 0.0s
[2025-03-30 15:14:11,190] 🚀 USR-0ff02e74c67640c3bcdabacb213d0909 actions log in session 0
[2025-03-30 15:14:11,190] 🖱️ Mouse hovered for: 0.7s
[2025-03-30 15:14:11,190] 📜 Scrolled for: 5.3s
[2025-03-30 15:14:11,190] 🛒 Viewed cart for: 5.52s
[2025-03-30 15:14:11,190] ✅ Cart checkout time: 44.63s
[2025-03-30 15:14:11,190] 💳 Payment time: 0.86s
[2025-03-30 15:14:11,735] 🔵 Starting session for USR-718198d1d070482e9abab6122df1d525
[2025-03-30 15:14:13,017] 🔵 Starting session for USR-ba9a12dac2a142d9b8ba3a3a1d58c232
[2025-03-30 15:14:13,679] 🚀 USR-f2b5bff44a3b44f0a0a04f6228ec9557 actions log in session 0
[2025-03-30 15:14:13,679] 🖱️ Mouse hovered for: 3.8s
[2025-03-30 15:14:13,679] 📜 Scrolled for: 16.81s
[2025-03-30 15:14:13,679] 🛒 Viewed cart for: 19.38s
[2025-03-30 15:14:13,680] ✅ Cart checkout time: 12.38s
[2025-03-30 15:14:13,680] 💳 Payment time: 0.0s
[2025-03-30 15:14:13,726] 🚀 USR-61751791532c4302913e20f7c1af3f0b actions log in session 0
[2025-03-30 15:14:13,726] 🖱️ Mouse hovered for: 0.05s
[2025-03-30 15:14:13,726] 📜 Scrolled for: 0.55s
[2025-03-30 15:14:13,726] 🛒 Viewed cart for: 2.4s
[2025-03-30 15:14:13,726] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:13,726] 💳 Payment time: 0.0s
[2025-03-30 15:14:13,808] ⏸️ Skipping USR-25e96b18d1254163bf9dad650e97b456 — session already running
[2025-03-30 15:14:14,404] 🚀 USR-861e5b17993a467485f673445ec49434 actions log in session 0
[2025-03-30 15:14:14,405] 🖱️ Mouse hovered for: 2.6s
[2025-03-30 15:14:14,405] 📜 Scrolled for: 11.86s
[2025-03-30 15:14:14,406] 🛒 Viewed cart for: 13.9s
[2025-03-30 15:14:14,406] ✅ Cart checkout time: 10.62s
[2025-03-30 15:14:14,406] 💳 Payment time: 1.02s
[2025-03-30 15:14:14,478] ⏸️ Skipping USR-9943038185314ad0880ab148ca6fad62 — session already running
[2025-03-30 15:14:15,256] ⏸️ Skipping USR-0eb6c73766bc4bfa8a7331f7f1763eeb — session already running
[2025-03-30 15:14:15,494] 🚀 USR-9a5814bf745e477fb20e9a3996c33cf0 actions log in session 0
[2025-03-30 15:14:15,495] 🖱️ Mouse hovered for: 0.19s
[2025-03-30 15:14:15,495] 📜 Scrolled for: 16.69s
[2025-03-30 15:14:15,495] 🛒 Viewed cart for: 30.12s
[2025-03-30 15:14:15,495] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:15,495] 💳 Payment time: 0.0s
[2025-03-30 15:14:15,857] 🚀 USR-0247b88da85349d7a1edae45553e6aa8 actions log in session 0
[2025-03-30 15:14:15,857] 🖱️ Mouse hovered for: 7.42s
[2025-03-30 15:14:15,857] 📜 Scrolled for: 20.09s
[2025-03-30 15:14:15,857] 🛒 Viewed cart for: 29.49s
[2025-03-30 15:14:15,858] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:15,858] 💳 Payment time: 0.0s
[2025-03-30 15:14:16,167] ⏸️ Skipping USR-be94e622e8ff42a5a94c03aadc12edc5 — session already running
[2025-03-30 15:14:16,445] 🚀 USR-8117d82d0ced4d26b056f9d2195a73fd actions log in session 0
[2025-03-30 15:14:16,445] 🖱️ Mouse hovered for: 15.37s
[2025-03-30 15:14:16,445] 📜 Scrolled for: 15.7s
[2025-03-30 15:14:16,445] 🛒 Viewed cart for: 12.92s
[2025-03-30 15:14:16,445] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:16,445] 💳 Payment time: 0.0s
[2025-03-30 15:14:16,833] 🚀 USR-015a5c2abc0945639c08f7c38cccb9f8 actions log in session 0
[2025-03-30 15:14:16,833] 🖱️ Mouse hovered for: 1.8s
[2025-03-30 15:14:16,833] 📜 Scrolled for: 13.56s
[2025-03-30 15:14:16,833] 🛒 Viewed cart for: 39.64s
[2025-03-30 15:14:16,833] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:16,833] 💳 Payment time: 0.0s
[2025-03-30 15:14:17,176] 🔵 Starting session for USR-0eb0f1e5734244098f0018865c3b4eb5
[2025-03-30 15:14:18,634] 🔵 Starting session for USR-2511296bcd304781b0f2377ad2bba784
[2025-03-30 15:14:18,906] 🚀 USR-f6a0b9d1a5fe49ff82a66eec4367e6d4 actions log in session 0
[2025-03-30 15:14:18,906] 🖱️ Mouse hovered for: 1.2s
[2025-03-30 15:14:18,906] 📜 Scrolled for: 8.8s
[2025-03-30 15:14:18,906] 🛒 Viewed cart for: 3.76s
[2025-03-30 15:14:18,906] ✅ Cart checkout time: 7.63s
[2025-03-30 15:14:18,906] 💳 Payment time: 2.61s
[2025-03-30 15:14:19,416] ⏸️ Skipping USR-f6a0b9d1a5fe49ff82a66eec4367e6d4 — session already running
[2025-03-30 15:14:20,011] ⏸️ Skipping USR-25e96b18d1254163bf9dad650e97b456 — session already running
[2025-03-30 15:14:21,481] ⏸️ Skipping USR-7d8e6b442bd447308a3f664c07ee5b36 — session already running
