[2025-03-30 15:12:59,579] 🔵 Starting session for USR-fe4a41ae047940b381e02a1622aee859
[2025-03-30 15:13:25,973] 📜 Scrolled for: 4.22s
[2025-03-30 15:13:25,973] 🛒 Viewed cart for: 7.84s
[2025-03-30 15:13:25,973] ✅ Cart checkout time: 2.23s
[2025-03-30 15:13:25,973] 💳 Payment time: 0.0s
[2025-03-30 15:13:26,410] 🚀 USR-fef424af019145879d6e56d6c3b0d17a actions log in session 0
[2025-03-30 15:13:26,411] 🖱️ Mouse hovered for: 0.65s
[2025-03-30 15:13:26,411] 📜 Scrolled for: 1.06s
[2025-03-30 15:13:26,411] 🛒 Viewed cart for: 1.79s
[2025-03-30 15:13:26,411] ✅ Cart checkout time: 0.35s
[2025-03-30 15:13:26,411] 💳 Payment time: 0.0s
[2025-03-30 15:13:26,765] 🔵 Starting session for USR-381626fe6eec466284c464fe787fba1e
[2025-03-30 15:13:26,826] 🚀 USR-9081600f559248a5b64c1c176f3b7270 actions log in session 0
[2025-03-30 15:13:26,826] 🖱️ Mouse hovered for: 2.17s
[2025-03-30 15:13:26,826] 📜 Scrolled for: 4.21s
[2025-03-30 15:13:26,826] 🛒 Viewed cart for: 6.92s
[2025-03-30 15:13:26,826] ✅ Cart checkout time: 1.45s
[2025-03-30 15:13:26,826] 💳 Payment time: 0.0s
[2025-03-30 15:13:27,581] 🚀 USR-fe4a41ae047940b381e02a1622aee859 actions log in session 0
[2025-03-30 15:13:27,582] 🖱️ Mouse hovered for: 0.23s
[2025-03-30 15:13:27,582] 📜 Scrolled for: 2.27s
[2025-03-30 15:13:27,582] 🛒 Viewed cart for: 8.57s
[2025-03-30 15:13:27,582] ✅ Cart checkout time: 16.69s
[2025-03-30 15:13:27,582] 💳 Payment time: 0.0s
[2025-03-30 15:13:27,820] 🔵 Starting session for USR-09505c0d5b194e8987f018eff6613d4f
[2025-03-30 15:13:29,164] 🔵 Starting session for USR-c1edabc140754268b2d33dbf85411905
[2025-03-30 15:13:29,908] 🚀 USR-7c4469e8efcb4385bf08d9b3e39ef315 actions log in session 0
[2025-03-30 15:13:29,908] 🖱️ Mouse hovered for: 1.32s
[2025-03-30 15:13:29,908] 📜 Scrolled for: 7.04s
[2025-03-30 15:13:29,908] 🛒 Viewed cart for: 11.64s
[2025-03-30 15:13:29,908] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:29,908] 💳 Payment time: 0.0s
[2025-03-30 15:13:30,193] 🔵 Starting session for USR-c8c3e14f9c4142dfabb60af59292fe43
[2025-03-30 15:13:31,055] 🔵 Starting session for USR-90d7683c310f4179a5444786a3f461fc
[2025-03-30 15:13:31,255] 🚀 USR-36428824bd8e48fc9de3048cb8863154 actions log in session 0
[2025-03-30 15:13:31,255] 🖱️ Mouse hovered for: 0.73s
[2025-03-30 15:13:31,255] 📜 Scrolled for: 1.68s
[2025-03-30 15:13:31,255] 🛒 Viewed cart for: 12.39s
[2025-03-30 15:13:31,255] ✅ Cart checkout time: 11.09s
[2025-03-30 15:13:31,255] 💳 Payment time: 0.0s
[2025-03-30 15:13:31,822] 🚀 USR-09505c0d5b194e8987f018eff6613d4f actions log in session 0
[2025-03-30 15:13:31,822] 🖱️ Mouse hovered for: 0.22s
[2025-03-30 15:13:31,822] 📜 Scrolled for: 1.85s
[2025-03-30 15:13:31,822] 🛒 Viewed cart for: 1.93s
[2025-03-30 15:13:31,822] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:31,822] 💳 Payment time: 0.0s
[2025-03-30 15:13:32,086] ⏸️ Skipping USR-90d7683c310f4179a5444786a3f461fc — session already running
[2025-03-30 15:13:32,743] 🚀 USR-e3011c1d9aa64731856ef96c04356ded actions log in session 0
[2025-03-30 15:13:32,743] 🖱️ Mouse hovered for: 2.05s
[2025-03-30 15:13:32,743] 📜 Scrolled for: 4.07s
[2025-03-30 15:13:32,743] 🛒 Viewed cart for: 7.49s
[2025-03-30 15:13:32,743] ✅ Cart checkout time: 4.02s
[2025-03-30 15:13:32,743] 💳 Payment time: 0.0s
[2025-03-30 15:13:33,544] 🔵 Starting session for USR-2611bc9251814f09846ea422a1a9c151
[2025-03-30 15:13:33,845] 🚀 USR-e0fb599731eb442e9edcbd18f236872f actions log in session 0
[2025-03-30 15:13:33,846] 🖱️ Mouse hovered for: 3.17s
[2025-03-30 15:13:33,846] 📜 Scrolled for: 4.1s
[2025-03-30 15:13:33,846] 🛒 Viewed cart for: 4.49s
[2025-03-30 15:13:33,846] ✅ Cart checkout time: 5.19s
[2025-03-30 15:13:33,846] 💳 Payment time: 2.06s
[2025-03-30 15:13:34,780] 🔵 Starting session for USR-93ff2bbeabd145b0aa6b92c344f2e8d6
[2025-03-30 15:13:35,391] ⏸️ Skipping USR-7f73990b80ac44ae8a7c3e62e4b63855 — session already running
[2025-03-30 15:13:35,620] 🚀 USR-2f9254476bfa44d1bca4762acde3b692 actions log in session 0
[2025-03-30 15:13:35,620] 🖱️ Mouse hovered for: 3.23s
[2025-03-30 15:13:35,620] 📜 Scrolled for: 5.61s
[2025-03-30 15:13:35,620] 🛒 Viewed cart for: 4.06s
[2025-03-30 15:13:35,620] ✅ Cart checkout time: 3.47s
[2025-03-30 15:13:35,620] 💳 Payment time: 0.0s
[2025-03-30 15:13:36,851] 🔵 Starting session for USR-a693a2a815c44b1b8889999d591459d5
[2025-03-30 15:13:37,194] 🚀 USR-c8c3e14f9c4142dfabb60af59292fe43 actions log in session 0
[2025-03-30 15:13:37,194] 🖱️ Mouse hovered for: 0.73s
[2025-03-30 15:13:37,194] 📜 Scrolled for: 0.67s
[2025-03-30 15:13:37,194] 🛒 Viewed cart for: 4.41s
[2025-03-30 15:13:37,194] ✅ Cart checkout time: 1.14s
[2025-03-30 15:13:37,194] 💳 Payment time: 0.05s
[2025-03-30 15:13:37,705] 🔵 Starting session for USR-9b296a0209404cd08e1b8e7e44776943
[2025-03-30 15:13:38,639] 🔵 Starting session for USR-54590ded8fa64d27bcb73f0ec5436f1d
[2025-03-30 15:13:39,974] 🔵 Starting session for USR-0ff7dca4f7c04edaa1d1824cefc946b5
[2025-03-30 15:13:40,008] 🚀 USR-f68f406b8fd8460eab631c2bd3a81f87 actions log in session 0
[2025-03-30 15:13:40,008] 🖱️ Mouse hovered for: 0.65s
[2025-03-30 15:13:40,008] 📜 Scrolled for: 9.09s
[2025-03-30 15:13:40,008] 🛒 Viewed cart for: 20.32s
[2025-03-30 15:13:40,008] ✅ Cart checkout time: 7.47s
[2025-03-30 15:13:40,008] 💳 Payment time: 1.46s
[2025-03-30 15:13:40,740] 🔵 Starting session for USR-6d25b9ac65c74e09945fc94cb3df58e4
[2025-03-30 15:13:41,329] 🔵 Starting session for USR-7feacfef23c04f44b526793cf791bdf8
[2025-03-30 15:13:41,947] ⏸️ Skipping USR-c1edabc140754268b2d33dbf85411905 — session already running
[2025-03-30 15:13:42,724] 🔵 Starting session for USR-e5cad7d0d9ba41e4997db980a291390b
[2025-03-30 15:13:44,168] 🔵 Starting session for USR-fb61e7a3028f4dcbbec9c894dec8730d
[2025-03-30 15:13:44,696] 🔵 Starting session for USR-3ac8dda8f30a4f13a7d48c3eafc1c780
[2025-03-30 15:13:45,109] 🚀 USR-e9fb59435046470089abf627dde2927e actions log in session 0
[2025-03-30 15:13:45,109] 🖱️ Mouse hovered for: 2.17s
[2025-03-30 15:13:45,109] 📜 Scrolled for: 11.8s
[2025-03-30 15:13:45,109] 🛒 Viewed cart for: 2.56s
[2025-03-30 15:13:45,109] ✅ Cart checkout time: 8.75s
[2025-03-30 15:13:45,109] 💳 Payment time: 1.73s
[2025-03-30 15:13:45,541] 🚀 USR-4753f9332cc248bf8004e2e64d44c172 actions log in session 0
[2025-03-30 15:13:45,541] 🖱️ Mouse hovered for: 4.32s
[2025-03-30 15:13:45,541] 📜 Scrolled for: 4.88s
[2025-03-30 15:13:45,542] 🛒 Viewed cart for: 19.8s
[2025-03-30 15:13:45,542] ✅ Cart checkout time: 9.7s
[2025-03-30 15:13:45,542] 💳 Payment time: 0.3s
[2025-03-30 15:13:46,184] 🔵 Starting session for USR-9eef0f07a2eb4d2c9c0f4b8ba02d851b
[2025-03-30 15:13:46,977] 🚀 USR-0ff7dca4f7c04edaa1d1824cefc946b5 actions log in session 0
[2025-03-30 15:13:46,978] 🖱️ Mouse hovered for: 0.22s
[2025-03-30 15:13:46,978] 📜 Scrolled for: 1.18s
[2025-03-30 15:13:46,978] 🛒 Viewed cart for: 2.46s
[2025-03-30 15:13:46,978] ✅ Cart checkout time: 2.79s
[2025-03-30 15:13:46,978] 💳 Payment time: 0.0s
[2025-03-30 15:13:47,065] 🔵 Starting session for USR-4a8262dc009e44cca07156b539ae2560
[2025-03-30 15:13:47,180] 🚀 USR-5dd8a06e5ba04347baea25fc1fb1e5d5 actions log in session 0
[2025-03-30 15:13:47,181] 🖱️ Mouse hovered for: 0.3s
[2025-03-30 15:13:47,181] 📜 Scrolled for: 3.27s
[2025-03-30 15:13:47,181] 🛒 Viewed cart for: 2.53s
[2025-03-30 15:13:47,181] ✅ Cart checkout time: 27.59s
[2025-03-30 15:13:47,181] 💳 Payment time: 0.0s
[2025-03-30 15:13:47,246] 🚀 USR-2e54aff8cfc5480fa7768af0b4f4ae19 actions log in session 0
[2025-03-30 15:13:47,247] 🖱️ Mouse hovered for: 4.18s
[2025-03-30 15:13:47,247] 📜 Scrolled for: 24.56s
[2025-03-30 15:13:47,247] 🛒 Viewed cart for: 1.25s
[2025-03-30 15:13:47,247] ✅ Cart checkout time: 13.17s
[2025-03-30 15:13:47,247] 💳 Payment time: 0.0s
[2025-03-30 15:13:47,750] 🔵 Starting session for USR-a0af18257efe4e11a33a3a1533f123ff
[2025-03-30 15:13:48,369] 🔵 Starting session for USR-13e79e092da348b2b2c99400f901a172
[2025-03-30 15:13:48,448] 🚀 USR-072c108e88694b9f87746b99ba5e9a83 actions log in session 0
[2025-03-30 15:13:48,449] 🖱️ Mouse hovered for: 0.75s
[2025-03-30 15:13:48,449] 📜 Scrolled for: 4.63s
[2025-03-30 15:13:48,449] 🛒 Viewed cart for: 17.27s
[2025-03-30 15:13:48,449] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:48,449] 💳 Payment time: 0.0s
[2025-03-30 15:13:48,951] 🚀 USR-1e003afd27024383a237147f22f93964 actions log in session 0
[2025-03-30 15:13:48,951] 🖱️ Mouse hovered for: 2.83s
[2025-03-30 15:13:48,951] 📜 Scrolled for: 8.9s
[2025-03-30 15:13:48,951] 🛒 Viewed cart for: 7.16s
[2025-03-30 15:13:48,951] ✅ Cart checkout time: 8.9s
[2025-03-30 15:13:48,951] 💳 Payment time: 1.2s
[2025-03-30 15:13:49,036] 🚀 USR-35664f28fe104e72b9524a9346c1f2e9 actions log in session 0
[2025-03-30 15:13:49,036] 🖱️ Mouse hovered for: 3.56s
[2025-03-30 15:13:49,036] 📜 Scrolled for: 3.59s
[2025-03-30 15:13:49,036] 🛒 Viewed cart for: 2.21s
[2025-03-30 15:13:49,036] ✅ Cart checkout time: 18.18s
[2025-03-30 15:13:49,036] 💳 Payment time: 0.46s
[2025-03-30 15:13:49,864] ⏸️ Skipping USR-35664f28fe104e72b9524a9346c1f2e9 — session already running
[2025-03-30 15:13:50,714] 🔵 Starting session for USR-adceff8e9d8642778aad4ae1fac8da0a
[2025-03-30 15:13:51,067] 🚀 USR-4a8262dc009e44cca07156b539ae2560 actions log in session 0
[2025-03-30 15:13:51,067] 🖱️ Mouse hovered for: 1.35s
[2025-03-30 15:13:51,067] 📜 Scrolled for: 2.22s
[2025-03-30 15:13:51,067] 🛒 Viewed cart for: 0.43s
[2025-03-30 15:13:51,067] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:51,067] 💳 Payment time: 0.0s
[2025-03-30 15:13:51,544] 🔵 Starting session for USR-14375fd9d38c40c8aaf1ffe49dba1759
[2025-03-30 15:13:52,173] 🔵 Starting session for USR-3e9061e964c74f549101d6b52d4776d2
[2025-03-30 15:13:52,716] 🚀 USR-adceff8e9d8642778aad4ae1fac8da0a actions log in session 0
[2025-03-30 15:13:52,717] 🖱️ Mouse hovered for: 0.12s
[2025-03-30 15:13:52,717] 📜 Scrolled for: 0.46s
[2025-03-30 15:13:52,717] 🛒 Viewed cart for: 0.92s
[2025-03-30 15:13:52,717] ✅ Cart checkout time: 0.49s
[2025-03-30 15:13:52,717] 💳 Payment time: 0.02s
[2025-03-30 15:13:53,048] 🔵 Starting session for USR-610ca9a157144ffe90358fa6bde86ce5
[2025-03-30 15:13:53,547] 🚀 USR-2611bc9251814f09846ea422a1a9c151 actions log in session 0
[2025-03-30 15:13:53,547] 🖱️ Mouse hovered for: 1.68s
[2025-03-30 15:13:53,547] 📜 Scrolled for: 3.4s
[2025-03-30 15:13:53,547] 🛒 Viewed cart for: 6.14s
[2025-03-30 15:13:53,547] ✅ Cart checkout time: 8.34s
[2025-03-30 15:13:53,547] 💳 Payment time: 0.0s
[2025-03-30 15:13:54,167] 🚀 USR-c1edabc140754268b2d33dbf85411905 actions log in session 0
[2025-03-30 15:13:54,167] 🖱️ Mouse hovered for: 1.64s
[2025-03-30 15:13:54,167] 📜 Scrolled for: 7.87s
[2025-03-30 15:13:54,167] 🛒 Viewed cart for: 7.03s
[2025-03-30 15:13:54,167] ✅ Cart checkout time: 8.25s
[2025-03-30 15:13:54,168] 💳 Payment time: 0.0s
[2025-03-30 15:13:54,191] 🚀 USR-76d6426c9a114382ab101a1c4674859b actions log in session 0
[2025-03-30 15:13:54,191] 🖱️ Mouse hovered for: 1.31s
[2025-03-30 15:13:54,191] 📜 Scrolled for: 18.54s
[2025-03-30 15:13:54,191] 🛒 Viewed cart for: 7.89s
[2025-03-30 15:13:54,191] ✅ Cart checkout time: 21.45s
[2025-03-30 15:13:54,191] 💳 Payment time: 1.81s
[2025-03-30 15:13:54,388] 🔵 Starting session for USR-a12123b3ba1b423692d5c243b719e1da
[2025-03-30 15:13:55,265] 🔵 Starting session for USR-9814093d0ca0456798bf946d85ed66d4
[2025-03-30 15:13:56,085] 🔵 Starting session for USR-ac72c093057144e99df7e67d73317264
[2025-03-30 15:13:56,746] 🚀 USR-dd8d4ff6f1f64dafabed4ff39be33dd9 actions log in session 0
[2025-03-30 15:13:56,746] 🖱️ Mouse hovered for: 11.71s
[2025-03-30 15:13:56,746] 📜 Scrolled for: 7.23s
[2025-03-30 15:13:56,746] 🛒 Viewed cart for: 24.39s
[2025-03-30 15:13:56,746] ✅ Cart checkout time: 8.27s
[2025-03-30 15:13:56,746] 💳 Payment time: 0.0s
[2025-03-30 15:13:57,347] ⏸️ Skipping USR-fe4a41ae047940b381e02a1622aee859 — session already running
[2025-03-30 15:13:57,699] 🚀 USR-323dfa3fd6564691a798b48df9507513 actions log in session 0
[2025-03-30 15:13:57,699] 🖱️ Mouse hovered for: 4.5s
[2025-03-30 15:13:57,699] 📜 Scrolled for: 18.82s
[2025-03-30 15:13:57,699] 🛒 Viewed cart for: 16.7s
[2025-03-30 15:13:57,699] ✅ Cart checkout time: 9.82s
[2025-03-30 15:13:57,699] 💳 Payment time: 0.0s
[2025-03-30 15:13:57,726] 🚀 USR-e5cad7d0d9ba41e4997db980a291390b actions log in session 0
[2025-03-30 15:13:57,726] 🖱️ Mouse hovered for: 1.7s
[2025-03-30 15:13:57,726] 📜 Scrolled for: 5.83s
[2025-03-30 15:13:57,726] 🛒 Viewed cart for: 4.76s
[2025-03-30 15:13:57,726] ✅ Cart checkout time: 2.5s
[2025-03-30 15:13:57,726] 💳 Payment time: 0.2s
[2025-03-30 15:13:58,186] 🚀 USR-9eef0f07a2eb4d2c9c0f4b8ba02d851b actions log in session 0
[2025-03-30 15:13:58,186] 🖱️ Mouse hovered for: 2.97s
[2025-03-30 15:13:58,186] 📜 Scrolled for: 4.44s
[2025-03-30 15:13:58,186] 🛒 Viewed cart for: 4.58s
[2025-03-30 15:13:58,186] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:58,186] 💳 Payment time: 0.0s
[2025-03-30 15:13:58,582] ⏸️ Skipping USR-f485d140de2d4c41878410cce8d21cfa — session already running
[2025-03-30 15:13:59,274] 🔵 Starting session for USR-98a502d5b08749d78ed96799e309fa0c
[2025-03-30 15:14:00,332] 🚀 USR-7feacfef23c04f44b526793cf791bdf8 actions log in session 0
[2025-03-30 15:14:00,332] 🖱️ Mouse hovered for: 0.71s
[2025-03-30 15:14:00,333] 📜 Scrolled for: 5.16s
[2025-03-30 15:14:00,333] 🛒 Viewed cart for: 9.98s
[2025-03-30 15:14:00,333] ✅ Cart checkout time: 1.75s
[2025-03-30 15:14:00,333] 💳 Payment time: 0.0s
[2025-03-30 15:14:00,602] 🔵 Starting session for USR-eeb91b840b614cd38dc61798fa764e52
[2025-03-30 15:14:00,767] 🚀 USR-381626fe6eec466284c464fe787fba1e actions log in session 0
[2025-03-30 15:14:00,767] 🖱️ Mouse hovered for: 9.87s
[2025-03-30 15:14:00,767] 📜 Scrolled for: 19.53s
[2025-03-30 15:14:00,767] 🛒 Viewed cart for: 4.59s
[2025-03-30 15:14:00,768] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:00,768] 💳 Payment time: 0.0s
[2025-03-30 15:14:01,138] 🚀 USR-48640e6ca95f495291e19985125a1b56 actions log in session 1
[2025-03-30 15:14:01,138] 🖱️ Mouse hovered for: 0.58s
[2025-03-30 15:14:01,138] 📜 Scrolled for: 2.24s
[2025-03-30 15:14:01,138] 🛒 Viewed cart for: 12.81s
[2025-03-30 15:14:01,138] ✅ Cart checkout time: 21.94s
[2025-03-30 15:14:01,138] 💳 Payment time: 0.0s
[2025-03-30 15:14:02,046] ⏸️ Skipping USR-48640e6ca95f495291e19985125a1b56 — session already running
[2025-03-30 15:14:02,603] 🚀 USR-eeb91b840b614cd38dc61798fa764e52 actions log in session 0
[2025-03-30 15:14:02,603] 🖱️ Mouse hovered for: 0.04s
[2025-03-30 15:14:02,603] 📜 Scrolled for: 0.62s
[2025-03-30 15:14:02,603] 🛒 Viewed cart for: 0.26s
[2025-03-30 15:14:02,603] ✅ Cart checkout time: 1.02s
[2025-03-30 15:14:02,603] 💳 Payment time: 0.0s
[2025-03-30 15:14:02,773] 🔵 Starting session for USR-c9cf79bfbe0c43b1aac4e9ca74d378a9
[2025-03-30 15:14:04,104] 🔵 Starting session for USR-2d1cbe7992114604801cf1592e4d5d98
[2025-03-30 15:14:05,372] 🔵 Starting session for USR-93a8c5ce87d645e893f79348ce129a18
[2025-03-30 15:14:05,751] 🚀 USR-a0af18257efe4e11a33a3a1533f123ff actions log in session 0
[2025-03-30 15:14:05,751] 🖱️ Mouse hovered for: 1.12s
[2025-03-30 15:14:05,751] 📜 Scrolled for: 4.33s
[2025-03-30 15:14:05,751] 🛒 Viewed cart for: 5.81s
[2025-03-30 15:14:05,751] ✅ Cart checkout time: 6.3s
[2025-03-30 15:14:05,751] 💳 Payment time: 0.0s
[2025-03-30 15:14:05,853] 🚀 USR-a693a2a815c44b1b8889999d591459d5 actions log in session 0
[2025-03-30 15:14:05,853] 🖱️ Mouse hovered for: 0.68s
[2025-03-30 15:14:05,853] 📜 Scrolled for: 9.97s
[2025-03-30 15:14:05,853] 🛒 Viewed cart for: 4.42s
[2025-03-30 15:14:05,853] ✅ Cart checkout time: 12.12s
[2025-03-30 15:14:05,853] 💳 Payment time: 1.8s
[2025-03-30 15:14:06,057] 🚀 USR-90d7683c310f4179a5444786a3f461fc actions log in session 0
[2025-03-30 15:14:06,057] 🖱️ Mouse hovered for: 0.25s
[2025-03-30 15:14:06,057] 📜 Scrolled for: 2.99s
[2025-03-30 15:14:06,057] 🛒 Viewed cart for: 11.36s
[2025-03-30 15:14:06,057] ✅ Cart checkout time: 20.4s
[2025-03-30 15:14:06,057] 💳 Payment time: 0.0s
[2025-03-30 15:14:06,421] 🔵 Starting session for USR-26f0f90352974a11bb89d09188069d16
[2025-03-30 15:14:07,751] ⏸️ Skipping USR-f485d140de2d4c41878410cce8d21cfa — session already running
[2025-03-30 15:14:08,815] ⏸️ Skipping USR-2d1cbe7992114604801cf1592e4d5d98 — session already running
[2025-03-30 15:14:09,968] ⏸️ Skipping USR-fef424af019145879d6e56d6c3b0d17a — session already running
[2025-03-30 15:14:10,714] 🔵 Starting session for USR-bfb1331f2e874b198a5abf333e2eb694
[2025-03-30 15:14:11,303] 🔵 Starting session for USR-2dae89b9bfd34b35a2f433ab9be8d6f0
[2025-03-30 15:14:11,967] ⏸️ Skipping USR-93a8c5ce87d645e893f79348ce129a18 — session already running
[2025-03-30 15:14:12,372] 🚀 USR-13e79e092da348b2b2c99400f901a172 actions log in session 0
[2025-03-30 15:14:12,372] 🖱️ Mouse hovered for: 1.96s
[2025-03-30 15:14:12,372] 📜 Scrolled for: 7.87s
[2025-03-30 15:14:12,372] 🛒 Viewed cart for: 8.27s
[2025-03-30 15:14:12,373] ✅ Cart checkout time: 4.96s
[2025-03-30 15:14:12,373] 💳 Payment time: 0.94s
[2025-03-30 15:14:13,009] 🔵 Starting session for USR-25651d8a71ed4cc189d5a8b5ccce6404
[2025-03-30 15:14:13,542] ⏸️ Skipping USR-98a502d5b08749d78ed96799e309fa0c — session already running
[2025-03-30 15:14:14,429] ⏸️ Skipping USR-c8c3e14f9c4142dfabb60af59292fe43 — session already running
[2025-03-30 15:14:14,641] 🚀 USR-54590ded8fa64d27bcb73f0ec5436f1d actions log in session 0
[2025-03-30 15:14:14,641] 🖱️ Mouse hovered for: 3.91s
[2025-03-30 15:14:14,642] 📜 Scrolled for: 7.97s
[2025-03-30 15:14:14,642] 🛒 Viewed cart for: 24.12s
[2025-03-30 15:14:14,642] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:14,642] 💳 Payment time: 0.0s
[2025-03-30 15:14:14,886] 🚀 USR-c764364406e7428cab2ee55ec9e10da3 actions log in session 0
[2025-03-30 15:14:14,887] 🖱️ Mouse hovered for: 5.06s
[2025-03-30 15:14:14,887] 📜 Scrolled for: 19.39s
[2025-03-30 15:14:14,887] 🛒 Viewed cart for: 10.47s
[2025-03-30 15:14:14,887] ✅ Cart checkout time: 18.82s
[2025-03-30 15:14:14,887] 💳 Payment time: 4.26s
[2025-03-30 15:14:15,050] 🔵 Starting session for USR-b49e19b235c74502add868cdc6a7b19d
[2025-03-30 15:14:15,760] ⏸️ Skipping USR-0ff7dca4f7c04edaa1d1824cefc946b5 — session already running
[2025-03-30 15:14:17,082] ⏸️ Skipping USR-e3011c1d9aa64731856ef96c04356ded — session already running
[2025-03-30 15:14:17,175] 🚀 USR-3e9061e964c74f549101d6b52d4776d2 actions log in session 0
[2025-03-30 15:14:17,175] 🖱️ Mouse hovered for: 1.28s
[2025-03-30 15:14:17,175] 📜 Scrolled for: 10.32s
[2025-03-30 15:14:17,175] 🛒 Viewed cart for: 13.4s
[2025-03-30 15:14:17,175] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:17,175] 💳 Payment time: 0.0s
[2025-03-30 15:14:17,648] ⏸️ Skipping USR-e0fb599731eb442e9edcbd18f236872f — session already running
[2025-03-30 15:14:18,433] 🔵 Starting session for USR-d6b92f541df9456a83ee38e726db030d
[2025-03-30 15:14:19,706] 🚀 USR-9b296a0209404cd08e1b8e7e44776943 actions log in session 0
[2025-03-30 15:14:19,706] 🖱️ Mouse hovered for: 3.95s
[2025-03-30 15:14:19,706] 📜 Scrolled for: 9.64s
[2025-03-30 15:14:19,706] 🛒 Viewed cart for: 6.33s
[2025-03-30 15:14:19,706] ✅ Cart checkout time: 21.39s
[2025-03-30 15:14:19,707] 💳 Payment time: 0.0s
[2025-03-30 15:14:19,877] 🔵 Starting session for USR-63881c7da72e4b78a403792afb7b85b9
