[2025-03-30 15:12:59,593] 🔵 Starting session for USR-d6cf45c169be4df1b941c3c58fccd8b7
[2025-03-30 15:13:34,590] 🖱️ Mouse hovered for: 0.92s
[2025-03-30 15:13:34,590] 📜 Scrolled for: 3.16s
[2025-03-30 15:13:34,590] 🛒 Viewed cart for: 7.31s
[2025-03-30 15:13:34,590] ✅ Cart checkout time: 21.38s
[2025-03-30 15:13:34,590] 💳 Payment time: 0.22s
[2025-03-30 15:13:34,769] 🔵 Starting session for USR-daf0f307a3544bffa568ef7c8440942d
[2025-03-30 15:13:35,425] 🚀 USR-3faf0e28ff8d45d99a857a66906f24ab actions log in session 0
[2025-03-30 15:13:35,426] 🖱️ Mouse hovered for: 3.92s
[2025-03-30 15:13:35,426] 📜 Scrolled for: 8.03s
[2025-03-30 15:13:35,426] 🛒 Viewed cart for: 16.56s
[2025-03-30 15:13:35,426] ✅ Cart checkout time: 6.06s
[2025-03-30 15:13:35,426] 💳 Payment time: 0.0s
[2025-03-30 15:13:35,461] 🔵 Starting session for USR-def79daa57a748d6841d69c987290d63
[2025-03-30 15:13:35,589] 🚀 USR-cd5b4257fab642bbb1af9e9cbd97d9e6 actions log in session 0
[2025-03-30 15:13:35,589] 🖱️ Mouse hovered for: 1.9s
[2025-03-30 15:13:35,589] 📜 Scrolled for: 2.75s
[2025-03-30 15:13:35,589] 🛒 Viewed cart for: 13.57s
[2025-03-30 15:13:35,589] ✅ Cart checkout time: 11.3s
[2025-03-30 15:13:35,589] 💳 Payment time: 0.0s
[2025-03-30 15:13:36,014] 🔵 Starting session for USR-37ca20ddcfc04583aa776e648a04ebe2
[2025-03-30 15:13:36,070] 🚀 USR-404eaaa3cb2b4c86b06f1a86653ba6fc actions log in session 0
[2025-03-30 15:13:36,070] 🖱️ Mouse hovered for: 0.2s
[2025-03-30 15:13:36,070] 📜 Scrolled for: 1.68s
[2025-03-30 15:13:36,070] 🛒 Viewed cart for: 1.28s
[2025-03-30 15:13:36,070] ✅ Cart checkout time: 7.54s
[2025-03-30 15:13:36,070] 💳 Payment time: 0.3s
[2025-03-30 15:13:36,772] 🚀 USR-daf0f307a3544bffa568ef7c8440942d actions log in session 0
[2025-03-30 15:13:36,772] 🖱️ Mouse hovered for: 0.2s
[2025-03-30 15:13:36,772] 📜 Scrolled for: 1.05s
[2025-03-30 15:13:36,772] 🛒 Viewed cart for: 0.75s
[2025-03-30 15:13:36,773] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:36,773] 💳 Payment time: 0.0s
[2025-03-30 15:13:36,983] ⏸️ Skipping USR-d135fccddd3241fcbc17da052cb10a57 — session already running
[2025-03-30 15:13:37,697] 🚀 USR-0e227794bc9f46e9ae60211742a5bf27 actions log in session 0
[2025-03-30 15:13:37,697] 🖱️ Mouse hovered for: 2.46s
[2025-03-30 15:13:37,697] 📜 Scrolled for: 4.09s
[2025-03-30 15:13:37,697] 🛒 Viewed cart for: 8.47s
[2025-03-30 15:13:37,697] ✅ Cart checkout time: 8.62s
[2025-03-30 15:13:37,697] 💳 Payment time: 0.36s
[2025-03-30 15:13:37,817] 🔵 Starting session for USR-a363c8e3435546799cedcfe0936f47b5
[2025-03-30 15:13:38,484] 🔵 Starting session for USR-5ac8e5b977e349a4806cfccd54f06e67
[2025-03-30 15:13:38,979] 🚀 USR-88eafa9e8fab4db9a9134145dc0086f9 actions log in session 0
[2025-03-30 15:13:38,979] 🖱️ Mouse hovered for: 2.05s
[2025-03-30 15:13:38,979] 📜 Scrolled for: 7.83s
[2025-03-30 15:13:38,979] 🛒 Viewed cart for: 15.35s
[2025-03-30 15:13:38,979] ✅ Cart checkout time: 5.8s
[2025-03-30 15:13:38,979] 💳 Payment time: 0.0s
[2025-03-30 15:13:39,460] ⏸️ Skipping USR-cd5b4257fab642bbb1af9e9cbd97d9e6 — session already running
[2025-03-30 15:13:39,464] 🚀 USR-def79daa57a748d6841d69c987290d63 actions log in session 0
[2025-03-30 15:13:39,464] 🖱️ Mouse hovered for: 0.2s
[2025-03-30 15:13:39,464] 📜 Scrolled for: 0.75s
[2025-03-30 15:13:39,464] 🛒 Viewed cart for: 1.44s
[2025-03-30 15:13:39,464] ✅ Cart checkout time: 1.27s
[2025-03-30 15:13:39,464] 💳 Payment time: 0.33s
[2025-03-30 15:13:40,372] 🔵 Starting session for USR-c3a3215b0fed4627adec7cbee65dfb55
[2025-03-30 15:13:40,819] 🚀 USR-a363c8e3435546799cedcfe0936f47b5 actions log in session 0
[2025-03-30 15:13:40,819] 🖱️ Mouse hovered for: 0.51s
[2025-03-30 15:13:40,820] 📜 Scrolled for: 0.94s
[2025-03-30 15:13:40,820] 🛒 Viewed cart for: 1.32s
[2025-03-30 15:13:40,820] ✅ Cart checkout time: 0.19s
[2025-03-30 15:13:40,820] 💳 Payment time: 0.0s
[2025-03-30 15:13:41,018] 🔵 Starting session for USR-e72c137536694a4ab2053693d819cbfc
[2025-03-30 15:13:42,291] 🔵 Starting session for USR-6023f551cca64aee850cb5144c7c97b4
[2025-03-30 15:13:43,071] ⏸️ Skipping USR-598ccd67dd6c4b21978f5ecf02d3da70 — session already running
[2025-03-30 15:13:44,252] 🔵 Starting session for USR-4b7c9920872b4427852fcad640156c6c
[2025-03-30 15:13:44,830] 🚀 USR-598ccd67dd6c4b21978f5ecf02d3da70 actions log in session 0
[2025-03-30 15:13:44,830] 🖱️ Mouse hovered for: 3.98s
[2025-03-30 15:13:44,830] 📜 Scrolled for: 23.36s
[2025-03-30 15:13:44,830] 🛒 Viewed cart for: 6.58s
[2025-03-30 15:13:44,830] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:44,830] 💳 Payment time: 1.08s
[2025-03-30 15:13:45,196] ⏸️ Skipping USR-57024cd8c28045abba7608d57b429e69 — session already running
[2025-03-30 15:13:46,508] 🔵 Starting session for USR-b3f4dae4f3f04059bd89f7d73ae93c83
[2025-03-30 15:13:46,893] 🚀 USR-cbcb2e3a7f30432ba3a15009dc5a7220 actions log in session 0
[2025-03-30 15:13:46,894] 🖱️ Mouse hovered for: 3.69s
[2025-03-30 15:13:46,894] 📜 Scrolled for: 5.58s
[2025-03-30 15:13:46,894] 🛒 Viewed cart for: 12.87s
[2025-03-30 15:13:46,894] ✅ Cart checkout time: 9.34s
[2025-03-30 15:13:46,894] 💳 Payment time: 0.0s
[2025-03-30 15:13:47,815] ⏸️ Skipping USR-4b7c9920872b4427852fcad640156c6c — session already running
[2025-03-30 15:13:48,725] 🔵 Starting session for USR-836d4ccc5f8048cc92b75487b514a2ac
[2025-03-30 15:13:49,804] 🔵 Starting session for USR-7d6dc2af604b412abe3616c9af060658
[2025-03-30 15:13:50,510] 🚀 USR-b3f4dae4f3f04059bd89f7d73ae93c83 actions log in session 0
[2025-03-30 15:13:50,510] 🖱️ Mouse hovered for: 0.41s
[2025-03-30 15:13:50,510] 📜 Scrolled for: 0.85s
[2025-03-30 15:13:50,510] 🛒 Viewed cart for: 1.1s
[2025-03-30 15:13:50,510] ✅ Cart checkout time: 1.57s
[2025-03-30 15:13:50,510] 💳 Payment time: 0.0s
[2025-03-30 15:13:50,655] ⏸️ Skipping USR-c0989e06134841679289ca118caca328 — session already running
[2025-03-30 15:13:51,642] 🔵 Starting session for USR-09769de6d12a412ca8d1a78162502956
[2025-03-30 15:13:52,048] 🚀 USR-3a7e6c5cd9ba49298b237dbaa1f4c370 actions log in session 0
[2025-03-30 15:13:52,048] 🖱️ Mouse hovered for: 0.64s
[2025-03-30 15:13:52,048] 📜 Scrolled for: 7.66s
[2025-03-30 15:13:52,048] 🛒 Viewed cart for: 4.33s
[2025-03-30 15:13:52,048] ✅ Cart checkout time: 7.18s
[2025-03-30 15:13:52,048] 💳 Payment time: 0.0s
[2025-03-30 15:13:52,645] 🚀 USR-09769de6d12a412ca8d1a78162502956 actions log in session 0
[2025-03-30 15:13:52,645] 🖱️ Mouse hovered for: 0.13s
[2025-03-30 15:13:52,645] 📜 Scrolled for: 0.23s
[2025-03-30 15:13:52,646] 🛒 Viewed cart for: 0.38s
[2025-03-30 15:13:52,646] ✅ Cart checkout time: 0.17s
[2025-03-30 15:13:52,646] 💳 Payment time: 0.0s
[2025-03-30 15:13:52,794] ⏸️ Skipping USR-70c2cc48413d48cd9eb569072c0530c1 — session already running
[2025-03-30 15:13:53,398] 🔵 Starting session for USR-b4d887fd85944de6a4976d8c56e53fbe
[2025-03-30 15:13:54,322] 🚀 USR-e087217b7af34e259817f9d66f58e1b8 actions log in session 0
[2025-03-30 15:13:54,322] 🖱️ Mouse hovered for: 9.34s
[2025-03-30 15:13:54,322] 📜 Scrolled for: 11.46s
[2025-03-30 15:13:54,322] 🛒 Viewed cart for: 15.67s
[2025-03-30 15:13:54,323] ✅ Cart checkout time: 14.54s
[2025-03-30 15:13:54,323] 💳 Payment time: 0.0s
[2025-03-30 15:13:54,796] 🚀 USR-8c052be35014409080bab7bb3c243cc0 actions log in session 0
[2025-03-30 15:13:54,796] 🖱️ Mouse hovered for: 0.5s
[2025-03-30 15:13:54,796] 📜 Scrolled for: 9.03s
[2025-03-30 15:13:54,796] 🛒 Viewed cart for: 11.97s
[2025-03-30 15:13:54,796] ✅ Cart checkout time: 13.03s
[2025-03-30 15:13:54,796] 💳 Payment time: 2.47s
[2025-03-30 15:13:54,864] 🔵 Starting session for USR-746f139a23d84cc783c670100f18370f
[2025-03-30 15:13:55,839] 🔵 Starting session for USR-ae04e2c350774f43af73c64428410d4b
[2025-03-30 15:13:56,820] 🔵 Starting session for USR-947618ebeab84dc68cc3d2208ef80bd8
[2025-03-30 15:13:57,277] 🚀 USR-c0989e06134841679289ca118caca328 actions log in session 0
[2025-03-30 15:13:57,277] 🖱️ Mouse hovered for: 2.87s
[2025-03-30 15:13:57,277] 📜 Scrolled for: 4.51s
[2025-03-30 15:13:57,277] 🛒 Viewed cart for: 9.38s
[2025-03-30 15:13:57,277] ✅ Cart checkout time: 6.36s
[2025-03-30 15:13:57,277] 💳 Payment time: 0.0s
[2025-03-30 15:13:57,332] ⏸️ Skipping USR-d0c3c4e375bd42ef96f609d1e067ca4b — session already running
[2025-03-30 15:13:57,594] 🚀 USR-d6cf45c169be4df1b941c3c58fccd8b7 actions log in session 0
[2025-03-30 15:13:57,594] 🖱️ Mouse hovered for: 3.2s
[2025-03-30 15:13:57,594] 📜 Scrolled for: 15.88s
[2025-03-30 15:13:57,594] 🛒 Viewed cart for: 21.57s
[2025-03-30 15:13:57,594] ✅ Cart checkout time: 13.19s
[2025-03-30 15:13:57,594] 💳 Payment time: 1.05s
[2025-03-30 15:13:58,420] 🚀 USR-7cb90c0dd1ec455799e97b6ca7d0bcb4 actions log in session 0
[2025-03-30 15:13:58,421] 🖱️ Mouse hovered for: 8.12s
[2025-03-30 15:13:58,421] 📜 Scrolled for: 18.79s
[2025-03-30 15:13:58,421] 🛒 Viewed cart for: 10.61s
[2025-03-30 15:13:58,421] ✅ Cart checkout time: 9.8s
[2025-03-30 15:13:58,421] 💳 Payment time: 2.67s
[2025-03-30 15:13:58,823] ⏸️ Skipping USR-37ca20ddcfc04583aa776e648a04ebe2 — session already running
[2025-03-30 15:14:00,270] ⏸️ Skipping USR-c17a4781ad5042da8ac3e6165732e578 — session already running
[2025-03-30 15:14:00,281] 🚀 USR-f8f7b1c403884e8aa697ab815ede40fc actions log in session 0
[2025-03-30 15:14:00,281] 🖱️ Mouse hovered for: 1.55s
[2025-03-30 15:14:00,281] 📜 Scrolled for: 7.98s
[2025-03-30 15:14:00,282] 🛒 Viewed cart for: 22.05s
[2025-03-30 15:14:00,282] ✅ Cart checkout time: 16.47s
[2025-03-30 15:14:00,282] 💳 Payment time: 0.0s
[2025-03-30 15:14:00,742] 🚀 USR-d0c3c4e375bd42ef96f609d1e067ca4b actions log in session 0
[2025-03-30 15:14:00,742] 🖱️ Mouse hovered for: 1.05s
[2025-03-30 15:14:00,742] 📜 Scrolled for: 5.84s
[2025-03-30 15:14:00,743] 🛒 Viewed cart for: 22.3s
[2025-03-30 15:14:00,743] ✅ Cart checkout time: 6.69s
[2025-03-30 15:14:00,743] 💳 Payment time: 1.12s
[2025-03-30 15:14:00,777] 🔵 Starting session for USR-33f422227ece40e5a1cefd748d34c956
[2025-03-30 15:14:01,020] 🚀 USR-e72c137536694a4ab2053693d819cbfc actions log in session 0
[2025-03-30 15:14:01,020] 🖱️ Mouse hovered for: 2.17s
[2025-03-30 15:14:01,020] 📜 Scrolled for: 4.58s
[2025-03-30 15:14:01,020] 🛒 Viewed cart for: 7.54s
[2025-03-30 15:14:01,020] ✅ Cart checkout time: 4.87s
[2025-03-30 15:14:01,020] 💳 Payment time: 0.85s
[2025-03-30 15:14:01,591] 🕒 USR-bbfd57cf1ec743cab09ff2d4f8a3295f finished session 0
[2025-03-30 15:14:02,027] ⏸️ Skipping USR-b4d887fd85944de6a4976d8c56e53fbe — session already running
[2025-03-30 15:14:02,789] 🔵 Starting session for USR-64fffbaea8e0492b89f7e9e9a9b9f66e
[2025-03-30 15:14:03,600] 🔵 Starting session for USR-f18228ffa61943febdf6a5e808e0acbc
[2025-03-30 15:14:04,906] 🚀 USR-5c6cbeba71ef4a82bd072e7f2d87fc5c actions log in session 0
[2025-03-30 15:14:04,906] 🖱️ Mouse hovered for: 6.31s
[2025-03-30 15:14:04,906] 📜 Scrolled for: 14.47s
[2025-03-30 15:14:04,906] 🛒 Viewed cart for: 17.34s
[2025-03-30 15:14:04,906] ✅ Cart checkout time: 4.26s
[2025-03-30 15:14:04,906] 💳 Payment time: 2.62s
[2025-03-30 15:14:05,097] 🔵 Starting session for USR-2d528ed01e1b427b90463fb06c43116f
[2025-03-30 15:14:05,292] 🚀 USR-6023f551cca64aee850cb5144c7c97b4 actions log in session 0
[2025-03-30 15:14:05,292] 🖱️ Mouse hovered for: 1.68s
[2025-03-30 15:14:05,292] 📜 Scrolled for: 5.96s
[2025-03-30 15:14:05,292] 🛒 Viewed cart for: 9.44s
[2025-03-30 15:14:05,292] ✅ Cart checkout time: 4.39s
[2025-03-30 15:14:05,292] 💳 Payment time: 0.0s
[2025-03-30 15:14:05,370] 🚀 USR-b10874816acb47d2902a0b73bfef005c actions log in session 0
[2025-03-30 15:14:05,371] 🖱️ Mouse hovered for: 4.28s
[2025-03-30 15:14:05,371] 📜 Scrolled for: 10.68s
[2025-03-30 15:14:05,371] 🛒 Viewed cart for: 7.33s
[2025-03-30 15:14:05,371] ✅ Cart checkout time: 14.93s
[2025-03-30 15:14:05,371] 💳 Payment time: 1.78s
[2025-03-30 15:14:06,266] 🔵 Starting session for USR-f8baa19b0a8f43de815fb2748f80202a
[2025-03-30 15:14:07,070] ⏸️ Skipping USR-836d4ccc5f8048cc92b75487b514a2ac — session already running
[2025-03-30 15:14:08,215] ⏸️ Skipping USR-7cb90c0dd1ec455799e97b6ca7d0bcb4 — session already running
[2025-03-30 15:14:08,255] 🚀 USR-4b7c9920872b4427852fcad640156c6c actions log in session 0
[2025-03-30 15:14:08,255] 🖱️ Mouse hovered for: 0.79s
[2025-03-30 15:14:08,255] 📜 Scrolled for: 3.5s
[2025-03-30 15:14:08,255] 🛒 Viewed cart for: 19.71s
[2025-03-30 15:14:08,255] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:08,256] 💳 Payment time: 0.0s
[2025-03-30 15:14:08,428] 🚀 USR-d351b65fdb9c40eab2c3ba03cf917309 actions log in session 0
[2025-03-30 15:14:08,429] 🖱️ Mouse hovered for: 2.81s
[2025-03-30 15:14:08,429] 📜 Scrolled for: 17.94s
[2025-03-30 15:14:08,429] 🛒 Viewed cart for: 14.06s
[2025-03-30 15:14:08,429] ✅ Cart checkout time: 20.12s
[2025-03-30 15:14:08,429] 💳 Payment time: 1.07s
[2025-03-30 15:14:08,842] 🚀 USR-ae04e2c350774f43af73c64428410d4b actions log in session 0
[2025-03-30 15:14:08,842] 🖱️ Mouse hovered for: 0.23s
[2025-03-30 15:14:08,843] 📜 Scrolled for: 3.14s
[2025-03-30 15:14:08,843] 🛒 Viewed cart for: 2.68s
[2025-03-30 15:14:08,843] ✅ Cart checkout time: 6.3s
[2025-03-30 15:14:08,843] 💳 Payment time: 0.0s
[2025-03-30 15:14:09,218] ⏸️ Skipping USR-cbcb2e3a7f30432ba3a15009dc5a7220 — session already running
[2025-03-30 15:14:10,029] 🚀 USR-70c2cc48413d48cd9eb569072c0530c1 actions log in session 0
[2025-03-30 15:14:10,030] 🖱️ Mouse hovered for: 4.74s
[2025-03-30 15:14:10,031] 📜 Scrolled for: 13.05s
[2025-03-30 15:14:10,031] 🛒 Viewed cart for: 4.94s
[2025-03-30 15:14:10,031] ✅ Cart checkout time: 17.86s
[2025-03-30 15:14:10,031] 💳 Payment time: 1.37s
[2025-03-30 15:14:10,101] 🚀 USR-2d528ed01e1b427b90463fb06c43116f actions log in session 0
[2025-03-30 15:14:10,102] 🖱️ Mouse hovered for: 0.6s
[2025-03-30 15:14:10,102] 📜 Scrolled for: 1.45s
[2025-03-30 15:14:10,102] 🛒 Viewed cart for: 1.87s
[2025-03-30 15:14:10,102] ✅ Cart checkout time: 0.63s
[2025-03-30 15:14:10,102] 💳 Payment time: 0.45s
[2025-03-30 15:14:10,130] ⏸️ Skipping USR-b3f4dae4f3f04059bd89f7d73ae93c83 — session already running
[2025-03-30 15:14:10,661] ⏸️ Skipping USR-b10874816acb47d2902a0b73bfef005c — session already running
[2025-03-30 15:14:11,730] 🚀 USR-7636cce16a8148b095ab1ff3d0b7a3ec actions log in session 0
[2025-03-30 15:14:11,732] 🖱️ Mouse hovered for: 0.55s
[2025-03-30 15:14:11,732] 📜 Scrolled for: 11.14s
[2025-03-30 15:14:11,732] 🛒 Viewed cart for: 20.2s
[2025-03-30 15:14:11,732] ✅ Cart checkout time: 17.69s
[2025-03-30 15:14:11,732] 💳 Payment time: 1.42s
[2025-03-30 15:14:12,143] 🔵 Starting session for USR-4b9ab13ed07a4bff9eae7ef7d31334ad
[2025-03-30 15:14:12,383] 🚀 USR-6d2d7a6f28b349c887375aafb108f3b8 actions log in session 0
[2025-03-30 15:14:12,384] 🖱️ Mouse hovered for: 0.68s
[2025-03-30 15:14:12,384] 📜 Scrolled for: 4.37s
[2025-03-30 15:14:12,384] 🛒 Viewed cart for: 3.31s
[2025-03-30 15:14:12,384] ✅ Cart checkout time: 31.28s
[2025-03-30 15:14:12,384] 💳 Payment time: 0.0s
[2025-03-30 15:14:12,764] 🔵 Starting session for USR-9e8e68ba42074a65a359dc588e2950a3
[2025-03-30 15:14:13,441] 🚀 USR-38327db76f9842fda1d7b1089914b3df actions log in session 0
[2025-03-30 15:14:13,442] 🖱️ Mouse hovered for: 0.62s
[2025-03-30 15:14:13,442] 📜 Scrolled for: 4.8s
[2025-03-30 15:14:13,442] 🛒 Viewed cart for: 5.62s
[2025-03-30 15:14:13,442] ✅ Cart checkout time: 43.34s
[2025-03-30 15:14:13,442] 💳 Payment time: 0.0s
[2025-03-30 15:14:13,833] ⏸️ Skipping USR-7636cce16a8148b095ab1ff3d0b7a3ec — session already running
[2025-03-30 15:14:15,217] ⏸️ Skipping USR-0e227794bc9f46e9ae60211742a5bf27 — session already running
[2025-03-30 15:14:16,075] 🔵 Starting session for USR-95bb3018123d4618aec8ed74032fde6c
[2025-03-30 15:14:17,199] ⏸️ Skipping USR-cbcb2e3a7f30432ba3a15009dc5a7220 — session already running
[2025-03-30 15:14:18,621] ⏸️ Skipping USR-8c052be35014409080bab7bb3c243cc0 — session already running
[2025-03-30 15:14:19,872] 🔵 Starting session for USR-a90406ffe6564aee8c92b9512898d0e2
[2025-03-30 15:14:20,700] ⏸️ Skipping USR-f8baa19b0a8f43de815fb2748f80202a — session already running
[2025-03-30 15:14:21,486] 🚀 USR-5ac8e5b977e349a4806cfccd54f06e67 actions log in session 0
[2025-03-30 15:14:21,486] 🖱️ Mouse hovered for: 6.26s
[2025-03-30 15:14:21,487] 📜 Scrolled for: 13.4s
[2025-03-30 15:14:21,487] 🛒 Viewed cart for: 16.07s
[2025-03-30 15:14:21,487] ✅ Cart checkout time: 5.61s
[2025-03-30 15:14:21,487] 💳 Payment time: 0.0s
[2025-03-30 15:14:21,923] 🚀 USR-22690e03ea0e4ed6b7f322d16743f599 actions log in session 0
[2025-03-30 15:14:21,923] 🖱️ Mouse hovered for: 4.68s
[2025-03-30 15:14:21,923] 📜 Scrolled for: 7.15s
[2025-03-30 15:14:21,923] 🛒 Viewed cart for: 48.18s
[2025-03-30 15:14:21,923] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:21,923] 💳 Payment time: 0.0s
[2025-03-30 15:14:22,194] ⏸️ Skipping USR-b3f4dae4f3f04059bd89f7d73ae93c83 — session already running
[2025-03-30 15:14:22,849] ⏸️ Skipping USR-598ccd67dd6c4b21978f5ecf02d3da70 — session already running
[2025-03-30 15:14:23,832] 🛑 Coroutine shutdown signal received.
