[2025-03-30 15:12:59,597] 🔵 Starting session for USR-b915049f141b4f3da980b342992267d8
[2025-03-30 15:13:12,792] 🔵 Starting session for USR-9e3f50d9a0ca4b40a4e84fdbc170d32c
[2025-03-30 15:13:14,098] 🔵 Starting session for USR-844848afb48c40c99ddd132659744e94
[2025-03-30 15:13:14,648] 🔵 Starting session for USR-ea469e9b8a3944d6bc95da30866c5882
[2025-03-30 15:13:16,009] 🔵 Starting session for USR-10c47d8b977a4002be42574387c1e78f
[2025-03-30 15:13:16,693] 🔵 Starting session for USR-7568579c7e4e40fdbc95979aaf4ca094
[2025-03-30 15:13:17,508] 🔵 Starting session for USR-9d16f4eb1f0149308ca80bfd794ff92b
[2025-03-30 15:13:17,550] 🚀 USR-1d6ecabb911d478caac90151fd9bd6a0 actions log in session 0
[2025-03-30 15:13:17,550] 🖱️ Mouse hovered for: 0.84s
[2025-03-30 15:13:17,550] 📜 Scrolled for: 3.2s
[2025-03-30 15:13:17,550] 🛒 Viewed cart for: 1.67s
[2025-03-30 15:13:17,550] ✅ Cart checkout time: 3.05s
[2025-03-30 15:13:17,551] 💳 Payment time: 0.24s
[2025-03-30 15:13:18,678] 🔵 Starting session for USR-6e748719340c4dc99f21725caea2e9cb
[2025-03-30 15:13:19,907] 🔵 Starting session for USR-4aa6223845164fa6a45eb2cf17f9647d
[2025-03-30 15:13:21,400] 🔵 Starting session for USR-7096889fc0ca45949099c787653bc711
[2025-03-30 15:13:21,927] 🔵 Starting session for USR-4c591fec73114253a0bdfa5b12940b38
[2025-03-30 15:13:22,224] 🚀 USR-f7729af7abae4ff7896e0a3316915232 actions log in session 0
[2025-03-30 15:13:22,225] 🖱️ Mouse hovered for: 0.34s
[2025-03-30 15:13:22,225] 📜 Scrolled for: 6.64s
[2025-03-30 15:13:22,225] 🛒 Viewed cart for: 7.55s
[2025-03-30 15:13:22,225] ✅ Cart checkout time: 3.56s
[2025-03-30 15:13:22,225] 💳 Payment time: 0.92s
[2025-03-30 15:13:22,910] 🔵 Starting session for USR-325b5b8f6e27434bbe22d87e6c5c8ea6
[2025-03-30 15:13:23,436] ⏸️ Skipping USR-989cec96403f4559898c5ff0e9ed654b — session already running
[2025-03-30 15:13:23,794] 🚀 USR-9e3f50d9a0ca4b40a4e84fdbc170d32c actions log in session 0
[2025-03-30 15:13:23,795] 🖱️ Mouse hovered for: 1.11s
[2025-03-30 15:13:23,795] 📜 Scrolled for: 2.96s
[2025-03-30 15:13:23,795] 🛒 Viewed cart for: 3.01s
[2025-03-30 15:13:23,795] ✅ Cart checkout time: 3.39s
[2025-03-30 15:13:23,795] 💳 Payment time: 0.52s
[2025-03-30 15:13:24,737] 🔵 Starting session for USR-a6b0862a68154f7b9a65aa4358ed1bc1
[2025-03-30 15:13:25,740] 🚀 USR-a6b0862a68154f7b9a65aa4358ed1bc1 actions log in session 0
[2025-03-30 15:13:25,740] 🖱️ Mouse hovered for: 0.02s
[2025-03-30 15:13:25,740] 📜 Scrolled for: 0.09s
[2025-03-30 15:13:25,740] 🛒 Viewed cart for: 0.42s
[2025-03-30 15:13:25,741] ✅ Cart checkout time: 0.45s
[2025-03-30 15:13:25,741] 💳 Payment time: 0.0s
[2025-03-30 15:13:25,995] 🔵 Starting session for USR-6392e44501194ffe8f65d0432db748f2
[2025-03-30 15:13:26,531] 🚀 USR-12a1063489d8403bae282b33798ef6e7 actions log in session 0
[2025-03-30 15:13:26,532] 🖱️ Mouse hovered for: 2.79s
[2025-03-30 15:13:26,532] 📜 Scrolled for: 9.82s
[2025-03-30 15:13:26,532] 🛒 Viewed cart for: 6.68s
[2025-03-30 15:13:26,532] ✅ Cart checkout time: 3.99s
[2025-03-30 15:13:26,532] 💳 Payment time: 0.0s
[2025-03-30 15:13:27,122] ⏸️ Skipping USR-844848afb48c40c99ddd132659744e94 — session already running
[2025-03-30 15:13:28,462] 🔵 Starting session for USR-102739b4f5d140c9b4f2609bca80f58b
[2025-03-30 15:13:29,781] 🔵 Starting session for USR-1e76671edd4046bf855ab974f2d04408
[2025-03-30 15:13:30,571] ⏸️ Skipping USR-12a1063489d8403bae282b33798ef6e7 — session already running
[2025-03-30 15:13:30,695] 🚀 USR-7568579c7e4e40fdbc95979aaf4ca094 actions log in session 0
[2025-03-30 15:13:30,695] 🖱️ Mouse hovered for: 0.27s
[2025-03-30 15:13:30,695] 📜 Scrolled for: 4.6s
[2025-03-30 15:13:30,695] 🛒 Viewed cart for: 6.14s
[2025-03-30 15:13:30,695] ✅ Cart checkout time: 2.63s
[2025-03-30 15:13:30,695] 💳 Payment time: 0.0s
[2025-03-30 15:13:31,163] 🔵 Starting session for USR-432255fee90c45c3abdd7ec12a792135
[2025-03-30 15:13:31,922] ⏸️ Skipping USR-12a1063489d8403bae282b33798ef6e7 — session already running
[2025-03-30 15:13:32,178] 🚀 USR-d81356b7147d4129b1d714f080e30485 actions log in session 0
[2025-03-30 15:13:32,178] 🖱️ Mouse hovered for: 7.22s
[2025-03-30 15:13:32,178] 📜 Scrolled for: 5.84s
[2025-03-30 15:13:32,178] 🛒 Viewed cart for: 6.95s
[2025-03-30 15:13:32,178] ✅ Cart checkout time: 4.89s
[2025-03-30 15:13:32,178] 💳 Payment time: 3.09s
[2025-03-30 15:13:32,206] 🚀 USR-4aba95d72a3342eea4ad5383b137e04c actions log in session 0
[2025-03-30 15:13:32,206] 🖱️ Mouse hovered for: 0.45s
[2025-03-30 15:13:32,206] 📜 Scrolled for: 4.34s
[2025-03-30 15:13:32,206] 🛒 Viewed cart for: 9.71s
[2025-03-30 15:13:32,206] ✅ Cart checkout time: 4.52s
[2025-03-30 15:13:32,206] 💳 Payment time: 0.99s
[2025-03-30 15:13:32,402] 🚀 USR-7096889fc0ca45949099c787653bc711 actions log in session 0
[2025-03-30 15:13:32,402] 🖱️ Mouse hovered for: 1.39s
[2025-03-30 15:13:32,402] 📜 Scrolled for: 2.23s
[2025-03-30 15:13:32,402] 🛒 Viewed cart for: 5.34s
[2025-03-30 15:13:32,402] ✅ Cart checkout time: 1.22s
[2025-03-30 15:13:32,402] 💳 Payment time: 0.0s
[2025-03-30 15:13:33,068] 🔵 Starting session for USR-194ccb2698a4466b8712bf5ee8dfe3fd
[2025-03-30 15:13:33,913] 🚀 USR-325b5b8f6e27434bbe22d87e6c5c8ea6 actions log in session 0
[2025-03-30 15:13:33,914] 🖱️ Mouse hovered for: 0.91s
[2025-03-30 15:13:33,914] 📜 Scrolled for: 1.48s
[2025-03-30 15:13:33,914] 🛒 Viewed cart for: 5.3s
[2025-03-30 15:13:33,914] ✅ Cart checkout time: 3.28s
[2025-03-30 15:13:33,914] 💳 Payment time: 0.0s
[2025-03-30 15:13:34,569] 🔵 Starting session for USR-c9197f76ae154ee6a6d3ef620c718847
[2025-03-30 15:13:36,014] 🔵 Starting session for USR-463c0c9b13ab4c8aa0898aac643e2f35
[2025-03-30 15:13:36,857] 🔵 Starting session for USR-fa6a90bef7c74318801e80d63e56aaf0
[2025-03-30 15:13:38,159] 🔵 Starting session for USR-ce73a7eec4ee469ba2ad2e25e7d22d08
[2025-03-30 15:13:39,134] 🔵 Starting session for USR-45cb2c2f8345406f996293e1d4c7972c
[2025-03-30 15:13:39,161] 🚀 USR-ce73a7eec4ee469ba2ad2e25e7d22d08 actions log in session 0
[2025-03-30 15:13:39,161] 🖱️ Mouse hovered for: 0.06s
[2025-03-30 15:13:39,161] 📜 Scrolled for: 0.34s
[2025-03-30 15:13:39,161] 🛒 Viewed cart for: 0.26s
[2025-03-30 15:13:39,161] ✅ Cart checkout time: 0.3s
[2025-03-30 15:13:39,161] 💳 Payment time: 0.04s
[2025-03-30 15:13:40,093] 🔵 Starting session for USR-a8da19b3063d4f228f27bd5df3ca4431
[2025-03-30 15:13:40,697] 🔵 Starting session for USR-2be1a38274bd43d9ae181c13a43bf814
[2025-03-30 15:13:41,573] 🚀 USR-c9197f76ae154ee6a6d3ef620c718847 actions log in session 0
[2025-03-30 15:13:41,573] 🖱️ Mouse hovered for: 1.11s
[2025-03-30 15:13:41,574] 📜 Scrolled for: 0.94s
[2025-03-30 15:13:41,574] 🛒 Viewed cart for: 2.81s
[2025-03-30 15:13:41,574] ✅ Cart checkout time: 2.08s
[2025-03-30 15:13:41,574] 💳 Payment time: 0.0s
[2025-03-30 15:13:41,599] 🚀 USR-b915049f141b4f3da980b342992267d8 actions log in session 0
[2025-03-30 15:13:41,599] 🖱️ Mouse hovered for: 3.11s
[2025-03-30 15:13:41,599] 📜 Scrolled for: 13.32s
[2025-03-30 15:13:41,599] 🛒 Viewed cart for: 16.43s
[2025-03-30 15:13:41,599] ✅ Cart checkout time: 6.46s
[2025-03-30 15:13:41,599] 💳 Payment time: 0.0s
[2025-03-30 15:13:41,919] 🔵 Starting session for USR-61d243b776124bafb08ce5121d4d23c5
[2025-03-30 15:13:42,788] 🔵 Starting session for USR-6d4573c9cae5460c8884d5f1860af8ba
[2025-03-30 15:13:43,136] 🚀 USR-45cb2c2f8345406f996293e1d4c7972c actions log in session 0
[2025-03-30 15:13:43,136] 🖱️ Mouse hovered for: 0.7s
[2025-03-30 15:13:43,137] 📜 Scrolled for: 0.62s
[2025-03-30 15:13:43,137] 🛒 Viewed cart for: 2.68s
[2025-03-30 15:13:43,137] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:43,137] 💳 Payment time: 0.0s
[2025-03-30 15:13:44,002] ⏸️ Skipping USR-a8da19b3063d4f228f27bd5df3ca4431 — session already running
[2025-03-30 15:13:44,571] ⏸️ Skipping USR-102739b4f5d140c9b4f2609bca80f58b — session already running
[2025-03-30 15:13:45,860] 🚀 USR-fa6a90bef7c74318801e80d63e56aaf0 actions log in session 0
[2025-03-30 15:13:45,860] 🖱️ Mouse hovered for: 0.63s
[2025-03-30 15:13:45,860] 📜 Scrolled for: 1.97s
[2025-03-30 15:13:45,860] 🛒 Viewed cart for: 3.81s
[2025-03-30 15:13:45,860] ✅ Cart checkout time: 2.43s
[2025-03-30 15:13:45,861] 💳 Payment time: 0.0s
[2025-03-30 15:13:45,885] 🔵 Starting session for USR-6e354c0a4e774db6981ffd4dbe887dff
[2025-03-30 15:13:46,987] 🔵 Starting session for USR-81f4a21a8f564dc3b27e73d123bffbaf
[2025-03-30 15:13:47,389] 🚀 USR-989cec96403f4559898c5ff0e9ed654b actions log in session 0
[2025-03-30 15:13:47,390] 🖱️ Mouse hovered for: 4.67s
[2025-03-30 15:13:47,390] 📜 Scrolled for: 7.42s
[2025-03-30 15:13:47,390] 🛒 Viewed cart for: 4.2s
[2025-03-30 15:13:47,390] ✅ Cart checkout time: 20.34s
[2025-03-30 15:13:47,390] 💳 Payment time: 0.37s
[2025-03-30 15:13:47,573] ⏸️ Skipping USR-b915049f141b4f3da980b342992267d8 — session already running
[2025-03-30 15:13:47,679] 🚀 USR-255455ffb0bf435b9537e87b8d2a8f68 actions log in session 0
[2025-03-30 15:13:47,679] 🖱️ Mouse hovered for: 5.85s
[2025-03-30 15:13:47,680] 📜 Scrolled for: 10.15s
[2025-03-30 15:13:47,680] 🛒 Viewed cart for: 16.81s
[2025-03-30 15:13:47,680] ✅ Cart checkout time: 8.27s
[2025-03-30 15:13:47,680] 💳 Payment time: 1.92s
[2025-03-30 15:13:48,651] 🚀 USR-ea469e9b8a3944d6bc95da30866c5882 actions log in session 0
[2025-03-30 15:13:48,651] 🖱️ Mouse hovered for: 3.65s
[2025-03-30 15:13:48,651] 📜 Scrolled for: 7.18s
[2025-03-30 15:13:48,651] 🛒 Viewed cart for: 13.71s
[2025-03-30 15:13:48,651] ✅ Cart checkout time: 7.42s
[2025-03-30 15:13:48,651] 💳 Payment time: 2.04s
[2025-03-30 15:13:48,797] 🚀 USR-aff88370cfc54043b8ce28043fc27abe actions log in session 0
[2025-03-30 15:13:48,798] 🖱️ Mouse hovered for: 4.06s
[2025-03-30 15:13:48,798] 📜 Scrolled for: 12.84s
[2025-03-30 15:13:48,798] 🛒 Viewed cart for: 17.2s
[2025-03-30 15:13:48,798] ✅ Cart checkout time: 5.39s
[2025-03-30 15:13:48,798] 💳 Payment time: 0.0s
[2025-03-30 15:13:48,920] 🚀 USR-61d243b776124bafb08ce5121d4d23c5 actions log in session 0
[2025-03-30 15:13:48,920] 🖱️ Mouse hovered for: 0.37s
[2025-03-30 15:13:48,921] 📜 Scrolled for: 2.28s
[2025-03-30 15:13:48,921] 🛒 Viewed cart for: 2.89s
[2025-03-30 15:13:48,921] ✅ Cart checkout time: 1.16s
[2025-03-30 15:13:48,921] 💳 Payment time: 0.0s
[2025-03-30 15:13:48,987] ⏸️ Skipping USR-e5ac60b0dc3341808191477b7c4ad332 — session already running
[2025-03-30 15:13:49,851] 🔵 Starting session for USR-c9cae450c4024884a06c3773723e2f90
[2025-03-30 15:13:50,612] 🔵 Starting session for USR-a3bb27d8a5a041878485fe6ed92e310d
[2025-03-30 15:13:51,463] ⏸️ Skipping USR-255455ffb0bf435b9537e87b8d2a8f68 — session already running
[2025-03-30 15:13:51,785] 🚀 USR-1e76671edd4046bf855ab974f2d04408 actions log in session 0
[2025-03-30 15:13:51,785] 🖱️ Mouse hovered for: 2.87s
[2025-03-30 15:13:51,785] 📜 Scrolled for: 4.31s
[2025-03-30 15:13:51,785] 🛒 Viewed cart for: 14.82s
[2025-03-30 15:13:51,785] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:51,785] 💳 Payment time: 0.0s
[2025-03-30 15:13:52,332] 🔵 Starting session for USR-09c2ee2877bb432792be501521474b46
[2025-03-30 15:13:53,376] 🔵 Starting session for USR-22c580b35ab44c48b299a4840ff26eab
[2025-03-30 15:13:54,101] 🚀 USR-844848afb48c40c99ddd132659744e94 actions log in session 0
[2025-03-30 15:13:54,101] 🖱️ Mouse hovered for: 6.08s
[2025-03-30 15:13:54,102] 📜 Scrolled for: 8.04s
[2025-03-30 15:13:54,102] 🛒 Viewed cart for: 8.36s
[2025-03-30 15:13:54,102] ✅ Cart checkout time: 17.02s
[2025-03-30 15:13:54,102] 💳 Payment time: 0.0s
[2025-03-30 15:13:54,794] 🔵 Starting session for USR-a91d6f1ccc3a477a8b86236dc9bbcd87
[2025-03-30 15:13:54,928] 🚀 USR-4c591fec73114253a0bdfa5b12940b38 actions log in session 0
[2025-03-30 15:13:54,928] 🖱️ Mouse hovered for: 2.68s
[2025-03-30 15:13:54,928] 📜 Scrolled for: 5.36s
[2025-03-30 15:13:54,928] 🛒 Viewed cart for: 24.96s
[2025-03-30 15:13:54,928] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:54,928] 💳 Payment time: 0.0s
[2025-03-30 15:13:55,518] 🔵 Starting session for USR-8e015dc41eff445fb99466bacf7337bf
[2025-03-30 15:13:55,791] 🚀 USR-6d4573c9cae5460c8884d5f1860af8ba actions log in session 0
[2025-03-30 15:13:55,791] 🖱️ Mouse hovered for: 0.91s
[2025-03-30 15:13:55,791] 📜 Scrolled for: 4.44s
[2025-03-30 15:13:55,791] 🛒 Viewed cart for: 3.9s
[2025-03-30 15:13:55,791] ✅ Cart checkout time: 3.56s
[2025-03-30 15:13:55,791] 💳 Payment time: 0.0s
[2025-03-30 15:13:55,988] 🚀 USR-81f4a21a8f564dc3b27e73d123bffbaf actions log in session 0
[2025-03-30 15:13:55,989] 🖱️ Mouse hovered for: 0.74s
[2025-03-30 15:13:55,989] 📜 Scrolled for: 3.06s
[2025-03-30 15:13:55,989] 🛒 Viewed cart for: 5.19s
[2025-03-30 15:13:55,989] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:55,989] 💳 Payment time: 0.0s
[2025-03-30 15:13:56,862] ⏸️ Skipping USR-6d4573c9cae5460c8884d5f1860af8ba — session already running
[2025-03-30 15:13:57,510] 🚀 USR-9d16f4eb1f0149308ca80bfd794ff92b actions log in session 0
[2025-03-30 15:13:57,510] 🖱️ Mouse hovered for: 3.22s
[2025-03-30 15:13:57,510] 📜 Scrolled for: 11.42s
[2025-03-30 15:13:57,510] 🛒 Viewed cart for: 10.19s
[2025-03-30 15:13:57,510] ✅ Cart checkout time: 14.22s
[2025-03-30 15:13:57,510] 💳 Payment time: 0.0s
[2025-03-30 15:13:57,764] 🔵 Starting session for USR-1f6726f430e140d7af6b17838c7d9219
[2025-03-30 15:13:58,308] 🚀 USR-7a9d53b164834096912dacf0b1570f23 actions log in session 0
[2025-03-30 15:13:58,308] 🖱️ Mouse hovered for: 4.72s
[2025-03-30 15:13:58,308] 📜 Scrolled for: 26.27s
[2025-03-30 15:13:58,308] 🛒 Viewed cart for: 15.58s
[2025-03-30 15:13:58,308] ✅ Cart checkout time: 3.94s
[2025-03-30 15:13:58,308] 💳 Payment time: 2.49s
[2025-03-30 15:13:58,611] 🔵 Starting session for USR-b0cde4d2ecd8489f9536113600e249b1
[2025-03-30 15:13:59,708] 🔵 Starting session for USR-da7ef54525804e8cafa79f0f16f06935
[2025-03-30 15:13:59,975] 🚀 USR-e740a73b11214c7eb6b39c1eca927fa7 actions log in session 0
[2025-03-30 15:13:59,975] 🖱️ Mouse hovered for: 0.83s
[2025-03-30 15:13:59,975] 📜 Scrolled for: 19.66s
[2025-03-30 15:13:59,975] 🛒 Viewed cart for: 38.52s
[2025-03-30 15:13:59,975] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:59,975] 💳 Payment time: 0.0s
[2025-03-30 15:14:00,417] 🔵 Starting session for USR-dc0628cc1f2a4865828df8c4bd72ee11
[2025-03-30 15:14:01,509] 🚀 USR-1f012366803c4b0984f1a9e7a3079328 actions log in session 0
[2025-03-30 15:14:01,509] 🖱️ Mouse hovered for: 9.88s
[2025-03-30 15:14:01,509] 📜 Scrolled for: 10.91s
[2025-03-30 15:14:01,509] 🛒 Viewed cart for: 34.22s
[2025-03-30 15:14:01,509] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:01,509] 💳 Payment time: 0.0s
[2025-03-30 15:14:01,845] 🔵 Starting session for USR-37f819bf828e44fc8099715e8ba42b1e
[2025-03-30 15:14:03,246] ⏸️ Skipping USR-a6b0862a68154f7b9a65aa4358ed1bc1 — session already running
[2025-03-30 15:14:03,389] 🚀 USR-e5ac60b0dc3341808191477b7c4ad332 actions log in session 0
[2025-03-30 15:14:03,389] 🖱️ Mouse hovered for: 3.21s
[2025-03-30 15:14:03,389] 📜 Scrolled for: 16.22s
[2025-03-30 15:14:03,389] 🛒 Viewed cart for: 17.09s
[2025-03-30 15:14:03,389] ✅ Cart checkout time: 13.76s
[2025-03-30 15:14:03,389] 💳 Payment time: 0.0s
[2025-03-30 15:14:03,683] 🚀 USR-6e748719340c4dc99f21725caea2e9cb actions log in session 0
[2025-03-30 15:14:03,683] 🖱️ Mouse hovered for: 5.49s
[2025-03-30 15:14:03,683] 📜 Scrolled for: 17.75s
[2025-03-30 15:14:03,683] 🛒 Viewed cart for: 13.15s
[2025-03-30 15:14:03,683] ✅ Cart checkout time: 7.64s
[2025-03-30 15:14:03,683] 💳 Payment time: 0.98s
[2025-03-30 15:14:04,236] ⏸️ Skipping USR-1f012366803c4b0984f1a9e7a3079328 — session already running
[2025-03-30 15:14:04,699] 🚀 USR-2be1a38274bd43d9ae181c13a43bf814 actions log in session 0
[2025-03-30 15:14:04,699] 🖱️ Mouse hovered for: 2.6s
[2025-03-30 15:14:04,699] 📜 Scrolled for: 9.19s
[2025-03-30 15:14:04,699] 🛒 Viewed cart for: 4.44s
[2025-03-30 15:14:04,699] ✅ Cart checkout time: 6.94s
[2025-03-30 15:14:04,699] 💳 Payment time: 0.83s
[2025-03-30 15:14:04,906] 🔵 Starting session for USR-525d71923cd8487bac32e891e099fd5f
[2025-03-30 15:14:06,053] 🔵 Starting session for USR-a31561ace51d48e398d0fd392821f5b7
[2025-03-30 15:14:07,015] 🚀 USR-463c0c9b13ab4c8aa0898aac643e2f35 actions log in session 0
[2025-03-30 15:14:07,015] 🖱️ Mouse hovered for: 2.94s
[2025-03-30 15:14:07,015] 📜 Scrolled for: 10.38s
[2025-03-30 15:14:07,015] 🛒 Viewed cart for: 8.32s
[2025-03-30 15:14:07,016] ✅ Cart checkout time: 7.19s
[2025-03-30 15:14:07,016] 💳 Payment time: 2.17s
[2025-03-30 15:14:07,079] ⏸️ Skipping USR-b0cde4d2ecd8489f9536113600e249b1 — session already running
[2025-03-30 15:14:08,453] 🔵 Starting session for USR-35a98ea44efd4fc7a7ea51c513d21dcd
[2025-03-30 15:14:08,909] 🚀 USR-4aa6223845164fa6a45eb2cf17f9647d actions log in session 0
[2025-03-30 15:14:08,909] 🖱️ Mouse hovered for: 2.71s
[2025-03-30 15:14:08,910] 📜 Scrolled for: 12.74s
[2025-03-30 15:14:08,910] 🛒 Viewed cart for: 33.55s
[2025-03-30 15:14:08,910] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:08,910] 💳 Payment time: 0.0s
[2025-03-30 15:14:09,064] 🔵 Starting session for USR-5d72412c918146c5bffbc8282ab72a94
[2025-03-30 15:14:09,166] 🚀 USR-432255fee90c45c3abdd7ec12a792135 actions log in session 0
[2025-03-30 15:14:09,167] 🖱️ Mouse hovered for: 1.41s
[2025-03-30 15:14:09,167] 📜 Scrolled for: 5.66s
[2025-03-30 15:14:09,167] 🛒 Viewed cart for: 18.13s
[2025-03-30 15:14:09,167] ✅ Cart checkout time: 12.62s
[2025-03-30 15:14:09,167] 💳 Payment time: 0.18s
[2025-03-30 15:14:10,234] ⏸️ Skipping USR-a3bb27d8a5a041878485fe6ed92e310d — session already running
[2025-03-30 15:14:10,969] ⏸️ Skipping USR-f7729af7abae4ff7896e0a3316915232 — session already running
[2025-03-30 15:14:11,704] 🔵 Starting session for USR-a4821a7dcb8b4749b671b66356cfaa84
[2025-03-30 15:14:12,335] 🚀 USR-09c2ee2877bb432792be501521474b46 actions log in session 0
[2025-03-30 15:14:12,336] 🖱️ Mouse hovered for: 2.55s
[2025-03-30 15:14:12,336] 📜 Scrolled for: 7.24s
[2025-03-30 15:14:12,336] 🛒 Viewed cart for: 6.56s
[2025-03-30 15:14:12,336] ✅ Cart checkout time: 3.46s
[2025-03-30 15:14:12,336] 💳 Payment time: 0.2s
[2025-03-30 15:14:13,143] ⏸️ Skipping USR-7568579c7e4e40fdbc95979aaf4ca094 — session already running
[2025-03-30 15:14:14,011] 🚀 USR-10c47d8b977a4002be42574387c1e78f actions log in session 0
[2025-03-30 15:14:14,011] 🖱️ Mouse hovered for: 2.72s
[2025-03-30 15:14:14,011] 📜 Scrolled for: 16.18s
[2025-03-30 15:14:14,011] 🛒 Viewed cart for: 24.38s
[2025-03-30 15:14:14,011] ✅ Cart checkout time: 13.29s
[2025-03-30 15:14:14,011] 💳 Payment time: 0.0s
[2025-03-30 15:14:14,555] ⏸️ Skipping USR-7096889fc0ca45949099c787653bc711 — session already running
[2025-03-30 15:14:14,888] 🚀 USR-6e354c0a4e774db6981ffd4dbe887dff actions log in session 0
[2025-03-30 15:14:14,888] 🖱️ Mouse hovered for: 0.42s
[2025-03-30 15:14:14,888] 📜 Scrolled for: 4.72s
[2025-03-30 15:14:14,888] 🛒 Viewed cart for: 18.38s
[2025-03-30 15:14:14,888] ✅ Cart checkout time: 5.22s
[2025-03-30 15:14:14,888] 💳 Payment time: 0.25s
[2025-03-30 15:14:15,143] 🔵 Starting session for USR-7b478de1a01b45a284000bf381292269
[2025-03-30 15:14:15,790] ⏸️ Skipping USR-d81356b7147d4129b1d714f080e30485 — session already running
[2025-03-30 15:14:16,303] 🔵 Starting session for USR-08d8ec979ad14ed0a37da97483932df9
[2025-03-30 15:14:17,091] ⏸️ Skipping USR-194ccb2698a4466b8712bf5ee8dfe3fd — session already running
[2025-03-30 15:14:17,947] ⏸️ Skipping USR-22c580b35ab44c48b299a4840ff26eab — session already running
[2025-03-30 15:14:18,998] 🚀 USR-6392e44501194ffe8f65d0432db748f2 actions log in session 0
[2025-03-30 15:14:18,998] 🖱️ Mouse hovered for: 1.98s
[2025-03-30 15:14:18,998] 📜 Scrolled for: 12.54s
[2025-03-30 15:14:18,998] 🛒 Viewed cart for: 6.21s
[2025-03-30 15:14:18,998] ✅ Cart checkout time: 31.07s
[2025-03-30 15:14:18,998] 💳 Payment time: 1.2s
[2025-03-30 15:14:19,406] 🔵 Starting session for USR-3b884ea54fc747c9aec6d70ce2deec6d
[2025-03-30 15:14:20,068] 🔵 Starting session for USR-33ba68310e4646c3b61e5dd16e3d546d
[2025-03-30 15:14:21,124] 🔵 Starting session for USR-786bc92c0a8d40379605de18521187c5
[2025-03-30 15:14:21,959] 🔵 Starting session for USR-f5f3ea035426423d97124cf7c43658cc
[2025-03-30 15:14:22,466] 🚀 USR-102739b4f5d140c9b4f2609bca80f58b actions log in session 0
[2025-03-30 15:14:22,467] 🖱️ Mouse hovered for: 3.22s
[2025-03-30 15:14:22,467] 📜 Scrolled for: 20.77s
[2025-03-30 15:14:22,467] 🛒 Viewed cart for: 6.27s
[2025-03-30 15:14:22,467] ✅ Cart checkout time: 19.75s
[2025-03-30 15:14:22,467] 💳 Payment time: 3.98s
[2025-03-30 15:14:23,070] 🚀 USR-33ba68310e4646c3b61e5dd16e3d546d actions log in session 0
[2025-03-30 15:14:23,070] 🖱️ Mouse hovered for: 0.48s
[2025-03-30 15:14:23,070] 📜 Scrolled for: 0.77s
[2025-03-30 15:14:23,071] 🛒 Viewed cart for: 0.72s
[2025-03-30 15:14:23,071] ✅ Cart checkout time: 0.77s
[2025-03-30 15:14:23,071] 💳 Payment time: 0.0s
[2025-03-30 15:14:23,213] ⏸️ Skipping USR-08d8ec979ad14ed0a37da97483932df9 — session already running
[2025-03-30 15:14:23,804] ⏸️ Skipping USR-a4821a7dcb8b4749b671b66356cfaa84 — session already running
[2025-03-30 15:14:23,833] 🛑 Coroutine shutdown signal received.
