[2025-03-30 15:12:59,579] 🔵 Starting session for USR-32adad22b0644fd1a6f8ea8602d450c4
[2025-03-30 15:13:41,425] 💳 Payment time: 0.89s
[2025-03-30 15:13:41,573] 🔵 Starting session for USR-9b2a3bc43bea436ebe881116582e06a4
[2025-03-30 15:13:42,099] 🚀 USR-b66c998371204c149fe55aec6aebdb62 actions log in session 0
[2025-03-30 15:13:42,099] 🖱️ Mouse hovered for: 0.21s
[2025-03-30 15:13:42,100] 📜 Scrolled for: 0.75s
[2025-03-30 15:13:42,100] 🛒 Viewed cart for: 4.38s
[2025-03-30 15:13:42,100] ✅ Cart checkout time: 9.47s
[2025-03-30 15:13:42,100] 💳 Payment time: 0.0s
[2025-03-30 15:13:42,201] 🚀 USR-850e1e7d8bcf451a82b6687b0dd138fe actions log in session 0
[2025-03-30 15:13:42,201] 🖱️ Mouse hovered for: 4.18s
[2025-03-30 15:13:42,201] 📜 Scrolled for: 15.23s
[2025-03-30 15:13:42,201] 🛒 Viewed cart for: 7.31s
[2025-03-30 15:13:42,201] ✅ Cart checkout time: 10.45s
[2025-03-30 15:13:42,201] 💳 Payment time: 0.0s
[2025-03-30 15:13:42,584] 🚀 USR-25e86e01cc08468399e77a9e7d48ffda actions log in session 0
[2025-03-30 15:13:42,584] 🖱️ Mouse hovered for: 0.41s
[2025-03-30 15:13:42,584] 📜 Scrolled for: 8.43s
[2025-03-30 15:13:42,585] 🛒 Viewed cart for: 2.35s
[2025-03-30 15:13:42,585] ✅ Cart checkout time: 7.89s
[2025-03-30 15:13:42,585] 💳 Payment time: 0.0s
[2025-03-30 15:13:42,684] ⏸️ Skipping USR-850e1e7d8bcf451a82b6687b0dd138fe — session already running
[2025-03-30 15:13:43,491] 🚀 USR-0dca31fac96f47b395dc0d63eeb0b63d actions log in session 0
[2025-03-30 15:13:43,492] 🖱️ Mouse hovered for: 1.06s
[2025-03-30 15:13:43,492] 📜 Scrolled for: 2.31s
[2025-03-30 15:13:43,492] 🛒 Viewed cart for: 6.63s
[2025-03-30 15:13:43,492] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:43,492] 💳 Payment time: 0.0s
[2025-03-30 15:13:43,991] ⏸️ Skipping USR-0dca31fac96f47b395dc0d63eeb0b63d — session already running
[2025-03-30 15:13:45,088] 🚀 USR-53bc14b7bcdc4e6ba2fcd37689927ca8 actions log in session 0
[2025-03-30 15:13:45,088] 🖱️ Mouse hovered for: 1.53s
[2025-03-30 15:13:45,089] 📜 Scrolled for: 4.49s
[2025-03-30 15:13:45,089] 🛒 Viewed cart for: 6.39s
[2025-03-30 15:13:45,089] ✅ Cart checkout time: 2.34s
[2025-03-30 15:13:45,089] 💳 Payment time: 1.25s
[2025-03-30 15:13:45,453] 🔵 Starting session for USR-e2c2819f87df4868a1a80c1b968f88cf
[2025-03-30 15:13:46,010] 🚀 USR-033186f3feb347ec927572dbc89380ec actions log in session 0
[2025-03-30 15:13:46,010] 🖱️ Mouse hovered for: 6.65s
[2025-03-30 15:13:46,010] 📜 Scrolled for: 9.2s
[2025-03-30 15:13:46,010] 🛒 Viewed cart for: 15.41s
[2025-03-30 15:13:46,010] ✅ Cart checkout time: 5.6s
[2025-03-30 15:13:46,010] 💳 Payment time: 0.0s
[2025-03-30 15:13:46,505] 🔵 Starting session for USR-a8d04a5441264d6ea4f0fcc71797d62e
[2025-03-30 15:13:46,575] 🚀 USR-9b2a3bc43bea436ebe881116582e06a4 actions log in session 0
[2025-03-30 15:13:46,575] 🖱️ Mouse hovered for: 0.91s
[2025-03-30 15:13:46,575] 📜 Scrolled for: 1.03s
[2025-03-30 15:13:46,575] 🛒 Viewed cart for: 1.69s
[2025-03-30 15:13:46,575] ✅ Cart checkout time: 1.06s
[2025-03-30 15:13:46,575] 💳 Payment time: 0.32s
[2025-03-30 15:13:47,632] ⏸️ Skipping USR-850e1e7d8bcf451a82b6687b0dd138fe — session already running
[2025-03-30 15:13:48,557] 🔵 Starting session for USR-ec558dbaf17649ed966300645d5086fc
[2025-03-30 15:13:49,299] ⏸️ Skipping USR-ceb5ed160fb94aa1b7408c4522ab2d20 — session already running
[2025-03-30 15:13:50,145] 🔵 Starting session for USR-f28bac6022e24321ae2db0ff7b63d1e4
[2025-03-30 15:13:50,316] 🚀 USR-0242535909c14695a641841bfb05899d actions log in session 0
[2025-03-30 15:13:50,316] 🖱️ Mouse hovered for: 4.0s
[2025-03-30 15:13:50,316] 📜 Scrolled for: 10.18s
[2025-03-30 15:13:50,317] 🛒 Viewed cart for: 15.24s
[2025-03-30 15:13:50,317] ✅ Cart checkout time: 17.91s
[2025-03-30 15:13:50,317] 💳 Payment time: 1.68s
[2025-03-30 15:13:50,859] 🔵 Starting session for USR-f87dcb0ab7dd444182d038a48726d23d
[2025-03-30 15:13:51,159] 🚀 USR-db60d99c478e4024a0b114ae27eb9ca6 actions log in session 0
[2025-03-30 15:13:51,159] 🖱️ Mouse hovered for: 2.67s
[2025-03-30 15:13:51,159] 📜 Scrolled for: 22.05s
[2025-03-30 15:13:51,159] 🛒 Viewed cart for: 9.23s
[2025-03-30 15:13:51,159] ✅ Cart checkout time: 2.08s
[2025-03-30 15:13:51,159] 💳 Payment time: 1.97s
[2025-03-30 15:13:51,523] 🚀 USR-397e752910ff444588c30f9cde3e8486 actions log in session 0
[2025-03-30 15:13:51,524] 🖱️ Mouse hovered for: 0.63s
[2025-03-30 15:13:51,524] 📜 Scrolled for: 4.36s
[2025-03-30 15:13:51,524] 🛒 Viewed cart for: 2.37s
[2025-03-30 15:13:51,524] ✅ Cart checkout time: 12.35s
[2025-03-30 15:13:51,524] 💳 Payment time: 0.0s
[2025-03-30 15:13:52,042] 🔵 Starting session for USR-c3841aac31b14a4f98c52ce2faa36202
[2025-03-30 15:13:52,507] 🚀 USR-a8d04a5441264d6ea4f0fcc71797d62e actions log in session 0
[2025-03-30 15:13:52,508] 🖱️ Mouse hovered for: 0.81s
[2025-03-30 15:13:52,508] 📜 Scrolled for: 1.16s
[2025-03-30 15:13:52,508] 🛒 Viewed cart for: 1.35s
[2025-03-30 15:13:52,508] ✅ Cart checkout time: 2.46s
[2025-03-30 15:13:52,508] 💳 Payment time: 0.22s
[2025-03-30 15:13:53,343] ⏸️ Skipping USR-f28bac6022e24321ae2db0ff7b63d1e4 — session already running
[2025-03-30 15:13:53,841] 🚀 USR-dea292912366416289aab4e3cb349b91 actions log in session 0
[2025-03-30 15:13:53,841] 🖱️ Mouse hovered for: 2.46s
[2025-03-30 15:13:53,841] 📜 Scrolled for: 5.42s
[2025-03-30 15:13:53,841] 🛒 Viewed cart for: 14.7s
[2025-03-30 15:13:53,841] ✅ Cart checkout time: 5.61s
[2025-03-30 15:13:53,841] 💳 Payment time: 1.8s
[2025-03-30 15:13:54,219] 🚀 USR-4ee857a40c1f458786ff26082b0d49db actions log in session 0
[2025-03-30 15:13:54,219] 🖱️ Mouse hovered for: 2.8s
[2025-03-30 15:13:54,219] 📜 Scrolled for: 8.56s
[2025-03-30 15:13:54,219] 🛒 Viewed cart for: 16.64s
[2025-03-30 15:13:54,219] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:54,219] 💳 Payment time: 0.0s
[2025-03-30 15:13:54,362] ⏸️ Skipping USR-0c6182a664294b959eeb62274e8b70dc — session already running
[2025-03-30 15:13:55,158] 🔵 Starting session for USR-48b81ae9e6894f26b9de1edd79515f71
[2025-03-30 15:13:55,994] ⏸️ Skipping USR-f28bac6022e24321ae2db0ff7b63d1e4 — session already running
[2025-03-30 15:13:57,419] ⏸️ Skipping USR-48b81ae9e6894f26b9de1edd79515f71 — session already running
[2025-03-30 15:13:57,978] ⏸️ Skipping USR-2c267b5066214d2ab845e724c13ebfa3 — session already running
[2025-03-30 15:13:59,160] 🚀 USR-48b81ae9e6894f26b9de1edd79515f71 actions log in session 0
[2025-03-30 15:13:59,160] 🖱️ Mouse hovered for: 0.59s
[2025-03-30 15:13:59,160] 📜 Scrolled for: 1.96s
[2025-03-30 15:13:59,160] 🛒 Viewed cart for: 0.56s
[2025-03-30 15:13:59,160] ✅ Cart checkout time: 0.71s
[2025-03-30 15:13:59,160] 💳 Payment time: 0.19s
[2025-03-30 15:13:59,201] 🔵 Starting session for USR-cb9e1e3e3c104e5eb352a358a07351d4
[2025-03-30 15:13:59,955] 🔵 Starting session for USR-e3de8912b0824c02aa92022abed99334
[2025-03-30 15:14:00,713] 🔵 Starting session for USR-0df9d13e40544dd5870c2afe04b91fa6
[2025-03-30 15:14:01,901] ⏸️ Skipping USR-32adad22b0644fd1a6f8ea8602d450c4 — session already running
[2025-03-30 15:14:02,415] 🔵 Starting session for USR-3687d775bd9947ee88e2cac2ab4ac827
[2025-03-30 15:14:03,261] 🔵 Starting session for USR-e09b8f0b8c584f75a8ebf7bd6bf51a5c
[2025-03-30 15:14:04,203] 🚀 USR-cb9e1e3e3c104e5eb352a358a07351d4 actions log in session 0
[2025-03-30 15:14:04,204] 🖱️ Mouse hovered for: 0.04s
[2025-03-30 15:14:04,204] 📜 Scrolled for: 0.64s
[2025-03-30 15:14:04,204] 🛒 Viewed cart for: 1.38s
[2025-03-30 15:14:04,204] ✅ Cart checkout time: 2.89s
[2025-03-30 15:14:04,204] 💳 Payment time: 0.0s
[2025-03-30 15:14:04,238] 🚀 USR-fd9650a2905a45b1a54e5800fcd9968b actions log in session 0
[2025-03-30 15:14:04,239] 🖱️ Mouse hovered for: 4.22s
[2025-03-30 15:14:04,239] 📜 Scrolled for: 25.92s
[2025-03-30 15:14:04,239] 🛒 Viewed cart for: 1.98s
[2025-03-30 15:14:04,239] ✅ Cart checkout time: 25.22s
[2025-03-30 15:14:04,239] 💳 Payment time: 0.0s
[2025-03-30 15:14:04,317] 🔵 Starting session for USR-dd52c44e3e9c4303bc9cc76b2d9d474a
[2025-03-30 15:14:04,455] 🚀 USR-e2c2819f87df4868a1a80c1b968f88cf actions log in session 0
[2025-03-30 15:14:04,456] 🖱️ Mouse hovered for: 2.25s
[2025-03-30 15:14:04,456] 📜 Scrolled for: 3.92s
[2025-03-30 15:14:04,456] 🛒 Viewed cart for: 8.87s
[2025-03-30 15:14:04,456] ✅ Cart checkout time: 3.45s
[2025-03-30 15:14:04,456] 💳 Payment time: 0.52s
[2025-03-30 15:14:05,791] 🔵 Starting session for USR-421449be4d75403b99212a3333e40881
[2025-03-30 15:14:06,704] 🔵 Starting session for USR-22b565859e584d06bf04e0e070466c09
[2025-03-30 15:14:07,773] 🔵 Starting session for USR-2ac76c24b45e4c639b1d4ae2ad1f97a2
[2025-03-30 15:14:09,012] 🔵 Starting session for USR-e3303957ff114cb69386fa63122c45c3
[2025-03-30 15:14:09,835] ⏸️ Skipping USR-32adad22b0644fd1a6f8ea8602d450c4 — session already running
[2025-03-30 15:14:09,948] 🚀 USR-00cf760a06054da986658b8ca0763824 actions log in session 0
[2025-03-30 15:14:09,948] 🖱️ Mouse hovered for: 4.04s
[2025-03-30 15:14:09,948] 📜 Scrolled for: 9.27s
[2025-03-30 15:14:09,948] 🛒 Viewed cart for: 12.3s
[2025-03-30 15:14:09,948] ✅ Cart checkout time: 6.59s
[2025-03-30 15:14:09,948] 💳 Payment time: 0.0s
[2025-03-30 15:14:11,079] 🔵 Starting session for USR-7313d277c2654bfbb8d2e34052113847
[2025-03-30 15:14:12,218] 🔵 Starting session for USR-9d5d358ad59945cda73e28d5c88594e4
[2025-03-30 15:14:12,449] 🚀 USR-1648e341bd9e435981070c05e1186520 actions log in session 0
[2025-03-30 15:14:12,450] 🖱️ Mouse hovered for: 0.56s
[2025-03-30 15:14:12,450] 📜 Scrolled for: 5.69s
[2025-03-30 15:14:12,450] 🛒 Viewed cart for: 18.54s
[2025-03-30 15:14:12,450] ✅ Cart checkout time: 25.69s
[2025-03-30 15:14:12,450] 💳 Payment time: 0.0s
[2025-03-30 15:14:12,878] ⏸️ Skipping USR-125442431cf04677b924869dfbc1de1b — session already running
[2025-03-30 15:14:13,424] ⏸️ Skipping USR-4ee857a40c1f458786ff26082b0d49db — session already running
[2025-03-30 15:14:14,343] ⏸️ Skipping USR-f87dcb0ab7dd444182d038a48726d23d — session already running
[2025-03-30 15:14:15,176] 🚀 USR-746e685037b1446ca36e64b01f25b366 actions log in session 0
[2025-03-30 15:14:15,177] 🖱️ Mouse hovered for: 9.37s
[2025-03-30 15:14:15,177] 📜 Scrolled for: 7.82s
[2025-03-30 15:14:15,177] 🛒 Viewed cart for: 13.9s
[2025-03-30 15:14:15,177] ✅ Cart checkout time: 27.69s
[2025-03-30 15:14:15,177] 💳 Payment time: 0.0s
[2025-03-30 15:14:15,710] 🔵 Starting session for USR-20f373e60b10488abe7361c38e0d170c
[2025-03-30 15:14:16,293] 🔵 Starting session for USR-5cae9b89e48d454c867bf2fedaa09110
[2025-03-30 15:14:16,931] 🔵 Starting session for USR-b09f2143cc634e0cadd725ba3017797f
[2025-03-30 15:14:18,250] 🔵 Starting session for USR-f045b47b8c664a1bb89eade975400dd6
[2025-03-30 15:14:18,317] 🚀 USR-2a24281992b54706946c0098c4d7d2b3 actions log in session 0
[2025-03-30 15:14:18,318] 🖱️ Mouse hovered for: 7.12s
[2025-03-30 15:14:18,318] 📜 Scrolled for: 14.82s
[2025-03-30 15:14:18,318] 🛒 Viewed cart for: 12.76s
[2025-03-30 15:14:18,319] ✅ Cart checkout time: 15.31s
[2025-03-30 15:14:18,319] 💳 Payment time: 2.99s
[2025-03-30 15:14:18,573] 🚀 USR-0e844d128bb34b679be5baefa49f877c actions log in session 0
[2025-03-30 15:14:18,574] 🖱️ Mouse hovered for: 1.65s
[2025-03-30 15:14:18,574] 📜 Scrolled for: 12.08s
[2025-03-30 15:14:18,574] 🛒 Viewed cart for: 25.71s
[2025-03-30 15:14:18,574] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:18,574] 💳 Payment time: 0.56s
[2025-03-30 15:14:18,787] 🚀 USR-0c6182a664294b959eeb62274e8b70dc actions log in session 0
[2025-03-30 15:14:18,787] 🖱️ Mouse hovered for: 5.29s
[2025-03-30 15:14:18,787] 📜 Scrolled for: 8.43s
[2025-03-30 15:14:18,787] 🛒 Viewed cart for: 18.73s
[2025-03-30 15:14:18,787] ✅ Cart checkout time: 3.57s
[2025-03-30 15:14:18,788] 💳 Payment time: 0.0s
[2025-03-30 15:14:19,471] ⏸️ Skipping USR-ceb5ed160fb94aa1b7408c4522ab2d20 — session already running
[2025-03-30 15:14:20,264] 🚀 USR-e09b8f0b8c584f75a8ebf7bd6bf51a5c actions log in session 0
[2025-03-30 15:14:20,265] 🖱️ Mouse hovered for: 2.53s
[2025-03-30 15:14:20,265] 📜 Scrolled for: 3.77s
[2025-03-30 15:14:20,265] 🛒 Viewed cart for: 10.7s
[2025-03-30 15:14:20,265] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:20,266] 💳 Payment time: 0.0s
[2025-03-30 15:14:20,851] 🔵 Starting session for USR-c2a78732266341c39d3a4d2ff158a0e5
[2025-03-30 15:14:21,540] ⏸️ Skipping USR-3687d775bd9947ee88e2cac2ab4ac827 — session already running
[2025-03-30 15:14:21,793] 🚀 USR-421449be4d75403b99212a3333e40881 actions log in session 0
[2025-03-30 15:14:21,793] 🖱️ Mouse hovered for: 2.53s
[2025-03-30 15:14:21,793] 📜 Scrolled for: 4.47s
[2025-03-30 15:14:21,793] 🛒 Viewed cart for: 5.97s
[2025-03-30 15:14:21,793] ✅ Cart checkout time: 2.74s
[2025-03-30 15:14:21,793] 💳 Payment time: 0.28s
[2025-03-30 15:14:22,547] 🚀 USR-eb6b8c0a734f471daeb6ffc061091491 actions log in session 0
[2025-03-30 15:14:22,547] 🖱️ Mouse hovered for: 11.32s
[2025-03-30 15:14:22,547] 📜 Scrolled for: 15.95s
[2025-03-30 15:14:22,547] 🛒 Viewed cart for: 14.22s
[2025-03-30 15:14:22,547] ✅ Cart checkout time: 7.53s
[2025-03-30 15:14:22,547] 💳 Payment time: 0.0s
[2025-03-30 15:14:23,020] 🔵 Starting session for USR-822a16ea44934927a117239c7d388c67
[2025-03-30 15:14:23,716] 🚀 USR-0df9d13e40544dd5870c2afe04b91fa6 actions log in session 0
[2025-03-30 15:14:23,716] 🖱️ Mouse hovered for: 0.21s
[2025-03-30 15:14:23,717] 📜 Scrolled for: 2.96s
[2025-03-30 15:14:23,717] 🛒 Viewed cart for: 4.73s
[2025-03-30 15:14:23,717] ✅ Cart checkout time: 15.09s
[2025-03-30 15:14:23,717] 💳 Payment time: 0.0s
[2025-03-30 15:14:23,833] 🛑 Coroutine shutdown signal received.
