[2025-03-30 15:12:59,595] 🔵 Starting session for USR-ed68fbab32474d69a69e14f0327806f1
[2025-03-30 15:13:22,112] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:22,112] 💳 Payment time: 0.0s
[2025-03-30 15:13:22,966] 🔵 Starting session for USR-ac69689575a3421cbd25e07283e642b4
[2025-03-30 15:13:23,919] ⏸️ Skipping USR-3eb8317c25164b96b6fd77050ca81701 — session already running
[2025-03-30 15:13:24,456] 🚀 USR-901551cb295f4cafb2fd62b43af33859 actions log in session 0
[2025-03-30 15:13:24,456] 🖱️ Mouse hovered for: 3.05s
[2025-03-30 15:13:24,456] 📜 Scrolled for: 3.65s
[2025-03-30 15:13:24,456] 🛒 Viewed cart for: 5.57s
[2025-03-30 15:13:24,456] ✅ Cart checkout time: 8.03s
[2025-03-30 15:13:24,456] 💳 Payment time: 0.71s
[2025-03-30 15:13:24,592] ⏸️ Skipping USR-3eb8317c25164b96b6fd77050ca81701 — session already running
[2025-03-30 15:13:25,768] 🔵 Starting session for USR-d26d164cf09b4ecfae60498f934eab72
[2025-03-30 15:13:25,968] 🚀 USR-ac69689575a3421cbd25e07283e642b4 actions log in session 0
[2025-03-30 15:13:25,969] 🖱️ Mouse hovered for: 0.31s
[2025-03-30 15:13:25,969] 📜 Scrolled for: 0.27s
[2025-03-30 15:13:25,969] 🛒 Viewed cart for: 1.5s
[2025-03-30 15:13:25,969] ✅ Cart checkout time: 0.91s
[2025-03-30 15:13:25,969] 💳 Payment time: 0.0s
[2025-03-30 15:13:26,706] 🚀 USR-0122895ac6c34aca89c63029fd9d2817 actions log in session 0
[2025-03-30 15:13:26,707] 🖱️ Mouse hovered for: 0.39s
[2025-03-30 15:13:26,707] 📜 Scrolled for: 1.04s
[2025-03-30 15:13:26,707] 🛒 Viewed cart for: 1.4s
[2025-03-30 15:13:26,707] ✅ Cart checkout time: 1.97s
[2025-03-30 15:13:26,707] 💳 Payment time: 0.0s
[2025-03-30 15:13:26,739] 🔵 Starting session for USR-25fafb0ebf7847d5aa3d511ffb6261c3
[2025-03-30 15:13:27,567] 🔵 Starting session for USR-a66d3e581d5248cb9eb09e67d139b48d
[2025-03-30 15:13:28,072] 🔵 Starting session for USR-c5693b40aa5d47fcb32bb54bc597b190
[2025-03-30 15:13:29,153] 🔵 Starting session for USR-ea1fde6c711d49cba066193f54c743c7
[2025-03-30 15:13:29,944] 🔵 Starting session for USR-5f4de958b6c84107a0d24994ea74c690
[2025-03-30 15:13:31,296] ⏸️ Skipping USR-36c7b2d942614e529550a9eac1a7f854 — session already running
[2025-03-30 15:13:32,156] 🚀 USR-ea1fde6c711d49cba066193f54c743c7 actions log in session 0
[2025-03-30 15:13:32,156] 🖱️ Mouse hovered for: 0.08s
[2025-03-30 15:13:32,157] 📜 Scrolled for: 0.14s
[2025-03-30 15:13:32,157] 🛒 Viewed cart for: 1.19s
[2025-03-30 15:13:32,157] ✅ Cart checkout time: 1.56s
[2025-03-30 15:13:32,157] 💳 Payment time: 0.03s
[2025-03-30 15:13:32,500] 🔵 Starting session for USR-1ae919eb35bc463babdeb8ddc68b4407
[2025-03-30 15:13:33,416] 🔵 Starting session for USR-4e8dbb036efa4c37b47b493f7455c5b7
[2025-03-30 15:13:34,027] 🔵 Starting session for USR-f33e292c31c340b2bba08a128ef1da82
[2025-03-30 15:13:35,141] 🔵 Starting session for USR-354925f4587a4d23b58a75bfc860a13d
[2025-03-30 15:13:35,763] 🔵 Starting session for USR-ee0dc9db654f4cb694ce0b03bc2a64a5
[2025-03-30 15:13:36,143] 🚀 USR-354925f4587a4d23b58a75bfc860a13d actions log in session 0
[2025-03-30 15:13:36,143] 🖱️ Mouse hovered for: 0.22s
[2025-03-30 15:13:36,143] 📜 Scrolled for: 0.41s
[2025-03-30 15:13:36,143] 🛒 Viewed cart for: 0.38s
[2025-03-30 15:13:36,143] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:36,143] 💳 Payment time: 0.0s
[2025-03-30 15:13:36,158] 🚀 USR-581e4d241c8f41dea2e502e76082e470 actions log in session 0
[2025-03-30 15:13:36,158] 🖱️ Mouse hovered for: 4.92s
[2025-03-30 15:13:36,158] 📜 Scrolled for: 5.98s
[2025-03-30 15:13:36,158] 🛒 Viewed cart for: 13.97s
[2025-03-30 15:13:36,158] ✅ Cart checkout time: 6.94s
[2025-03-30 15:13:36,158] 💳 Payment time: 0.0s
[2025-03-30 15:13:36,437] 🔵 Starting session for USR-9c7dfe873f984f2c8194a2692074aba1
[2025-03-30 15:13:37,194] ⏸️ Skipping USR-4e8dbb036efa4c37b47b493f7455c5b7 — session already running
[2025-03-30 15:13:38,185] 🔵 Starting session for USR-c45f06dff80a4ca19345681ee1bca43e
[2025-03-30 15:13:38,702] 🚀 USR-de6bb57cdc6048688db460bed70e3e65 actions log in session 0
[2025-03-30 15:13:38,703] 🖱️ Mouse hovered for: 7.57s
[2025-03-30 15:13:38,703] 📜 Scrolled for: 13.68s
[2025-03-30 15:13:38,703] 🛒 Viewed cart for: 6.42s
[2025-03-30 15:13:38,703] ✅ Cart checkout time: 9.16s
[2025-03-30 15:13:38,703] 💳 Payment time: 0.0s
[2025-03-30 15:13:39,492] 🔵 Starting session for USR-3fa9cd41d3084516b7d606287d96431e
[2025-03-30 15:13:39,970] 🕒 USR-ac69689575a3421cbd25e07283e642b4 finished session 0
[2025-03-30 15:13:40,613] 🔵 Starting session for USR-80c15fd6935e496cb9789ed1345c6c32
[2025-03-30 15:13:41,210] 🔵 Starting session for USR-56b5f5caccc14e339769c81baa8a6979
[2025-03-30 15:13:41,910] 🚀 USR-69d12cbbac23404184746acf57576eaa actions log in session 0
[2025-03-30 15:13:41,910] 🖱️ Mouse hovered for: 1.72s
[2025-03-30 15:13:41,910] 📜 Scrolled for: 8.74s
[2025-03-30 15:13:41,910] 🛒 Viewed cart for: 8.1s
[2025-03-30 15:13:41,910] ✅ Cart checkout time: 2.11s
[2025-03-30 15:13:41,910] 💳 Payment time: 0.0s
[2025-03-30 15:13:42,138] ⏸️ Skipping USR-3fa9cd41d3084516b7d606287d96431e — session already running
[2025-03-30 15:13:42,697] 🔵 Starting session for USR-025711e1974f44368aec40157fd3619b
[2025-03-30 15:13:42,763] 🚀 USR-36c7b2d942614e529550a9eac1a7f854 actions log in session 0
[2025-03-30 15:13:42,764] 🖱️ Mouse hovered for: 0.25s
[2025-03-30 15:13:42,764] 📜 Scrolled for: 2.23s
[2025-03-30 15:13:42,765] 🛒 Viewed cart for: 13.0s
[2025-03-30 15:13:42,765] ✅ Cart checkout time: 9.42s
[2025-03-30 15:13:42,766] 💳 Payment time: 0.0s
[2025-03-30 15:13:43,207] 🔵 Starting session for USR-0b964e7c29584eb09c9484d4b227d48e
[2025-03-30 15:13:44,586] 🔵 Starting session for USR-8e8ce20178f14ab1a3561348246294cf
[2025-03-30 15:13:44,764] 🚀 USR-ee0dc9db654f4cb694ce0b03bc2a64a5 actions log in session 0
[2025-03-30 15:13:44,764] 🖱️ Mouse hovered for: 1.54s
[2025-03-30 15:13:44,764] 📜 Scrolled for: 1.42s
[2025-03-30 15:13:44,764] 🛒 Viewed cart for: 2.82s
[2025-03-30 15:13:44,764] ✅ Cart checkout time: 2.86s
[2025-03-30 15:13:44,764] 💳 Payment time: 0.36s
[2025-03-30 15:13:45,162] ⏸️ Skipping USR-5d3647f95d8e4cbfa0c342345b793079 — session already running
[2025-03-30 15:13:46,505] 🚀 USR-497c9a88d0224e2487f3ad21af735145 actions log in session 0
[2025-03-30 15:13:46,505] 🖱️ Mouse hovered for: 0.77s
[2025-03-30 15:13:46,505] 📜 Scrolled for: 14.67s
[2025-03-30 15:13:46,505] 🛒 Viewed cart for: 5.11s
[2025-03-30 15:13:46,505] ✅ Cart checkout time: 11.11s
[2025-03-30 15:13:46,505] 💳 Payment time: 1.34s
[2025-03-30 15:13:46,583] ⏸️ Skipping USR-843da03dd4d848a3bf9ea66d5d62d592 — session already running
[2025-03-30 15:13:46,982] 🚀 USR-8bc79e5653c6426c8299339b76ee4b30 actions log in session 0
[2025-03-30 15:13:46,983] 🖱️ Mouse hovered for: 2.68s
[2025-03-30 15:13:46,983] 📜 Scrolled for: 13.98s
[2025-03-30 15:13:46,983] 🛒 Viewed cart for: 10.62s
[2025-03-30 15:13:46,983] ✅ Cart checkout time: 13.45s
[2025-03-30 15:13:46,983] 💳 Payment time: 1.27s
[2025-03-30 15:13:47,266] 🔵 Starting session for USR-8185b455267341e88c5436b11a41f841
[2025-03-30 15:13:47,798] ⏸️ Skipping USR-0122895ac6c34aca89c63029fd9d2817 — session already running
[2025-03-30 15:13:48,877] 🔵 Starting session for USR-661e91cc998142f4a8a32c367821ea18
[2025-03-30 15:13:49,356] 🚀 USR-b8e73ce926594d4f8f44e520d4a2bfe9 actions log in session 0
[2025-03-30 15:13:49,356] 🖱️ Mouse hovered for: 5.61s
[2025-03-30 15:13:49,356] 📜 Scrolled for: 2.07s
[2025-03-30 15:13:49,356] 🛒 Viewed cart for: 17.65s
[2025-03-30 15:13:49,356] ✅ Cart checkout time: 9.45s
[2025-03-30 15:13:49,356] 💳 Payment time: 0.0s
[2025-03-30 15:13:49,494] 🚀 USR-3fa9cd41d3084516b7d606287d96431e actions log in session 0
[2025-03-30 15:13:49,494] 🖱️ Mouse hovered for: 1.08s
[2025-03-30 15:13:49,494] 📜 Scrolled for: 3.78s
[2025-03-30 15:13:49,494] 🛒 Viewed cart for: 1.37s
[2025-03-30 15:13:49,494] ✅ Cart checkout time: 3.58s
[2025-03-30 15:13:49,494] 💳 Payment time: 0.2s
[2025-03-30 15:13:49,865] ⏸️ Skipping USR-56b5f5caccc14e339769c81baa8a6979 — session already running
[2025-03-30 15:13:50,187] 🚀 USR-c45f06dff80a4ca19345681ee1bca43e actions log in session 0
[2025-03-30 15:13:50,187] 🖱️ Mouse hovered for: 1.33s
[2025-03-30 15:13:50,187] 📜 Scrolled for: 3.49s
[2025-03-30 15:13:50,187] 🛒 Viewed cart for: 5.74s
[2025-03-30 15:13:50,188] ✅ Cart checkout time: 1.06s
[2025-03-30 15:13:50,188] 💳 Payment time: 0.39s
[2025-03-30 15:13:50,807] 🔵 Starting session for USR-cf530e09f3084611b0a97d63e52dbc6e
[2025-03-30 15:13:51,353] 🔵 Starting session for USR-6d6fc5e5d5f14d04b5ae723c12698b2c
[2025-03-30 15:13:52,486] ⏸️ Skipping USR-25fafb0ebf7847d5aa3d511ffb6261c3 — session already running
[2025-03-30 15:13:53,676] 🚀 USR-5d3647f95d8e4cbfa0c342345b793079 actions log in session 0
[2025-03-30 15:13:53,677] 🖱️ Mouse hovered for: 1.4s
[2025-03-30 15:13:53,677] 📜 Scrolled for: 13.45s
[2025-03-30 15:13:53,677] 🛒 Viewed cart for: 6.22s
[2025-03-30 15:13:53,677] ✅ Cart checkout time: 22.67s
[2025-03-30 15:13:53,677] 💳 Payment time: 0.0s
[2025-03-30 15:13:53,804] ⏸️ Skipping USR-01b8b278811644e18f309aa8c9a78b91 — session already running
[2025-03-30 15:13:54,482] ⏸️ Skipping USR-661e91cc998142f4a8a32c367821ea18 — session already running
[2025-03-30 15:13:55,268] 🔵 Starting session for USR-8d69f611587344c68b7b921ad28b0d02
[2025-03-30 15:13:55,306] 🚀 USR-7892c9c177e34a7aab562744f332f43d actions log in session 0
[2025-03-30 15:13:55,307] 🖱️ Mouse hovered for: 8.14s
[2025-03-30 15:13:55,308] 📜 Scrolled for: 10.1s
[2025-03-30 15:13:55,308] 🛒 Viewed cart for: 15.13s
[2025-03-30 15:13:55,308] ✅ Cart checkout time: 6.31s
[2025-03-30 15:13:55,308] 💳 Payment time: 4.32s
[2025-03-30 15:13:55,339] 🚀 USR-843da03dd4d848a3bf9ea66d5d62d592 actions log in session 0
[2025-03-30 15:13:55,340] 🖱️ Mouse hovered for: 5.76s
[2025-03-30 15:13:55,340] 📜 Scrolled for: 8.11s
[2025-03-30 15:13:55,340] 🛒 Viewed cart for: 16.0s
[2025-03-30 15:13:55,340] ✅ Cart checkout time: 9.51s
[2025-03-30 15:13:55,340] 💳 Payment time: 0.61s
[2025-03-30 15:13:55,700] 🚀 USR-025711e1974f44368aec40157fd3619b actions log in session 0
[2025-03-30 15:13:55,700] 🖱️ Mouse hovered for: 1.27s
[2025-03-30 15:13:55,700] 📜 Scrolled for: 4.35s
[2025-03-30 15:13:55,700] 🛒 Viewed cart for: 5.55s
[2025-03-30 15:13:55,700] ✅ Cart checkout time: 1.37s
[2025-03-30 15:13:55,700] 💳 Payment time: 0.47s
[2025-03-30 15:13:55,773] 🚀 USR-7f787c74c08348bf9e2ad3054db0f6be actions log in session 0
[2025-03-30 15:13:55,773] 🖱️ Mouse hovered for: 4.7s
[2025-03-30 15:13:55,773] 📜 Scrolled for: 13.99s
[2025-03-30 15:13:55,773] 🛒 Viewed cart for: 16.3s
[2025-03-30 15:13:55,773] ✅ Cart checkout time: 10.5s
[2025-03-30 15:13:55,773] 💳 Payment time: 1.51s
[2025-03-30 15:13:56,611] 🔵 Starting session for USR-058f59ff5e114f6280c708ce8ba434d3
[2025-03-30 15:13:56,748] 🚀 USR-2342d652c0f344db9553db899cbdea2c actions log in session 0
[2025-03-30 15:13:56,749] 🖱️ Mouse hovered for: 3.41s
[2025-03-30 15:13:56,749] 📜 Scrolled for: 6.68s
[2025-03-30 15:13:56,749] 🛒 Viewed cart for: 14.86s
[2025-03-30 15:13:56,749] ✅ Cart checkout time: 11.31s
[2025-03-30 15:13:56,749] 💳 Payment time: 0.74s
[2025-03-30 15:13:56,809] 🚀 USR-cf530e09f3084611b0a97d63e52dbc6e actions log in session 0
[2025-03-30 15:13:56,810] 🖱️ Mouse hovered for: 1.04s
[2025-03-30 15:13:56,810] 📜 Scrolled for: 2.36s
[2025-03-30 15:13:56,810] 🛒 Viewed cart for: 1.18s
[2025-03-30 15:13:56,810] ✅ Cart checkout time: 1.09s
[2025-03-30 15:13:56,810] 💳 Payment time: 0.33s
[2025-03-30 15:13:57,441] 🚀 USR-9c7dfe873f984f2c8194a2692074aba1 actions log in session 0
[2025-03-30 15:13:57,441] 🖱️ Mouse hovered for: 2.87s
[2025-03-30 15:13:57,442] 📜 Scrolled for: 6.76s
[2025-03-30 15:13:57,442] 🛒 Viewed cart for: 11.38s
[2025-03-30 15:13:57,442] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:57,442] 💳 Payment time: 0.0s
[2025-03-30 15:13:57,502] 🚀 USR-1ae919eb35bc463babdeb8ddc68b4407 actions log in session 0
[2025-03-30 15:13:57,502] 🖱️ Mouse hovered for: 4.37s
[2025-03-30 15:13:57,502] 📜 Scrolled for: 6.81s
[2025-03-30 15:13:57,502] 🛒 Viewed cart for: 8.52s
[2025-03-30 15:13:57,502] ✅ Cart checkout time: 3.67s
[2025-03-30 15:13:57,502] 💳 Payment time: 1.63s
[2025-03-30 15:13:57,741] 🚀 USR-25fafb0ebf7847d5aa3d511ffb6261c3 actions log in session 0
[2025-03-30 15:13:57,741] 🖱️ Mouse hovered for: 2.23s
[2025-03-30 15:13:57,741] 📜 Scrolled for: 10.75s
[2025-03-30 15:13:57,741] 🛒 Viewed cart for: 10.39s
[2025-03-30 15:13:57,741] ✅ Cart checkout time: 4.67s
[2025-03-30 15:13:57,741] 💳 Payment time: 0.0s
[2025-03-30 15:13:57,777] ⏸️ Skipping USR-de6bb57cdc6048688db460bed70e3e65 — session already running
[2025-03-30 15:13:58,310] ⏸️ Skipping USR-f33e292c31c340b2bba08a128ef1da82 — session already running
[2025-03-30 15:13:58,407] 🚀 USR-51e36459e8a64fa591b237a4a37a44b7 actions log in session 0
[2025-03-30 15:13:58,408] 🖱️ Mouse hovered for: 0.31s
[2025-03-30 15:13:58,408] 📜 Scrolled for: 8.22s
[2025-03-30 15:13:58,408] 🛒 Viewed cart for: 12.08s
[2025-03-30 15:13:58,408] ✅ Cart checkout time: 31.39s
[2025-03-30 15:13:58,408] 💳 Payment time: 0.0s
[2025-03-30 15:13:58,596] 🚀 USR-ed68fbab32474d69a69e14f0327806f1 actions log in session 0
[2025-03-30 15:13:58,596] 🖱️ Mouse hovered for: 1.14s
[2025-03-30 15:13:58,597] 📜 Scrolled for: 3.48s
[2025-03-30 15:13:58,597] 🛒 Viewed cart for: 32.89s
[2025-03-30 15:13:58,597] ✅ Cart checkout time: 20.86s
[2025-03-30 15:13:58,597] 💳 Payment time: 0.0s
[2025-03-30 15:13:59,074] 🚀 USR-01b8b278811644e18f309aa8c9a78b91 actions log in session 0
[2025-03-30 15:13:59,074] 🖱️ Mouse hovered for: 12.21s
[2025-03-30 15:13:59,074] 📜 Scrolled for: 13.1s
[2025-03-30 15:13:59,074] 🛒 Viewed cart for: 23.69s
[2025-03-30 15:13:59,075] ✅ Cart checkout time: 0.0s
[2025-03-30 15:13:59,075] 💳 Payment time: 0.0s
[2025-03-30 15:13:59,648] ⏸️ Skipping USR-8bc79e5653c6426c8299339b76ee4b30 — session already running
[2025-03-30 15:13:59,973] 🚀 USR-ac69689575a3421cbd25e07283e642b4 actions log in session 1
[2025-03-30 15:13:59,973] 🖱️ Mouse hovered for: 1.63s
[2025-03-30 15:13:59,973] 📜 Scrolled for: 3.1s
[2025-03-30 15:13:59,973] 🛒 Viewed cart for: 6.91s
[2025-03-30 15:13:59,973] ✅ Cart checkout time: 8.22s
[2025-03-30 15:13:59,973] 💳 Payment time: 0.0s
[2025-03-30 15:14:00,473] 🔵 Starting session for USR-b23bdabcc1c04ba2a52cda4933a23360
[2025-03-30 15:14:01,764] 🔵 Starting session for USR-0e41621740fe47529e1fe548becb0357
[2025-03-30 15:14:02,363] 🔵 Starting session for USR-efcc43591b0847399f3c237d4ab16e0e
[2025-03-30 15:14:03,365] 🚀 USR-efcc43591b0847399f3c237d4ab16e0e actions log in session 0
[2025-03-30 15:14:03,365] 🖱️ Mouse hovered for: 0.16s
[2025-03-30 15:14:03,365] 📜 Scrolled for: 0.35s
[2025-03-30 15:14:03,365] 🛒 Viewed cart for: 0.24s
[2025-03-30 15:14:03,365] ✅ Cart checkout time: 0.23s
[2025-03-30 15:14:03,365] 💳 Payment time: 0.03s
[2025-03-30 15:14:03,516] 🔵 Starting session for USR-029bf18725964f00bbe388e4f7632be1
[2025-03-30 15:14:04,837] 🚀 USR-a1bce2f7cf074ebbac36cb53a062a28e actions log in session 0
[2025-03-30 15:14:04,837] 🖱️ Mouse hovered for: 3.47s
[2025-03-30 15:14:04,837] 📜 Scrolled for: 20.64s
[2025-03-30 15:14:04,837] 🛒 Viewed cart for: 5.0s
[2025-03-30 15:14:04,837] ✅ Cart checkout time: 12.64s
[2025-03-30 15:14:04,837] 💳 Payment time: 4.25s
[2025-03-30 15:14:04,916] 🔵 Starting session for USR-8611806c663940e38fd751477e2ba893
[2025-03-30 15:14:05,485] 🚀 USR-645facd7641941c485eeccbce2394695 actions log in session 0
[2025-03-30 15:14:05,486] 🖱️ Mouse hovered for: 5.54s
[2025-03-30 15:14:05,486] 📜 Scrolled for: 13.99s
[2025-03-30 15:14:05,486] 🛒 Viewed cart for: 20.84s
[2025-03-30 15:14:05,486] ✅ Cart checkout time: 7.15s
[2025-03-30 15:14:05,486] 💳 Payment time: 0.0s
[2025-03-30 15:14:06,022] ⏸️ Skipping USR-025711e1974f44368aec40157fd3619b — session already running
[2025-03-30 15:14:06,028] 🚀 USR-f33e292c31c340b2bba08a128ef1da82 actions log in session 0
[2025-03-30 15:14:06,029] 🖱️ Mouse hovered for: 0.46s
[2025-03-30 15:14:06,029] 📜 Scrolled for: 16.18s
[2025-03-30 15:14:06,029] 🛒 Viewed cart for: 1.97s
[2025-03-30 15:14:06,029] ✅ Cart checkout time: 12.03s
[2025-03-30 15:14:06,029] 💳 Payment time: 1.35s
[2025-03-30 15:14:07,520] 🔵 Starting session for USR-305bc8d8e3ca4e0caa4d5e75b340e56f
[2025-03-30 15:14:07,569] 🚀 USR-a66d3e581d5248cb9eb09e67d139b48d actions log in session 0
[2025-03-30 15:14:07,569] 🖱️ Mouse hovered for: 1.73s
[2025-03-30 15:14:07,569] 📜 Scrolled for: 7.02s
[2025-03-30 15:14:07,569] 🛒 Viewed cart for: 12.54s
[2025-03-30 15:14:07,569] ✅ Cart checkout time: 17.55s
[2025-03-30 15:14:07,569] 💳 Payment time: 0.0s
[2025-03-30 15:14:08,193] 🔵 Starting session for USR-650438355df74d01a719885f9282366e
[2025-03-30 15:14:08,615] 🚀 USR-80c15fd6935e496cb9789ed1345c6c32 actions log in session 0
[2025-03-30 15:14:08,615] 🖱️ Mouse hovered for: 0.56s
[2025-03-30 15:14:08,615] 📜 Scrolled for: 8.35s
[2025-03-30 15:14:08,616] 🛒 Viewed cart for: 13.85s
[2025-03-30 15:14:08,616] ✅ Cart checkout time: 3.88s
[2025-03-30 15:14:08,616] 💳 Payment time: 0.0s
[2025-03-30 15:14:09,383] ⏸️ Skipping USR-c5693b40aa5d47fcb32bb54bc597b190 — session already running
[2025-03-30 15:14:09,767] 🚀 USR-0e41621740fe47529e1fe548becb0357 actions log in session 0
[2025-03-30 15:14:09,767] 🖱️ Mouse hovered for: 0.06s
[2025-03-30 15:14:09,767] 📜 Scrolled for: 0.78s
[2025-03-30 15:14:09,768] 🛒 Viewed cart for: 5.38s
[2025-03-30 15:14:09,768] ✅ Cart checkout time: 1.68s
[2025-03-30 15:14:09,768] 💳 Payment time: 0.0s
[2025-03-30 15:14:10,295] 🔵 Starting session for USR-fbf9469640a54415b73a5fa47baa0daf
[2025-03-30 15:14:10,647] 🚀 USR-c902de6955ef4b3095f592bf210fcbf2 actions log in session 0
[2025-03-30 15:14:10,647] 🖱️ Mouse hovered for: 6.72s
[2025-03-30 15:14:10,647] 📜 Scrolled for: 13.56s
[2025-03-30 15:14:10,647] 🛒 Viewed cart for: 17.3s
[2025-03-30 15:14:10,647] ✅ Cart checkout time: 16.49s
[2025-03-30 15:14:10,647] 💳 Payment time: 0.0s
[2025-03-30 15:14:11,614] ⏸️ Skipping USR-0122895ac6c34aca89c63029fd9d2817 — session already running
[2025-03-30 15:14:12,945] 🔵 Starting session for USR-67c7f5c7d3dd41b997f3db06131de060
[2025-03-30 15:14:13,521] 🚀 USR-305bc8d8e3ca4e0caa4d5e75b340e56f actions log in session 0
[2025-03-30 15:14:13,521] 🖱️ Mouse hovered for: 0.14s
[2025-03-30 15:14:13,521] 📜 Scrolled for: 1.88s
[2025-03-30 15:14:13,521] 🛒 Viewed cart for: 3.98s
[2025-03-30 15:14:13,521] ✅ Cart checkout time: 0.0s
[2025-03-30 15:14:13,521] 💳 Payment time: 0.0s
[2025-03-30 15:14:13,770] 🚀 USR-d26d164cf09b4ecfae60498f934eab72 actions log in session 0
[2025-03-30 15:14:13,770] 🖱️ Mouse hovered for: 1.52s
[2025-03-30 15:14:13,770] 📜 Scrolled for: 19.47s
[2025-03-30 15:14:13,770] 🛒 Viewed cart for: 16.75s
[2025-03-30 15:14:13,770] ✅ Cart checkout time: 8.95s
[2025-03-30 15:14:13,770] 💳 Payment time: 1.3s
[2025-03-30 15:14:13,787] 🔵 Starting session for USR-2787a7e9aa3a4beaaa9230e017abe1e6
[2025-03-30 15:14:14,321] 🔵 Starting session for USR-de948963f4ab4f4793fc47b7819ce83a
[2025-03-30 15:14:15,429] ⏸️ Skipping USR-0122895ac6c34aca89c63029fd9d2817 — session already running
[2025-03-30 15:14:16,754] ⏸️ Skipping USR-ed68fbab32474d69a69e14f0327806f1 — session already running
[2025-03-30 15:14:18,081] 🔵 Starting session for USR-b7efa8a62e0a4f26945e038f03aa9bbf
[2025-03-30 15:14:18,272] 🚀 USR-8d69f611587344c68b7b921ad28b0d02 actions log in session 0
[2025-03-30 15:14:18,273] 🖱️ Mouse hovered for: 2.33s
[2025-03-30 15:14:18,273] 📜 Scrolled for: 8.18s
[2025-03-30 15:14:18,273] 🛒 Viewed cart for: 9.69s
[2025-03-30 15:14:18,273] ✅ Cart checkout time: 2.31s
[2025-03-30 15:14:18,273] 💳 Payment time: 0.0s
[2025-03-30 15:14:19,210] 🚀 USR-0b964e7c29584eb09c9484d4b227d48e actions log in session 0
[2025-03-30 15:14:19,210] 🖱️ Mouse hovered for: 1.92s
[2025-03-30 15:14:19,210] 📜 Scrolled for: 13.2s
[2025-03-30 15:14:19,210] 🛒 Viewed cart for: 5.57s
[2025-03-30 15:14:19,210] ✅ Cart checkout time: 14.53s
[2025-03-30 15:14:19,210] 💳 Payment time: 0.0s
[2025-03-30 15:14:19,418] 🚀 USR-4e8dbb036efa4c37b47b493f7455c5b7 actions log in session 0
[2025-03-30 15:14:19,418] 🖱️ Mouse hovered for: 1.27s
[2025-03-30 15:14:19,418] 📜 Scrolled for: 20.27s
[2025-03-30 15:14:19,418] 🛒 Viewed cart for: 24.46s
